start_lat,start_lon,end_lat,end_lon,airline,airport1,airport2,cnt
39.2667565,-104.64218443,47.44898194,-98.53247846,AA,IAD,ABQ,312
34.76725494,-100.64980353,31.58597,-64.79855556,AA,SAN,STX,391
43.06220789,-116.71238296,44.61927589,-85.32460278,AA,JFK,JFK,520
42.44571523,-95.42728359,43.94322413,-96.15327653,AA,XNA,EGE,54
36.37898427,-130.62595885,25.40457982,-87.73296899,AA,SDF,TPA,4
38.94812392,-122.13320952,35.89473033,-96.50558636,AA,OMA,PDX,110
35.3974561,-92.31331541,29.48169321,-81.07649168,AA,MCO,MSP,89
39.71509852,-70.75244611,29.88586438,-95.28353252,AA,PHL,PBI,431
23.50710152,-109.75830647,21.76177405,-98.11624006,AA,OKC,MSY,55
32.39879796,-80.59410103,29.65527752,-103.57828527,AA,CMH,AUS,48
22.00770611,-82.10552169,36.39310959,-102.80874435,AA,IAH,LAS,27
30.53759935,-108.71850325,40.18145414,-88.1864387,AA,PHL,PBI,203
33.15274649,-113.51504527,46.55992303,-70.12986934,AA,DFW,ONT,158
21.76759817,-70.77864965,20.66738915,-86.46615402,AA,IAH,DEN,36
20.56131504,-104.95163286,35.93576618,-108.76436365,AA,KOA,EWR,86
42.87961638,-135.29611113,40.37403683,-109.33436854,AA,CMH,ABQ,172
30.12759046,-101.21039131,30.94458784,-112.35729767,AA,PHX,DTW,147
35.03298252,-135.94874924,34.55548302,-64.79855556,AA,EWR,TUS,670
40.12325845,-83.69753618,28.38174485,-79.31281793,AA,CMH,LAS,275
36.88630174,-105.00139735,31.21648483,-95.38067315,AA,PHX,MSP,86
27.78684773,-109.79848221,44.59868897,-109.64861105,AA,DCA,TUL,88
39.18424485,-102.2254952,40.83189677,-100.39575178,AA,AUS,SAN,286
38.89432389,-115.41516001,25.04946415,-89.24683383,AA,EGE,MCO,266
25.56874004,-92.38567303,35.07793893,-85.13477175,AA,SJU,EGE,31
28.49669419,-94.54154457,33.06359432,-84.0418893,AA,STT,CLT,35
25.44683719,-77.15539952,43.65491671,-108.05791219,AA,AUS,PHL,498
32.50118608,-146.11333922,34.84739022,-115.12316224,AA,SJU,LAS,296
35.75962109,-85.54346924,33.06139082,-97.66275154,AA,ORD,ABQ,332
32.46644769,-81.75232601,34.21464124,-64.79855556,AA,HDN,PSP,588
45.29195763,-112.28013633,37.4122708,-93.85534805,AA,ORD,AUS,79
28.36359817,-76.03765902,31.40518831,-91.66179108,AA,XNA,DFW,196
33.98108511,-138.46368766,37.26758103,-105.53181283,AA,TUS,STT,252
38.09802806,-109.17544969,31.96641133,-65.89208086,AA,DTW,JAC,161
25.66489447,-64.97336111,35.4932305,-82.79175034,AA,TUS,TPA,554
41.63367993,-119.22418049,30.30470899,-116.86084658,AA,BWI,PHX,66
30.69612948,-105.30791054,26.79884885,-81.32170578,AA,SAN,AUS,42
26.45257792,-76.70811872,34.45471109,-101.68170683,AA,OMA,STX,118
33.68669122,-85.96017337,47.44898194,-64.79855556,AA,BUR,LIH,417
34.00528172,-106.18889325,45.1149832,-104.6987102,AA,DTW,IAH,36
