airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Air France,7139291291,5,6,20,0,0,221
Ethiopian Airlines,734600648,1,1,535,6,2,140
US Airways / America West*,557170910,7,3,81,6,0,53
Air India*,734886267,7,2,25,2,0,4
Royal Air Maroc,269375852,7,1,212,1,0,28
Air France,1055030904,1,3,65,2,0,34
Aer Lingus,637215937,2,1,65,1,2,91
Alitalia,425561973,3,3,44,24,2,40
Finnair,7139291291,6,0,339,1,2,25
SAS*,371601142,2,0,198,5,0,41
Aeromexico*,1914723508,6,1,8,4,0,45
Delta / Northwest*,7139291291,5,8,41,0,0,75
TACA,681742503,12,0,97,2,2,56
Vietnam Airlines,636834870,3,0,89,4,1,124
Lufthansa*,489571701,2,3,247,11,2,3
Delta / Northwest*,334841340,8,1,10,3,0,8
Saudi Arabian,1040301774,76,0,196,2,0,40
Egyptair,1878773926,7,1,3,2,0,12
Delta / Northwest*,494115912,3,1,98,2,3,222
SWISS*,800683133,9,1,191,3,0,114
Sri Lankan / AirLanka,683775556,2,0,36,5,0,20
Austrian Airlines,326582487,4,1,44,0,0,22
El Al,324400386,7,0,56,17,0,48
Korean Air,1650595423,8,0,47,6,0,33
Kenya Airways,1170539008,2,4,151,0,1,35
Malaysia Airlines,2517983122,7,3,1,1,0,39
Kenya Airways,1637490705,2,0,279,0,2,18
Egyptair,359978210,9,0,107,1,2,22
Cathay Pacific*,592456869,5,0,88,1,0,9
TAM,1370490686,76,6,343,24,0,67
Southwest Airlines,1053366594,1,4,18,7,1,15
Air India*,7139291291,1,2,142,2,0,65
TAM,634815514,10,2,3,2,3,31
American*,2244336324,3,5,22,1,2,16
Royal Air Maroc,410886485,7,0,2,2,0,9
Avianca,944794663,1,2,14,8,0,44
Turkish Airlines,7139291291,0,0,241,5,1,8
Xiamen Airlines,1758241996,8,1,38,1,1,85
British Airways*,424504276,0,3,191,0,1,106
El Al,366678064,3,14,173,10,0,24
Southwest Airlines,514235637,12,1,212,6,0,4
Philippine Airlines,1466618358,2,1,7,0,2,38
Condor,309718981,8,5,160,2,0,59
Delta / Northwest*,987609374,8,0,61,6,0,21
Korean Air,451757773,8,5,72,7,1,61
Egyptair,7139291291,8,5,9,0,0,288
Air France,701453936,1,3,59,11,2,18
KLM*,549173918,2,4,535,1,1,44
Aeroflot*,271889496,1,3,23,11,0,222
Finnair,495537684,5,0,97,14,1,12
Qantas*,729464486,5,0,18,0,1,137
Singapore Airlines,4334974632,6,1,55,0,2,20
Thai Airways,4682709040,4,0,48,2,2,70
Iberia,477878056,4,1,111,3,3,7
Iberia,394204351,2,4,64,0,0,66
Singapore Airlines,458001017,7,3,56,0,0,11
