iata,name,city,state,country,latitude,longitude
KNB,Russell Municipal,Arlington,OK,USA,43.15963561,-91.38931944
GQQ,Greenbrier Valley,Pasadena,KY,USA,39.31070491,-139.66037546
MAO,Holly Springs-Marshall County,Bridgeport,MN,USA,48.80684484,-54.89735502
84R,Elizabethtown,Greensboro,ND,USA,28.86507189,-106.03684134
BFI,Oxford County Regional,Modesto,MN,USA,31.8468592,-152.54310079
CJX,Fort Scott Municipal,Wichita,MO,USA,36.85653632,-61.41839373
HKY,Payson,Tallahassee,TX,USA,34.44739269,-77.62321
WBW,Mid-America Industrial,Plano,FL,USA,42.18407589,-110.70233562
FSW,James H. Easom,Carrollton,GA,USA,37.48797036,-105.57467076
T72,Idaho County,Denton,OR,USA,24.62429852,-117.51848375
P13,Walla Walla Regional,Tempe,SC,USA,39.00890072,-89.91340939
O59,Baker City Municipal,El Paso,CA,USA,24.06626862,-100.97076893
ND17,Hood River,Topeka,WA,USA,34.37431387,-137.95959568
SBS,Jackson Municipal,Fort Wayne,MI,USA,39.65433121,-69.53444804
MWM,Harry Stern,San Francisco,KY,USA,61.68212514,-160.93006536
01G,Grand Canyon State,Laredo,CA,USA,34.60732736,-43.54550697
0M8,Cibecue,Lubbock,CA,USA,38.03094851,-90.87463056
Y66,Lake City Municipal,Carrollton,NC,USA,44.36649771,-143.23886322
F30,Crosby Municipal,Tacoma,MO,USA,39.16619296,-93.11808826
OSC,Nephi Municipal,Buffalo,MT,USA,41.0479845,-124.10508284
FNT,Camarillo,Laredo,TN,USA,37.05823297,-119.34201031
PGD,Nightmute,Milwaukee,FL,USA,41.58888482,-77.13336647
BTV,Lemhi County,Birmingham,CA,USA,36.81106599,-63.2930057
Z73,Crete Municipal,Sacramento,MI,USA,34.0957853,-69.40810078
MKC,Willow Run,Aurora,CA,USA,32.5779702,-78.23492642
MRY,Cordell Municipal,Roseville,OH,USA,31.7888713,-122.59057932
HJO,Girdwood,Newark,AR,USA,36.75449116,-108.93098822
HVC,Chariton Municipal,Henderson,IN,USA,39.69283869,-111.16835425
Q37,Buchanan,Dayton,CA,USA,40.85745988,-94.1862145
18I,Blairsville,New York,AL,USA,41.51003273,-84.16957769
49Y,Cross City,Macon,PA,USA,51.72693909,-122.21901532
MYK,St Maries Municipal,Lakewood,WA,USA,36.88311178,-77.94953517
7S0,Bedford County,Chicago,NA,USA,48.94332607,-109.11478556
VPC,Kahului,Denton,NM,USA,37.41157855,-145.51446174
M22,Lakin,Torrance,TX,USA,51.42363881,-69.29866737
C83,Coffman Cove SPB,Oxnard,NE,USA,45.67844088,-115.07129804
BVY,Bakersfield Municipal,Fayetteville,TN,USA,37.93893352,-76.15345623
FRR,Huron Regional,San Antonio,TX,USA,39.81686448,-107.8625576
XNA,Old Bridge,Denver,SD,USA,25.88835673,-100.31010983
MEV,Clintonville Municipal,Hayward,ND,USA,39.37970098,-87.28387817
DM2,Almyra Municipal,Riverside,TX,USA,36.34938107,-99.8628581
23J,Ted Stevens Anchorage International,Winston-Salem,OK,USA,58.68996214,-60.2030813
PHF,Decatur County Industrial Airpark,Murfreesboro,MN,USA,55.98800779,-113.50672831
M05,Centre Municipal,Bakersfield,FL,USA,29.3586376,-75.38752553
CHK,Bemidji-Beltrami County,Fresno,ND,USA,21.70686682,-32.74981489
ASW,Gibson County,Worcester,MO,USA,48.63225964,-131.1667706
MEV,City of Tulia/Swisher County Municipal,Newark,MI,USA,25.75287626,-93.05053227
GRR,Bear Lake County,Grand Rapids,WA,USA,22.62113127,-106.36776014
2M2,Standing Rock,Sunnyvale,WY,USA,40.32614195,-132.9397515
SAD,Hornell Muni,West Valley City,SC,USA,49.2527416,-88.55376698
SBS,Pocono Mountains Muni,New Orleans,NJ,USA,48.86634436,-86.52707289
AVQ,Northeast Philadelphia,Fort Wayne,MI,USA,45.03333839,-62.6480114
8G2,Lee County,Jersey City,NM,USA,37.45704237,-113.18422465
3M7,Kalispell City,West Valley City,AZ,USA,41.58173982,-99.25686187
SEF,Bryant,Akron,FL,USA,51.62801785,-69.19966149
H79,Rangeley Municipal,Tucson,TX,USA,36.4957182,-98.75469288
SZP,Cairo-Grady County,Chattanooga,OR,USA,47.71765839,-73.30031063
SZT,Pelican SPB,Milwaukee,MN,USA,47.45677489,-112.37573218
1B3,Hollis Municipal,Irvine,MA,USA,38.70025192,-97.58750647
MBT,Lake Tahoe,Lubbock,AZ,USA,36.11879157,-112.86823442
9W7,MC Clellan-Palomar Airport,Columbus,OK,USA,46.08075524,-84.32402863
OGA,Driggs-Reed Memorial,San Antonio,MI,USA,52.23282861,-159.21786548
KAL,Buffalo Niagara Intl,Atlanta,NM,USA,44.54781091,-98.32442945
BLV,Marfa Municipal,Laredo,WA,USA,35.10802759,-98.13270021
WJF,Jacksonville International,Fresno,CO,USA,28.00775067,-104.82278308
VEE,Rafael Hernandez,Austin,AK,USA,37.10253781,-75.20739183
GLW,Kendall-Tamiami Executive,Newark,OH,USA,31.27581039,-49.32141838
EVM,Deering,Tempe,CA,USA,30.38379255,-118.77979458
O60,Merced Municipal/MacReady,Fontana,OK,USA,38.54029555,-81.47208114
41U,Murdo Municipal,Toronto,AK,USA,35.05585699,-94.65071886
FAI,Questa Municipal Nr 2,New Orleans,WY,USA,34.01537368,-95.84384943
2A9,William P Hobby,Richmond,AK,USA,37.02307454,-89.57957342
NRN,Artesia Municipal,Baltimore,MI,USA,22.36671967,-114.83909971
S25,Kalispell City,San Diego,MT,USA,36.32242083,-130.60471837
DYT,William P Hobby,Boise,AZ,USA,50.10579878,-79.24348422
LAW,Porcupine Creek,Huntington Beach,MT,USA,52.69212918,-104.06639953
46A,Homedale Municipal,Huntington Beach,TX,USA,32.58148111,-123.85412371
RST,Piseco Muni,Baltimore,MA,USA,42.79633281,-53.56800146
MMV,Plattsmouth Municipal,Brownsville,TX,USA,41.69663885,-108.64092608
43A,Schuylkill Cty/Joe Zerbey,Glendale,NC,USA,35.53726146,-130.89979736
TZT,Franklin County State,Anchorage,WI,USA,42.89445588,-56.4248698
1A6,Defuniak Springs,Spokane,CO,USA,31.02838763,-110.02228242
2O1,Kantishna,Grand Rapids,ME,USA,48.54797857,-53.4490366
00M,Dickson Municipal,Denton,MO,USA,40.10980659,-151.20895438
ONY,Granbury Municipal,Laredo,ND,USA,39.62902993,-122.47276543
U82,Portage Creek,Honolulu,MN,USA,50.06221956,-92.69391089
JFX,Dixon,Salt Lake City,VA,USA,41.84423284,-116.76769838
CKU,Rockingham County NC Shiloh,Torrance,OR,USA,43.64726453,-136.83189815
C15,Bisbee Municipal,Nashville,AK,USA,41.61864056,-104.92079151
FWS,Laurinburg-Maxton,San Francisco,SC,USA,25.94871639,-121.71316773
HI01,Jonesboro,Topeka,IL,USA,45.65476768,-90.3646843
96D,Dallas Love,Hampton,TX,USA,44.10233125,-81.17630733
MXO,Biddeford Municipal,Rochester,VA,USA,39.02118713,-65.68753752
I95,Plattsmouth Municipal,Cincinnati,WI,USA,55.57288088,-66.01764177
ORS,Monroe Custer,Mesa,MN,USA,30.63009249,-87.33819515
TDO,Knox County Regional,Escondido,AL,USA,43.00746606,-98.0216471
SGY,Hall-Miller Municipal,Sacramento,WI,USA,42.28875678,-98.71497676
