location,alcohol
Nepal,17.5
Malaysia,17.5
Panama,17.5
Bulgaria,17.5
Botswana,17.5
Austria,17.5
Bulgaria,17.5
Saudi Arabia,17.5
Venezuela,17.5
Saint Vincent and the Grenadines,17.5
Kyrgyzstan,17.5
Solomon Islands,17.2
Gabon,16.8
Uzbekistan,16.4
Paraguay,15.5
Kenya,15.1
Gabon,15.0
Cyprus,14.3
Vietnam,14.0
Bosnia and Herzegovina,13.8
Tajikistan,13.7
Egypt,13.4
Seychelles,13.3
Malawi,13.1
United Kingdom,12.9
Finland,12.8
Poland,12.8
Australia,12.7
Iceland,12.6
Swaziland,12.4
Netherlands Antilles,12.1
Zimbabwe,12.0
Israel,11.8
Montenegro,11.6
New Zealand,11.6
Bolivia,11.5
Chile,11.4
Italy,10.9
Greece,10.9
Uzbekistan,10.8
France,10.7
Israel,10.6
Georgia,10.5
Niger,10.3
Maldives,10.1
Namibia,10.0
Sierra Leone,9.9
Fiji,9.4
Peru,9.2
Azerbaijan,9.1
Peru,8.6
Guinea,8.5
Eritrea,8.4
Canada,8.2
Honduras,8.2
Guyana,8.1
Burundi,8.0
Republic of the Congo,7.8
Spain,7.8
Russia,7.8
Chile,7.6
Ethiopia,7.5
Yemen,7.3
Barbados,7.2
Andorra,7.2
Azerbaijan,7.2
Somalia,7.2
Suriname,7.1
Moldova,7.1
Tanzania,6.9
United Arab Emirates,6.8
Sweden,6.7
Moldova,6.5
Trinidad and Tobago,6.3
Kazakhstan,6.2
Serbia,6.1
Israel,6.0
Israel,6.0
India,5.9
Bulgaria,5.8
Ghana,5.8
Benin,5.7
Mexico,5.5
Vanuatu,5.4
Angola,5.3
Croatia,5.3
Belgium,5.2
Indonesia,5.2
Portugal,5.2
Palau,5.2
Papua New Guinea,5.1
Uganda,5.1
Zimbabwe,4.9
Serbia,4.9
Peru,4.8
Denmark,4.8
Austria,4.6
Lesotho,4.6
Iceland,4.6
North Korea,4.6
Philippines,4.4
Cambodia,4.4
Sudan,4.4
Suriname,4.2
Denmark,4.2
United States,4.1
Romania,4.0
Armenia,4.0
Uzbekistan,3.9
United Kingdom,3.8
Denmark,3.8
Kiribati,3.8
Malta,3.7
Rwanda,3.6
Grenada,3.6
Angola,3.5
Grenada,3.2
Malawi,3.2
Pakistan,3.1
Cyprus,3.1
Ukraine,3.1
Trinidad and Tobago,3.0
Azerbaijan,3.0
Togo,2.8
Cook Islands,2.7
Algeria,2.6
El Salvador,2.5
Comoros,2.5
Ghana,2.4
Ethiopia,2.4
Luxembourg,2.4
Nepal,2.3
Bhutan,2.3
North Korea,2.2
Zimbabwe,2.1
Ghana,2.1
Chad,2.0
Moldova,2.0
Ukraine,1.9
Canada,1.9
Rwanda,1.9
Central African Republic,1.8
Mauritania,1.8
Palau,1.7
Lesotho,1.7
Greece,1.6
Serbia,1.6
Ethiopia,1.6
Solomon Islands,1.6
Albania,1.4
Sudan,1.4
Sierra Leone,1.4
Nepal,1.4
Angola,1.4
Algeria,1.3
Malawi,1.3
Netherlands,1.3
Oman,1.2
Grenada,1.2
Argentina,1.2
Guinea-Bissau,1.0
Burkina Faso,1.0
Vanuatu,0.9
Burkina Faso,0.9
Belgium,0.9
China,0.9
Argentina,0.8
Burma,0.8
Tonga,0.8
Republic of the Congo,0.8
Vietnam,0.7
Saint Lucia,0.6
Saint Vincent and the Grenadines,0.6
Uzbekistan,0.6
Senegal,0.5
Greece,0.4
Belarus,0.4
South Africa,0.4
Sweden,0.4
Kiribati,0.3
Bhutan,0.2
Gambia,0.2
Colombia,0.2
Senegal,0.2
Canada,0.1
Kenya,0.1
Iran,0.1
Mauritius,0.1
Ethiopia,0.1
New Zealand,0.1
Ecuador,0.1
