Series,X,Y
I,5.0,5.56
I,8.0,5.91
I,8.0,5.8
I,12.0,8.67
I,5.0,5.8
I,8.0,9.41
I,8.0,4.99
I,13.0,10.0
I,8.0,4.95
I,10.0,7.69
I,11.0,6.89
I,8.0,7.47
I,4.0,6.92
II,8.0,6.57
II,14.0,6.67
II,9.0,7.48
II,8.0,6.61
II,19.0,8.49
II,8.0,7.29
II,9.0,3.1
II,4.0,8.89
II,5.0,4.57
II,8.0,6.56
III,8.0,5.86
III,8.0,8.71
III,8.0,9.33
III,7.0,5.45
III,6.0,4.95
III,5.0,6.56
III,8.0,7.89
III,8.0,8.01
III,8.0,7.84
III,9.0,4.53
IV,4.0,9.79
IV,8.0,7.85
IV,8.0,9.67
IV,11.0,7.2
IV,11.0,7.52
IV,12.0,5.4
IV,14.0,6.13
IV,8.0,5.47
IV,8.0,5.31
IV,8.0,6.25
IV,13.0,7.21
