URL,Name/Alias,Appearances,Current?,Gender,Probationary Introl,Full/Reserve Avengers Intro,Year,Years since joining,Honorary,Death1,Return1,Death2,Return2,Death3,Return3,Death4,Return4,Death5,Return5,Notes
http://marvel.wikia.com/Roberto_da_Costa_(Earth-616)#	NO,David Carter Guadalupe Marcus Johnson,69.42533964286943,YES,,,Sep-63,2006,40.0,Honorary,,,,,,,,,,,Reduced her to a pile of bones and organsby Vargas. Brought back by Chaos King. Died second time in Chaos_War:_Dead_Avengers_Vol_1_3
http://marvel.wikia.com/Gene_Lorrene_(Earth-616)#	NO,Carl Chang Masterson Stark Johnson,130.7354737536764,YES,,,May-65,1914,4.0,Full,,,,,,,,,,,Killed by Leather Boy
http://marvel.wikia.com/Jocasta_(Earth-616)#	YES,Jocasta Kale Renslayer Stark Johnson,10.547116680143311,NO,,,Sep-76,1931,10.0,Full,,,,,,,,,,,Killed by The Hand. Later revived with The Stone of the Chaste.
http://marvel.wikia.com/Sersi_(Earth-616)#	NO,Brandt Liebowitz Shepherd Strange Johnson,364.83748654933174,NO,,,Aug-75,1905,9.0,Honorary,,,,,,,,,,,Died in Guardians_of_the_Galaxy_Vol_3_20.
http://marvel.wikia.com/Matthew_Murdock_(Earth-616)#	NO,Roberto Schaub Jr. name) Johnson,306.05172240593794,YES,,,Jul-78,1944,8.0,Full,,NO,,,,,,,,,Reduced her to a pile of bones and organsby Vargas. Brought back by Chaos King. Died second time in Chaos_War:_Dead_Avengers_Vol_1_3
http://marvel.wikia.com/Tony_Masters_(Earth-616)#	NO,"Elijah Susan ""Hank"" Pym Johnson",509.868538384385,YES,,,Nov-88,1907,17.0,Full,,,,,,,,,,,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
http://marvel.wikia.com/Victor_Alvarez_(Earth-616)#	NO,Thomas Newell Masterson Storm) Johnson,116.23941643553471,NO,,,Apr-87,1913,3.0,Full,,,,,,,,,,,Christ; where to begin. His superpower is that he cannot die when he dies he immediately comes back. The Wikia inventories 24 deaths. These will be excluded from the analysis.
http://marvel.wikia.com/Deathcry_(Earth-616)#	YES,Alani Murdock Jones Pym Johnson,263.0050343176445,NO,,,Dec-87,1952,3.0,Full,,,,,YES,,,,,,Killed by Neut who was working for Immortus. Reborn into a new body.
http://marvel.wikia.com/Nightmask_(Earth-616)#	YES,Maria Ayala Vincent Danvers Johnson,557.0770865283583,YES,,,May-88,1988,11.0,Full,,,,,,,,,,,Died in Murderworld during Avengers Arena
http://marvel.wikia.com/Tony_Masters_(Earth-616)#	NO,Martinex Musashi Nelson Sr. Johnson,223.1444874294532,YES,,,Jan-88,2003,111.0,Academy,,,,,,,,,,,Killed by Leather Boy
