Sep-63	NO
Mar-64	YES
May-65	YES
Sep-65	YES
Nov-68	YES
May-73	YES
Aug-73	YES
Sep-76	YES
Aug-75	YES
Jul-78	NO
Mar-79	YES
Nov-88	YES
Jul-82	YES
Sep-84	YES
Nov-93	NO
Jun-86	YES
Nov-89	YES
Jun-92	YES
Dec-85	YES
3-Feb	YES
Apr-87	YES
Dec-87	YES
May-88	YES
Jan-88	YES
Feb-89	YES
Oct-89	YES
Jul-89	NO
5-May	NO
7-Sep	NO
Apr-90	YES
Jan-92	YES
Jul-93	YES
Feb-96	NO
Apr-96	NO
1-Aug	YES
5-Mar	NO
5-Jun	NO
5-Oct	YES
5-Nov	YES
6-Feb	NO
7-Mar	YES
10-May	YES
10-Sep	NO
11-Jun	YES
10-Aug	NO
13-Jan	NO
13-Feb	NO
13-May	YES
13-Oct	NO
13-Sep	YES
