State,Number of drivers involved in fatal collisions per billion miles,Percentage Of Drivers Involved In Fatal Collisions Who Were Speeding,Percentage Of Drivers Involved In Fatal Collisions Who Were Alcohol-Impaired,Percentage Of Drivers Involved In Fatal Collisions Who Were Not Distracted,Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents,Car Insurance Premiums ($),Losses incurred by insurance companies for collisions per insured driver ($)
Montana,15.0,43,29,75,84,1244.33,164.81
Rhode Island,14.7,31,30,91,89,793.42,98.52
Rhode Island,18.7,39,28,100,98,992.56,175.84
New Mexico,13.2,26,29,93,77,1158.34,182.3
Nebraska,9.5,19,35,61,82,928.64,120.07
Nevada,15.1,39,29,97,93,949.74,138.91
New Hampshire,19.1,24,24,97,83,1261.1,167.92
North Dakota,19.3,45,32,90,91,1045.06,109.48
Pennsylvania,12.9,32,33,76,85,1198.23,120.39
Arkansas,17.7,15,35,100,82,885.38,97.08
Tennessee,12.3,21,28,69,94,1254.87,101.12
Oklahoma,20.4,29,34,78,78,843.76,166.98
Nebraska,16.3,23,31,73,98,653.52,154.28
Mississippi,8.5,20,36,85,95,772.1,103.65
New York,15.7,25,24,82,88,1184.54,132.85
Alaska,13.8,34,23,76,77,1217.39,157.36
Alabama,14.4,48,25,88,77,1124.94,129.16
Connecticut,12.9,31,31,89,79,1076.53,109.75
Nevada,15.0,26,34,97,87,1170.27,135.65
South Carolina,16.7,18,33,90,88,934.1,142.45
Oregon,15.2,13,33,52,94,1115.1,115.17
Illinois,16.8,37,27,100,92,655.92,116.84
Wyoming,18.8,54,38,98,96,1236.82,183.15
Idaho,14.6,33,42,78,84,1051.04,125.31
New York,14.8,22,29,82,78,1138.59,135.46
Kentucky,22.6,30,35,70,77,938.3,118.83
New Jersey,18.3,30,44,78,90,1115.61,92.57
Nebraska,13.6,34,33,100,94,1102.83,134.63
Michigan,16.2,28,35,72,99,1215.32,194.78
New Jersey,14.6,43,31,100,84,753.9,124.96
Maryland,17.6,46,34,96,82,1084.53,120.65
Oregon,11.8,33,34,94,81,710.57,131.31
Kansas,12.2,33,28,98,89,1250.26,122.51
New York,12.7,45,31,76,90,1040.47,142.51
Minnesota,13.5,29,36,100,79,800.63,140.25
North Dakota,11.9,35,27,100,78,712.55,106.92
Wisconsin,8.5,27,32,84,80,914.38,172.29
Montana,18.0,29,32,90,87,666.61,138.12
Rhode Island,15.1,25,29,74,89,759.37,135.5
Idaho,15.9,44,32,73,76,933.36,161.59
Mississippi,17.2,50,29,70,95,1208.14,129.66
South Dakota,9.3,31,29,93,88,762.79,139.67
West Virginia,17.5,40,25,100,76,959.89,133.99
Colorado,17.2,24,32,64,95,976.7,140.2
Idaho,18.1,31,25,85,99,1210.74,194.78
Kentucky,8.3,34,30,95,81,1206.71,167.35
Colorado,12.5,28,30,100,81,1288.94,135.22
Florida,11.6,28,31,78,94,663.44,119.09
Indiana,14.2,31,33,65,87,1195.53,133.52
New York,15.0,44,27,83,87,794.87,154.26
Michigan,11.2,35,30,70,87,1267.35,118.76
