yield,variety,year,site
36.76144,Trebi,1931,University Farm
31.80341,Svansota,1931,University Farm
26.81521,Velvet,1931,University Farm
40.83026,No. 462,1931,University Farm
40.18796,No. 475,1931,University Farm
30.62967,Wisconsin No. 38,1931,University Farm
53.64184,Manchuria,1931,Waseca
57.02032,Glabron,1931,Waseca
35.05182,Svansota,1931,Waseca
37.54381,No. 457,1931,Waseca
46.33481,No. 462,1931,Waseca
40.13996,Glabron,1931,Morris
34.2145,Velvet,1931,Morris
28.54358,No. 457,1931,Morris
41.89707,No. 475,1931,Morris
31.51876,Glabron,1931,Crookston
43.7506,Velvet,1931,Crookston
27.07491,Trebi,1931,Crookston
36.88898,No. 457,1931,Crookston
32.06399,No. 462,1931,Crookston
35.88426,No. 475,1931,Crookston
18.04378,Glabron,1931,Grand Rapids
31.53423,Velvet,1931,Grand Rapids
18.324,Trebi,1931,Grand Rapids
22.28477,No. 457,1931,Grand Rapids
16.58174,Peatland,1931,Grand Rapids
21.19994,Wisconsin No. 38,1931,Grand Rapids
27.80278,Glabron,1931,Duluth
33.14511,No. 457,1931,Duluth
27.1935,Peatland,1931,Duluth
30.00112,No. 475,1931,Duluth
25.7023,Glabron,1931,University Farm
38.41758,Velvet,1931,University Farm
25.78766,Manchuria,1931,University Farm
31.54699,No. 457,1931,University Farm
26.15747,No. 462,1931,University Farm
30.91798,Peatland,1931,University Farm
43.07664,Wisconsin No. 38,1931,University Farm
39.26507,Glabron,1931,Waseca
40.67496,Velvet,1931,Waseca
45.10965,Trebi,1931,Waseca
49.70388,No. 457,1931,Waseca
46.77757,Peatland,1931,Waseca
43.25547,Wisconsin No. 38,1931,Waseca
28.40959,Manchuria,1931,Morris
27.73866,Glabron,1931,Morris
27.25168,Trebi,1931,Morris
36.73256,No. 457,1931,Morris
40.40326,No. 475,1931,Morris
39.37256,Wisconsin No. 38,1931,Morris
34.68576,No. 457,1931,Crookston
48.6851,No. 462,1931,Crookston
39.24045,No. 475,1931,Crookston
21.94614,Svansota,1931,Grand Rapids
34.59112,No. 475,1931,Grand Rapids
15.74126,Wisconsin No. 38,1931,Grand Rapids
30.07253,Svansota,1931,Duluth
23.84243,No. 457,1931,Duluth
28.25707,No. 462,1931,Duluth
32.02594,Peatland,1931,Duluth
25.49139,Glabron,1931,University Farm
32.6318,Manchuria,1932,Duluth
39.74995,Peatland,1932,Waseca
43.31735,No. 475,1932,Waseca
54.55161,Wisconsin No. 38,1932,Waseca
31.59206,Manchuria,1932,Morris
46.07034,Peatland,1932,Crookston
25.99674,No. 475,1932,University Farm
37.59373,Trebi,1932,University Farm
47.39617,Manchuria,1932,Waseca
30.7816,Wisconsin No. 38,1932,Crookston
51.63617,Svansota,1932,Waseca
30.6398,Manchuria,1932,Grand Rapids
32.81045,Svansota,1932,Morris
27.32539,Svansota,1932,Grand Rapids
64.83693,No. 462,1932,Waseca
44.77019,Velvet,1932,Waseca
35.11698,No. 475,1932,Waseca
30.86744,Trebi,1932,Morris
56.56943,Trebi,1932,Waseca
18.94722,No. 462,1932,Grand Rapids
23.74409,Svansota,1932,Morris
33.15867,Velvet,1932,Morris
38.48545,No. 462,1932,Morris
18.07038,No. 475,1932,Grand Rapids
40.6412,No. 462,1932,Morris
26.31964,Peatland,1932,Morris
37.83128,Peatland,1932,Morris
41.47738,Svansota,1932,Crookston
32.86322,Svansota,1932,University Farm
44.6312,Glabron,1932,Crookston
23.99838,Svansota,1932,Crookston
24.06072,Velvet,1932,Crookston
25.47137,Trebi,1932,Crookston
34.47678,Peatland,1932,University Farm
26.01346,Svansota,1932,Duluth
42.66303,Peatland,1932,Crookston
23.63966,Velvet,1932,Duluth
24.61157,Wisconsin No. 38,1932,Crookston
23.76602,Manchuria,1932,Grand Rapids
25.38572,Glabron,1932,Grand Rapids
31.77089,Trebi,1932,Duluth
29.88602,Velvet,1932,Grand Rapids
27.62143,Trebi,1932,Grand Rapids
15.26789,No. 457,1932,Grand Rapids
27.31191,No. 462,1932,Grand Rapids
21.35269,Peatland,1932,Grand Rapids
24.00901,Wisconsin No. 38,1932,Morris
26.47715,No. 462,1932,Duluth
27.24525,Manchuria,1932,Duluth
33.1012,Glabron,1932,Duluth
29.3256,Manchuria,1932,Crookston
25.5425,Velvet,1932,Duluth
33.57973,Trebi,1932,Duluth
28.96834,No. 457,1932,University Farm
23.504,Wisconsin No. 38,1932,Duluth
36.80059,Manchuria,1932,University Farm
27.3256,No. 475,1932,Duluth
30.87069,Wisconsin No. 38,1932,Duluth
47.85251,Manchuria,1932,Crookston
