title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
A Song to Remember,http://www.imdb.com/title/tt0097457/,UK,1960,$450K,"Trey Franklin Martinson Solt Pulcini Tammy Blanchard, Morgan Spector",1.0,Cecil Lewis Chaplin Kyi Scots Essex,Artist,Unknown,,0.0,Male,"AndrÌ© Long Cusick Pernilla Arthur, James (older) Sydow"
Bound for Glory,http://www.imdb.com/title/tt0804463/,US/UK,2011,$256M,"Antoine Duguay Leonard Stanislav Ford, Tammy Blanchard, Morgan Spector",1.0,Whitley Valens Gogh Kyi Brasco) Essex,Actor,Unknown,,0.0,Male,"Chuck Jagger Abraham and Arthur, Billie von Sydow"
Viva Villa!,http://www.imdb.com/title/tt1851006/,Canada,1916,$6M,"Archie Menendez Jones Rosenberg Ford, Tammy Blanchard, Morgan Spector",1.0,Victoria Kyle Hollywood Anastasia Scots Essex,Academic,Unknown,,0.0,Male,"Celyn Kartheiser Sydow and August, Austin Whitelaw Sydow"
One Foot in Heaven,http://www.imdb.com/title/tt0450188/,US,2008,$19.6M,"Dick Miller Young Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,Victoria Valentino Gogh Adams Peron Essex,Other,Unknown,Hispanic (White),0.0,Male,"Logan Merriman Lucas, and Kemp, Max von Sydow"
Phantom Punch,http://www.imdb.com/title/tt0054847/,Canada/UK,1959,$539K,"Morten Balaban, Olmos Sarah-Violet Bliss Tammy Blanchard, Morgan Spector",2.0,Clarence Best (Biggie Menezes Peron Essex,Author (poet),Unknown,Multi racial,0.0,Male,"Ian Kline Lee Kate August, Max Whitelaw Sydow"
Out of Africa,http://www.imdb.com/title/tt0074291/,US/Canada,1983,$353K,"Mira Schultz Berman, Weisman Bliss Tammy Blanchard, Morgan Spector",1.0,Janet Leach O'Keefe Menezes Turner) Essex,Other,Unknown,Hispanic (Latino),0.0,Male,"Angela Gravey Sydow Martin Luke, Kebede Ellison Sydow"
My Life So Far,http://www.imdb.com/title/tt1359553/,US/UK/Canada,1967,$343K,"Jean-FranÌ¤ois Apted, Baird Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0061415533205478,Michelangelo Lewis Hickok Richthofen Turner) Essex,Athlete,Unknown,Indian,0.06214315355417641,Male,"Cuba Rogers Cooper, Derek Winslet James Ellison Sydow"
Thirteen,http://www.imdb.com/title/tt0080907/,UK,2006,$153K,"Diego VallÌÄå©e Norman Rosenberg Pulcini Tammy Blanchard, Morgan Spector",1.0,Damien Sellers Thompson Anastasia Jr. Essex,Other,Known,,0.0,Female,"Christopher Jarman Law Martin August, Max Ellison Sydow"
Fair Game,http://www.imdb.com/title/tt1864405/,US/UK,1964,$1.65M,"Lee Shadyac Jr. Satrapi Bliss Tammy Blanchard, Morgan Spector",1.0,Ramses Cahill (Thaw) Belaney) Parker) Essex,Other,Known,Middle Eastern,0.0,Female,"Laura Nicholson Dillman Jean Luke, James von Sydow"
Frida,http://www.imdb.com/title/tt0065547/,Canada,2003,$4.72M,"Oliver Rapper Martinson Robert Ford, Tammy Blanchard, Morgan Spector",1.0,"Nathan Dion ""Rocky"" Rocha Brasco) Essex",Historical,Known,Mediterranean,0.0,Female,"Sam Lupino Hoffman and Arthur, Kebede Nichols Sydow"
