Bacteria,Penicillin,Streptomycin,Neomycin,Gram_Staining,Genus
Aerobacter aerogenes	negative,106.348,0.17,0.004,,Salmonella
Bacillus anthracis	positive,0.007,1.71,0.983,,other
Diplococcus pneumoniae	positive,0.002,0.92,0.026,,Salmonella
Diplococcus pneumoniae	positive,29.808,8.18,0.142,,other
Escherichia coli	negative,0.017,9.89,40.0,,Staphylococcus
Klebsiella pneumoniae	negative,3.28,0.36,0.114,,other
Klebsiella pneumoniae	negative,1.846,7.79,0.014,,other
Mycobacterium tuberculosis	negative,870.0,6.82,0.441,,other
Mycobacterium tuberculosis	negative,7.057,7.11,0.49,,other
Mycobacterium tuberculosis	negative,870.0,6.91,9.852,,Staphylococcus
Salmonella (Eberthella) typhosa	negative,0.001,0.01,0.267,,Staphylococcus
Staphylococcus albus	positive,0.166,0.21,0.025,,other
Streptococcus fecalis	positive,0.002,1.23,0.081,,Streptococcus
Streptococcus hemolyticus	positive,11.152,4.47,0.08,,Staphylococcus
Streptococcus viridans	positive,41.389,14.0,0.657,,other
Streptococcus viridans	positive,0.074,0.63,0.503,,other
