competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Lemonhead,0,1,0,0,0,0,0,0,0,0.868992228,0.459281726,32.147101
Pixie Sticks,0,0,0,0,1,1,1,0,1,0.368315967,0.381372834,40.64232
Reese's pieces,0,0,0,0,0,1,0,0,0,0.276569983,0.119299821,39.905807
Sugar Babies,0,0,0,0,0,0,0,0,0,0.207885274,0.429708183,41.201222
Lifesavers big ring gummies,1,1,0,0,0,0,0,0,0,0.987198332,0.297356601,22.445341
One dime,0,1,0,0,0,0,0,0,1,0.935303045,0.648660783,67.851058
Haribo Gold Bears,1,0,0,0,0,0,0,0,0,0.080564707,0.930783267,47.203203
Dots,1,0,0,0,0,0,1,0,0,0.625060714,0.044993613,43.362041
Chiclets,1,0,0,0,0,0,0,0,0,0.833986727,0.272873769,36.743175
Runts,0,1,1,0,0,0,1,1,1,0.286229253,0.560462027,70.296499
Lifesavers big ring gummies,0,0,1,0,0,0,0,0,1,0.801657506,0.44900918,36.227859
Twizzlers,0,1,0,0,0,0,1,0,1,0.663441993,0.952585138,54.851234
Chewey Lemonhead Fruit Mix,0,0,0,0,0,0,0,1,1,0.674715725,0.85742565,63.609707
Runts,1,1,0,0,0,0,0,0,1,0.054091683,0.245463016,26.889515
Reese's Miniatures,1,0,0,0,0,0,0,0,0,0.487764129,0.086830614,41.394195
3 Musketeers,1,0,0,0,0,0,0,0,1,0.862408849,0.837950019,40.855612
Fruit Chews,0,0,0,0,0,0,0,0,0,0.139095441,0.079926706,61.860698
Fun Dip,0,0,0,0,0,0,1,0,0,0.833839918,0.724769821,33.246754
Peanut M&Ms,0,0,0,0,0,0,0,0,0,0.24408349,0.472142227,49.879457
Tootsie Pop,0,1,0,0,0,0,1,0,1,0.463440192,0.576725727,36.966816
Warheads,0,1,1,0,0,0,0,1,1,0.27073468,0.53871772,55.945325
Reese's Peanut Butter cup,1,0,0,0,0,1,0,1,0,0.962424158,0.315950702,60.156716
Nik L Nip,1,1,0,0,0,0,0,0,0,0.139002177,0.04984809,67.794467
Skittles wildberry,0,0,1,0,0,0,0,0,1,0.532165175,0.357342879,32.749968
Fun Dip,0,0,0,0,1,0,0,0,0,0.373111879,0.903926278,30.571399
Skittles wildberry,0,0,0,0,0,0,1,1,1,0.970175167,0.19107365,62.361429
Caramel Apple Pops,1,1,0,0,0,0,1,0,1,0.902477042,0.585566085,56.836232
Tootsie Roll Midgies,0,1,0,0,0,1,0,0,0,0.244201512,0.087596127,41.040306
Fun Dip,0,1,0,0,0,0,0,0,1,0.815402135,0.470500929,79.707731
Mounds,0,0,0,0,0,1,0,0,0,0.866625968,0.180575621,53.863273
Haribo Happy Cola,1,1,0,0,0,0,0,1,0,0.174854937,0.723444964,51.922308
Lifesavers big ring gummies,0,1,0,1,1,0,0,0,0,0.360938123,0.463429131,48.137977
Red vines,1,0,1,0,0,0,1,0,1,0.762704482,0.343192523,47.491508
Lifesavers big ring gummies,0,0,0,1,0,0,0,1,1,0.5400271,0.268155078,32.654118
Tootsie Roll Snack Bars,1,0,0,0,0,1,0,0,1,0.986867722,0.154081064,55.894766
Kit Kat,1,1,0,0,0,0,0,0,1,0.904116135,0.449194971,50.967691
Pixie Sticks,1,0,0,0,0,0,0,0,1,0.381789182,0.287321009,54.381104
Milk Duds,0,0,0,1,0,0,0,1,1,0.286379324,0.247486499,50.871097
Starburst,1,0,0,0,0,0,0,1,0,0.447083891,0.806793007,35.475129
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.836661068,0.386926995,31.798348
Smarties candy,0,0,0,0,0,0,0,0,1,0.303840813,0.050132319,79.757869
Charleston Chew,1,0,1,0,0,0,0,0,1,0.408343922,0.789372044,51.63088
Welch's Fruit Snacks,0,0,0,0,0,0,0,0,0,0.852303073,0.352093728,55.722153
