Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
chrysler lebaron salon,18.6,4.0,90.0,96.0,2112.0,17.2,1970-01-01,Japan
datsun b210,40.3,4.0,94.0,81.0,1827.0,15.1,1970-01-01,Europe
toyota carina,15.7,7.0,441.0,204.0,3731.0,13.7,1970-01-01,USA
audi 5000s (diesel),21.9,4.0,127.0,64.0,2300.0,17.6,1970-01-01,Japan
buick skylark,17.4,5.0,227.0,76.0,4115.0,15.4,1970-01-01,USA
ford gran torino (sw),28.7,4.0,100.0,57.0,2888.0,14.4,1970-01-01,Europe
dodge omni,25.6,5.0,87.0,51.0,2354.0,15.6,1970-01-01,Japan
vw rabbit,28.8,4.0,81.0,92.0,1780.0,14.7,1970-01-01,Japan
ford mustang gl,29.8,3.0,85.0,76.0,2378.0,15.6,1970-01-01,Japan
datsun 610,31.5,4.0,93.0,94.0,2457.0,17.7,1970-01-01,Japan
mercury lynx l,22.6,6.0,188.0,86.0,3583.0,16.9,1970-01-01,USA
plymouth sapporo,9.9,6.0,306.0,107.0,1613.0,21.1,1970-01-01,USA
chevrolet vega (sw),14.4,8.0,381.0,99.0,2978.0,18.7,1970-01-01,USA
chevy s-10,30.9,4.0,119.0,80.0,2134.0,17.3,1970-01-01,Japan
datsun 810,35.3,4.0,117.0,67.0,2116.0,12.9,1970-01-01,Japan
buick skylark 320,14.2,7.0,269.0,122.0,4801.0,12.8,1970-01-01,USA
buick lesabre custom,23.5,4.0,105.0,59.0,2230.0,13.0,1970-01-01,Europe
plymouth valiant custom,19.9,5.0,398.0,143.0,3281.0,20.6,1970-01-01,USA
maxda rx3,30.2,4.0,115.0,60.0,3656.0,13.3,1970-01-01,Europe
chevrolet monza 2+2,17.4,5.0,174.0,105.0,3758.0,13.7,1970-01-01,USA
peugeot 304,31.5,4.0,138.0,74.0,2058.0,14.7,1970-01-01,Europe
volvo 264gl,19.5,4.0,92.0,110.0,2424.0,22.1,1970-01-01,Europe
volkswagen jetta,25.7,4.0,126.0,65.0,2232.0,14.5,1970-01-01,Europe
vokswagen rabbit,15.5,4.0,247.0,158.0,3082.0,19.4,1970-01-01,USA
volkswagen type 3,17.8,6.0,185.0,82.0,2038.0,19.5,1970-01-01,USA
buick skylark,15.7,7.0,263.0,109.0,2689.0,15.5,1970-01-01,USA
chevrolet caprice classic,13.3,4.0,107.0,108.0,2211.0,13.3,1970-01-01,Europe
buick opel isuzu deluxe,24.2,4.0,146.0,57.0,4316.0,14.0,1970-01-01,Europe
plymouth horizon 4,29.5,5.0,441.0,77.0,2574.0,12.4,1970-01-01,USA
datsun b-210,27.1,4.0,128.0,75.0,1849.0,16.1,1970-01-01,Europe
ford mustang cobra,27.3,4.0,92.0,85.0,1895.0,21.2,1970-01-01,Japan
volkswagen super beetle 117,38.9,5.0,107.0,68.0,4677.0,17.1,1971-01-01,Europe
fiat 124 tc,15.9,7.0,264.0,130.0,3157.0,13.2,1971-01-01,USA
volvo diesel,26.9,4.0,161.0,102.0,1849.0,16.1,1971-01-01,Europe
opel manta,30.9,4.0,110.0,50.0,4916.0,15.9,1971-01-01,Europe
ford gran torino (sw),31.0,4.0,82.0,71.0,2420.0,15.1,1971-01-01,Japan
volkswagen type 3,9.0,6.0,135.0,125.0,3838.0,18.2,1971-01-01,USA
plymouth valiant,34.8,4.0,125.0,116.0,3774.0,15.7,1971-01-01,Europe
datsun 710,23.9,7.0,252.0,97.0,2694.0,16.8,1971-01-01,USA
amc ambassador dpl,31.0,4.0,95.0,94.0,1892.0,12.2,1971-01-01,Europe
triumph tr7 coupe,26.4,4.0,80.0,102.0,2273.0,16.1,1971-01-01,Japan
amc hornet,30.9,4.0,107.0,,1888.0,12.4,1971-01-01,Japan
chrysler lebaron salon,28.2,4.0,94.0,77.0,1834.0,14.4,1971-01-01,Europe
pontiac phoenix,30.2,4.0,112.0,79.0,4568.0,15.9,1971-01-01,Europe
ford mustang boss 302,27.0,5.0,107.0,62.0,4847.0,15.0,1971-01-01,Europe
volkswagen rabbit custom,14.1,6.0,303.0,146.0,4484.0,14.2,1971-01-01,USA
buick century special,21.7,6.0,342.0,136.0,4745.0,13.4,1971-01-01,USA
datsun b210,24.6,5.0,111.0,105.0,4467.0,16.6,1971-01-01,Europe
honda civic,37.9,4.0,68.0,75.0,2222.0,14.7,1971-01-01,Japan
datsun 310,27.1,4.0,83.0,66.0,1975.0,15.5,1971-01-01,Europe
volvo 144ea,,8.0,315.0,123.0,3746.0,12.9,1971-01-01,USA
plymouth volare custom,39.0,4.0,83.0,85.0,1918.0,13.6,1971-01-01,Japan
volkswagen super beetle,29.9,4.0,119.0,68.0,3095.0,17.7,1971-01-01,Europe
volkswagen super beetle,19.2,3.0,138.0,92.0,2816.0,16.5,1971-01-01,Japan
