chevrolet chevelle malibu	USA	18	8
buick skylark 320	USA	15	8
plymouth satellite	USA	18	8
amc rebel sst	USA	16	8
ford torino	USA	17	8
ford galaxie 500	USA	15	8
chevrolet impala	USA	14	8
plymouth fury iii	USA	14	8
pontiac catalina	USA	14	8
amc ambassador dpl	USA	15	8
dodge challenger se	USA	15	8
plymouth 'cuda 340	USA	14	8
chevrolet monte carlo	USA	15	8
buick estate wagon (sw)	USA	14	8
toyota corona mark ii	Japan	24	4
plymouth duster	USA	22	6
amc hornet	USA	18	6
ford maverick	USA	21	6
datsun pl510	Japan	27	4
volkswagen 1131 deluxe sedan	Europe	26	4
peugeot 504	Europe	25	4
audi 100 ls	Europe	24	4
saab 99e	Europe	25	4
bmw 2002	Europe	26	4
amc gremlin	USA	21	6
ford f250	USA	10	8
chevy c20	USA	10	8
dodge d200	USA	11	8
hi 1200d	USA	9	8
chevrolet vega 2300	USA	28	4
toyota corona	Japan	25	4
ford pinto	USA	25	4
amc gremlin	USA	19	6
plymouth satellite custom	USA	16	6
chevrolet chevelle malibu	USA	17	6
ford torino 500	USA	19	6
amc matador	USA	18	6
pontiac catalina brougham	USA	14	8
ford galaxie 500	USA	14	8
dodge monaco (sw)	USA	12	8
ford country squire (sw)	USA	13	8
pontiac safari (sw)	USA	13	8
amc hornet sportabout (sw)	USA	18	6
chevrolet vega (sw)	USA	22	4
pontiac firebird	USA	19	6
ford mustang	USA	18	6
mercury capri 2000	USA	23	4
opel 1900	Europe	28	4
peugeot 304	Europe	30	4
fiat 124b	Europe	30	4
toyota corolla 1200	Japan	31	4
datsun 1200	Japan	35	4
volkswagen model 111	Europe	27	4
plymouth cricket	USA	26	4
toyota corona hardtop	Japan	24	4
dodge colt hardtop	USA	25	4
volkswagen type 3	Europe	23	4
chevrolet vega	USA	20	4
ford pinto runabout	USA	21	4
chevrolet impala	USA	13	8
plymouth fury iii	USA	15	8
amc ambassador sst	USA	17	8
mercury marquis	USA	11	8
buick lesabre custom	USA	13	8
oldsmobile delta 88 royale	USA	12	8
chrysler newport royal	USA	13	8
mazda rx2 coupe	Japan	19	3
amc matador (sw)	USA	15	8
chevrolet chevelle concours (sw)	USA	13	8
ford gran torino (sw)	USA	13	8
plymouth satellite custom (sw)	USA	14	8
volvo 145e (sw)	Europe	18	4
volkswagen 411 (sw)	Europe	22	4
peugeot 504 (sw)	Europe	21	4
renault 12 (sw)	Europe	26	4
ford pinto (sw)	USA	22	4
datsun 510 (sw)	Japan	28	4
toyouta corona mark ii (sw)	Japan	23	4
dodge colt (sw)	USA	28	4
toyota corolla 1600 (sw)	Japan	27	4
buick century 350	USA	13	8
amc matador	USA	14	8
chevrolet malibu	USA	13	8
ford gran torino	USA	14	8
dodge coronet custom	USA	15	8
mercury marquis brougham	USA	12	8
chevrolet caprice classic	USA	13	8
ford ltd	USA	13	8
plymouth fury gran sedan	USA	14	8
chrysler new yorker brougham	USA	13	8
buick electra 225 custom	USA	12	8
amc ambassador brougham	USA	13	8
plymouth valiant	USA	18	6
chevrolet nova custom	USA	16	6
ford maverick	USA	18	6
plymouth duster	USA	23	6
volkswagen super beetle	Europe	26	4
chevrolet impala	USA	11	8
ford country	USA	12	8
plymouth custom suburb	USA	13	8
oldsmobile vista cruiser	USA	12	8
amc gremlin	USA	18	6
toyota carina	Japan	20	4
chevrolet vega	USA	21	4
datsun 610	Japan	22	4
maxda rx3	Japan	18	3
ford pinto	USA	19	4
mercury capri v6	USA	21	6
fiat 124 sport coupe	Europe	26	4
chevrolet monte carlo s	USA	15	8
pontiac grand prix	USA	16	8
fiat 128	Europe	29	4
opel manta	Europe	24	4
audi 100ls	Europe	20	4
volvo 144ea	Europe	19	4
dodge dart custom	USA	15	8
saab 99le	Europe	24	4
toyota mark ii	Japan	20	6
oldsmobile omega	USA	11	8
plymouth duster	USA	20	6
amc hornet	USA	19	6
chevrolet nova	USA	15	6
datsun b210	Japan	31	4
ford pinto	USA	26	4
toyota corolla 1200	Japan	32	4
chevrolet vega	USA	25	4
chevrolet chevelle malibu classic	USA	16	6
amc matador	USA	16	6
plymouth satellite sebring	USA	18	6
ford gran torino	USA	16	8
buick century luxus (sw)	USA	13	8
dodge coronet custom (sw)	USA	14	8
ford gran torino (sw)	USA	14	8
amc matador (sw)	USA	14	8
audi fox	Europe	29	4
volkswagen dasher	Europe	26	4
opel manta	Europe	26	4
toyota corona	Japan	31	4
datsun 710	Japan	32	4
dodge colt	USA	28	4
fiat 128	Europe	24	4
fiat 124 tc	Europe	26	4
honda civic	Japan	24	4
subaru	Japan	26	4
fiat x1.9	Europe	31	4
plymouth valiant custom	USA	19	6
chevrolet nova	USA	18	6
mercury monarch	USA	15	6
ford maverick	USA	15	6
pontiac catalina	USA	16	8
chevrolet bel air	USA	15	8
plymouth grand fury	USA	16	8
ford ltd	USA	14	8
buick century	USA	17	6
chevroelt chevelle malibu	USA	16	6
amc matador	USA	15	6
plymouth fury	USA	18	6
buick skyhawk	USA	21	6
chevrolet monza 2+2	USA	20	8
ford mustang ii	USA	13	8
toyota corolla	Japan	29	4
ford pinto	USA	23	4
amc gremlin	USA	20	6
pontiac astro	USA	23	4
toyota corona	Japan	24	4
volkswagen dasher	Europe	25	4
datsun 710	Japan	24	4
ford pinto	USA	18	6
volkswagen rabbit	Europe	29	4
amc pacer	USA	19	6
audi 100ls	Europe	23	4
peugeot 504	Europe	23	4
volvo 244dl	Europe	22	4
saab 99le	Europe	25	4
honda civic cvcc	Japan	33	4
fiat 131	Europe	28	4
opel 1900	Europe	25	4
capri ii	USA	25	4
dodge colt	USA	26	4
renault 12tl	Europe	27	4
chevrolet chevelle malibu classic	USA	17.5	8
dodge coronet brougham	USA	16	8
amc matador	USA	15.5	8
ford gran torino	USA	14.5	8
plymouth valiant	USA	22	6
chevrolet nova	USA	22	6
ford maverick	USA	24	6
amc hornet	USA	22.5	6
chevrolet chevette	USA	29	4
chevrolet woody	USA	24.5	4
vw rabbit	Europe	29	4
honda civic	Japan	33	4
dodge aspen se	USA	20	6
ford granada ghia	USA	18	6
pontiac ventura sj	USA	18.5	6
amc pacer d/l	USA	17.5	6
volkswagen rabbit	Europe	29.5	4
datsun b-210	Japan	32	4
toyota corolla	Japan	28	4
ford pinto	USA	26.5	4
volvo 245	Europe	20	4
plymouth volare premier v8	USA	13	8
peugeot 504	Europe	19	4
toyota mark ii	Japan	19	6
mercedes-benz 280s	Europe	16.5	6
cadillac seville	USA	16.5	8
chevy c10	USA	13	8
ford f108	USA	13	8
dodge d100	USA	13	8
honda Accelerationord cvcc	Japan	31.5	4
buick opel isuzu deluxe	USA	30	4
renault 5 gtl	Europe	36	4
plymouth arrow gs	USA	25.5	4
datsun f-10 hatchback	Japan	33.5	4
chevrolet caprice classic	USA	17.5	8
oldsmobile cutlass supreme	USA	17	8
dodge monaco brougham	USA	15.5	8
mercury cougar brougham	USA	15	8
chevrolet concours	USA	17.5	6
buick skylark	USA	20.5	6
plymouth volare custom	USA	19	6
ford granada	USA	18.5	6
pontiac grand prix lj	USA	16	8
chevrolet monte carlo landau	USA	15.5	8
chrysler cordoba	USA	15.5	8
ford thunderbird	USA	16	8
volkswagen rabbit custom	Europe	29	4
pontiac sunbird coupe	USA	24.5	4
toyota corolla liftback	Japan	26	4
ford mustang ii 2+2	USA	25.5	4
chevrolet chevette	USA	30.5	4
dodge colt m/m	USA	33.5	4
subaru dl	Japan	30	4
volkswagen dasher	Europe	30.5	4
datsun 810	Japan	22	6
bmw 320i	Europe	21.5	4
mazda rx-4	Japan	21.5	3
volkswagen rabbit custom diesel	Europe	43.1	4
ford fiesta	USA	36.1	4
mazda glc deluxe	Japan	32.8	4
datsun b210 gx	Japan	39.4	4
honda civic cvcc	Japan	36.1	4
oldsmobile cutlass salon brougham	USA	19.9	8
dodge diplomat	USA	19.4	8
mercury monarch ghia	USA	20.2	8
pontiac phoenix lj	USA	19.2	6
chevrolet malibu	USA	20.5	6
ford fairmont (auto)	USA	20.2	6
ford fairmont (man)	USA	25.1	4
plymouth volare	USA	20.5	6
amc concord	USA	19.4	6
buick century special	USA	20.6	6
mercury zephyr	USA	20.8	6
dodge aspen	USA	18.6	6
amc concord d/l	USA	18.1	6
chevrolet monte carlo landau	USA	19.2	8
buick regal sport coupe (turbo)	USA	17.7	6
ford futura	USA	18.1	8
dodge magnum xe	USA	17.5	8
chevrolet chevette	USA	30	4
toyota corona	Japan	27.5	4
datsun 510	Japan	27.2	4
dodge omni	USA	30.9	4
toyota celica gt liftback	Japan	21.1	4
plymouth sapporo	USA	23.2	4
oldsmobile starfire sx	USA	23.8	4
datsun 200-sx	Japan	23.9	4
audi 5000	Europe	20.3	5
volvo 264gl	Europe	17	6
saab 99gle	Europe	21.6	4
peugeot 604sl	Europe	16.2	6
volkswagen scirocco	Europe	31.5	4
honda Accelerationord lx	Japan	29.5	4
pontiac lemans v6	USA	21.5	6
mercury zephyr 6	USA	19.8	6
ford fairmont 4	USA	22.3	4
amc concord dl 6	USA	20.2	6
dodge aspen 6	USA	20.6	6
chevrolet caprice classic	USA	17	8
ford ltd landau	USA	17.6	8
mercury grand marquis	USA	16.5	8
dodge st. regis	USA	18.2	8
buick estate wagon (sw)	USA	16.9	8
ford country squire (sw)	USA	15.5	8
chevrolet malibu classic (sw)	USA	19.2	8
chrysler lebaron town @ country (sw)	USA	18.5	8
vw rabbit custom	Europe	31.9	4
maxda glc deluxe	Japan	34.1	4
dodge colt hatchback custom	USA	35.7	4
amc spirit dl	USA	27.4	4
mercedes benz 300d	Europe	25.4	5
cadillac eldorado	USA	23	8
peugeot 504	Europe	27.2	4
oldsmobile cutlass salon brougham	USA	23.9	8
plymouth horizon	USA	34.2	4
plymouth horizon tc3	USA	34.5	4
datsun 210	Japan	31.8	4
fiat strada custom	Europe	37.3	4
buick skylark limited	USA	28.4	4
chevrolet citation	USA	28.8	6
oldsmobile omega brougham	USA	26.8	6
pontiac phoenix	USA	33.5	4
vw rabbit	Europe	41.5	4
toyota corolla tercel	Japan	38.1	4
chevrolet chevette	USA	32.1	4
datsun 310	Japan	37.2	4
chevrolet citation	USA	28	4
ford fairmont	USA	26.4	4
amc concord	USA	24.3	4
dodge aspen	USA	19.1	6
audi 4000	Europe	34.3	4
toyota corona liftback	Japan	29.8	4
mazda 626	Japan	31.3	4
datsun 510 hatchback	Japan	37	4
toyota corolla	Japan	32.2	4
mazda glc	Japan	46.6	4
dodge colt	USA	27.9	4
datsun 210	Japan	40.8	4
vw rabbit c (diesel)	Europe	44.3	4
vw dasher (diesel)	Europe	43.4	4
audi 5000s (diesel)	Europe	36.4	5
mercedes-benz 240d	Europe	30	4
honda civic 1500 gl	Japan	44.6	4
renault lecar deluxe	Europe	40.9	4
subaru dl	Japan	33.8	4
vokswagen rabbit	Europe	29.8	4
datsun 280-zx	Japan	32.7	6
mazda rx-7 gs	Japan	23.7	3
triumph tr7 coupe	Europe	35	4
ford mustang cobra	USA	23.6	4
honda Accelerationord	Japan	32.4	4
plymouth reliant	USA	27.2	4
buick skylark	USA	26.6	4
dodge aries wagon (sw)	USA	25.8	4
chevrolet citation	USA	23.5	6
plymouth reliant	USA	30	4
toyota starlet	Japan	39.1	4
plymouth champ	USA	39	4
honda civic 1300	Japan	35.1	4
subaru	Japan	32.3	4
datsun 210	Japan	37	4
toyota tercel	Japan	37.7	4
mazda glc 4	Japan	34.1	4
plymouth horizon 4	USA	34.7	4
ford escort 4w	USA	34.4	4
ford escort 2h	USA	29.9	4
volkswagen jetta	Europe	33	4
renault 18i	Europe	34.5	4
honda prelude	Japan	33.7	4
toyota corolla	Japan	32.4	4
datsun 200sx	Japan	32.9	4
mazda 626	Japan	31.6	4
peugeot 505s turbo diesel	Europe	28.1	4
volvo diesel	Europe	30.7	6
toyota cressida	Japan	25.4	6
datsun 810 maxima	Japan	24.2	6
buick century	USA	22.4	6
oldsmobile cutlass ls	USA	26.6	8
ford granada gl	USA	20.2	6
chrysler lebaron salon	USA	17.6	6
chevrolet cavalier	USA	28	4
chevrolet cavalier wagon	USA	27	4
chevrolet cavalier 2-door	USA	34	4
pontiac j2000 se hatchback	USA	31	4
dodge aries se	USA	29	4
pontiac phoenix	USA	27	4
ford fairmont futura	USA	24	4
amc concord dl	USA	23	4
volkswagen rabbit l	Europe	36	4
mazda glc custom l	Japan	37	4
mazda glc custom	Japan	31	4
plymouth horizon miser	USA	38	4
mercury lynx l	USA	36	4
nissan stanza xe	Japan	36	4
honda Accelerationord	Japan	36	4
toyota corolla	Japan	34	4
honda civic	Japan	38	4
honda civic (auto)	Japan	32	4
datsun 310 gx	Japan	38	4
buick century limited	USA	25	6
oldsmobile cutlass ciera (diesel)	USA	38	6
chrysler lebaron medallion	USA	26	4
ford granada l	USA	22	6
toyota celica gt	Japan	32	4
dodge charger 2.2	USA	36	4
chevrolet camaro	USA	27	4
ford mustang gl	USA	27	4
vw pickup	Europe	44	4
dodge rampage	USA	32	4
ford ranger	USA	28	4
chevy s-10	USA	31	4
