Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
datsun 710,22.6,4,346.0,170,2321,13.5,1970-01-01,Japan
plymouth horizon,12.3,5,420.0,143,1620,17.7,1970-01-01,USA
chevrolet citation,13.1,7,434.0,143,3678,13.5,1970-01-01,USA
plymouth volare premier v8,14.7,7,206.0,81,4073,11.8,1970-01-01,USA
amc concord,12.2,5,453.0,83,3934,15.0,1970-01-01,USA
buick electra 225 custom,13.4,7,436.0,186,2655,11.0,1970-01-01,USA
chrysler newport royal,10.3,6,248.0,191,4151,13.8,1970-01-01,USA
dodge aspen se,26.8,5,302.0,157,2249,13.6,1970-01-01,USA
datsun 510 (sw),20.5,4,172.0,122,2041,8.0,1970-01-01,Japan
saab 99le,11.5,4,116.0,59,2045,16.1,1970-01-01,Europe
chevrolet vega (sw),17.9,5,369.0,174,2289,14.3,1970-01-01,USA
dodge charger 2.2,19.9,5,272.0,93,2985,11.8,1970-01-01,USA
pontiac firebird,19.5,8,388.0,185,2360,12.5,1970-01-01,USA
buick skylark limited,9.1,5,128.0,66,3042,18.3,1970-01-01,USA
honda civic,26.7,4,269.0,192,2555,14.1,1970-01-01,Japan
fiat 124 sport coupe,18.3,4,312.0,217,2229,16.1,1970-01-01,Europe
volkswagen dasher,23.0,4,202.0,213,1976,18.8,1970-01-01,Europe
pontiac safari (sw),15.7,4,110.0,177,3592,14.5,1970-01-01,USA
volkswagen rabbit,15.7,4,446.0,151,2150,12.9,1970-01-01,Europe
chevrolet woody,9.8,8,110.0,147,3989,16.0,1970-01-01,USA
toyota mark ii,14.2,6,298.0,132,2191,14.5,1970-01-01,Japan
ford pinto (sw),15.0,8,356.0,119,3363,11.2,1970-01-01,USA
peugeot 504 (sw),15.9,4,268.0,224,1963,18.6,1970-01-01,Europe
audi 5000s (diesel),17.7,4,184.0,102,2166,12.5,1970-01-01,Europe
oldsmobile cutlass ls,25.2,6,146.0,128,4749,13.4,1970-01-01,USA
renault 12tl,16.9,4,412.0,99,2149,17.8,1970-01-01,Europe
opel 1900,13.4,4,98.0,147,1830,16.9,1970-01-01,Europe
plymouth fury iii,16.4,7,116.0,150,3226,17.2,1970-01-01,USA
opel manta,15.3,4,112.0,57,2905,12.2,1970-01-01,Europe
toyota corona,17.5,5,435.0,162,2074,15.4,1970-01-01,Japan
datsun 210,14.2,5,384.0,83,2056,16.7,1970-01-01,Japan
opel 1900,17.2,4,318.0,202,2131,18.4,1970-01-01,Europe
toyota corolla,19.4,4,345.0,112,2123,18.0,1970-01-01,Japan
oldsmobile cutlass ciera (diesel),18.8,7,191.0,169,3413,12.3,1970-01-01,USA
datsun b210,12.3,5,135.0,76,2413,12.6,1970-01-01,Japan
toyota corolla 1600 (sw),21.3,4,344.0,80,2152,16.1,1970-01-01,Japan
