Date,CO2,adjusted CO2
1958-03-02,317.66,409.13
1958-05-06,338.37,392.12
1958-05-07,394.04,407.6
1958-05-12,314.43,314.79
1958-06-05,340.66,385.6
1958-06-08,395.86,409.37
1958-06-20,341.49,342.32
1958-08-03,335.06,383.56
1958-08-25,394.52,409.58
1958-10-14,351.66,391.01
1958-11-08,408.18,398.59
1958-11-13,378.47,366.12
1958-11-28,317.93,317.73
1959-02-11,350.3,318.31
1959-03-13,349.5,383.03
1959-04-28,331.66,354.51
1959-06-01,345.47,342.19
1959-07-28,335.59,363.13
1959-11-01,392.87,322.85
1959-11-03,358.51,380.79
1959-11-13,339.27,388.4
1959-12-17,374.25,348.65
1960-01-30,362.7,327.49
1960-02-01,326.56,321.29
1960-02-27,318.62,332.54
1960-03-07,326.42,398.15
1960-04-23,362.97,366.42
1960-06-16,350.87,323.46
1960-06-30,347.12,325.24
1960-08-31,315.52,365.04
1960-09-22,392.64,377.78
1960-10-27,335.16,335.61
1960-10-30,407.8,406.0
1961-01-25,386.61,400.47
1961-02-12,340.08,332.94
1961-03-04,412.26,387.96
1961-05-15,360.79,367.2
1961-05-18,380.18,383.75
1961-06-21,325.52,388.71
1961-07-27,354.3,347.12
1961-08-27,321.13,352.16
1961-09-13,414.99,390.54
1961-10-31,348.52,412.52
1961-11-21,368.81,409.22
1961-12-26,368.67,391.64
1961-12-30,378.46,315.13
1962-02-10,387.8,382.75
1962-03-08,358.97,338.05
1962-05-24,402.53,337.18
1962-05-27,389.3,327.68
1962-06-01,410.85,346.06
1962-07-24,387.24,357.05
1962-09-05,381.57,374.2
1962-09-10,383.73,331.24
1963-02-10,403.94,409.63
1963-04-07,375.91,341.33
1963-05-15,377.48,331.51
1963-06-30,398.42,384.07
1963-07-01,340.13,376.75
1963-07-02,358.84,368.99
1963-08-14,356.96,401.3
1963-11-01,371.73,370.31
1963-11-17,388.11,349.43
1964-01-18,392.68,411.04
1964-01-28,391.94,344.41
1964-03-02,398.81,383.11
1964-03-02,336.17,394.58
1964-03-25,330.7,351.48
1964-08-12,371.75,346.05
1964-08-22,390.1,330.29
1964-11-11,347.67,340.2
1964-12-19,385.47,337.02
1964-12-28,364.3,387.98
1965-02-24,369.61,393.12
1965-05-07,375.4,356.84
1965-05-19,398.72,335.25
1965-08-24,349.3,409.88
1965-10-16,408.38,363.46
1966-01-26,341.18,403.28
1966-05-09,326.44,320.88
1966-07-23,352.2,359.31
1966-09-01,344.69,358.4
1966-10-11,351.29,367.12
1966-11-30,361.41,346.27
1967-03-27,401.9,367.87
1967-04-23,331.14,380.23
1967-07-26,334.24,391.45
1967-08-04,392.09,321.9
1967-08-05,374.61,373.1
