Date,CO2,adjusted CO2
1958-03-01,316.49,314.5
1958-03-31,316.43,314.31
1958-04-30,314.6,314.66
1958-05-30,316.34,314.41
1958-06-29,317.19,315.36
1958-07-29,317.04,315.02
1958-08-28,315.35,314.98
1958-09-27,315.51,314.98
1958-10-27,314.43,315.22
1958-11-26,315.74,315.53
1958-12-26,316.1,315.5
1959-01-25,317.23,316.29
1959-02-24,318.42,315.76
1959-03-26,316.63,315.99
1959-04-25,318.28,315.72
1959-05-25,317.48,316.62
1959-06-24,317.88,316.45
1959-07-24,320.14,316.51
1959-08-23,317.42,316.86
1959-09-22,319.7,316.61
1959-10-22,319.05,317.39
1959-11-21,316.16,316.79
1959-12-21,318.67,317.29
1960-01-20,317.29,317.44
1960-02-19,319.96,317.53
1960-03-20,319.09,317.41
1960-04-19,317.49,317.58
1960-05-19,318.43,318.24
1960-06-18,318.19,318.53
1960-07-18,320.47,318.37
1960-08-17,318.75,318.39
1960-09-16,320.13,318.17
1960-10-16,319.58,319.01
1960-11-15,321.3,318.36
1960-12-15,319.45,318.81
1961-01-14,319.18,319.23
1961-02-13,320.06,318.75
1961-03-15,321.97,318.82
1961-04-14,320.48,319.34
1961-05-14,321.78,319.71
1961-06-13,322.4,320.3
1961-07-13,322.14,319.58
1961-08-12,320.47,320.2
1961-09-11,323.0,320.76
1961-10-11,320.18,320.31
1961-11-10,320.5,320.68
1961-12-10,322.41,320.68
1962-01-09,322.5,320.34
1962-02-08,323.02,320.7
1962-03-10,323.72,321.05
1962-04-09,322.07,320.83
1962-05-09,323.99,321.06
1962-06-08,323.75,321.08
1962-07-08,323.21,321.03
1962-08-07,325.9,322.08
1962-09-06,324.19,322.02
1962-10-06,323.53,321.45
1962-11-05,322.04,322.21
1962-12-05,323.59,321.37
1963-01-04,322.8,322.17
1963-02-03,323.3,322.08
1963-03-05,324.81,321.98
1963-04-04,322.48,323.09
1963-05-04,323.9,322.31
1963-06-03,324.78,322.86
1963-07-03,324.51,322.91
1963-08-02,325.5,322.98
1963-09-01,323.99,323.51
1963-10-01,322.6,323.62
1963-10-31,325.55,323.62
1963-11-30,325.27,323.72
1963-12-30,325.87,324.55
1964-01-29,327.95,323.52
1964-02-28,326.3,323.99
1964-03-29,327.55,323.74
1964-04-28,323.14,324.26
1964-05-28,323.9,324.67
1964-06-27,325.67,324.16
1964-07-27,325.16,324.49
1964-08-26,324.13,325.08
1964-09-25,324.68,325.27
1964-10-25,324.76,324.95
1964-11-24,326.57,325.71
1964-12-24,325.44,325.31
1965-01-23,326.4,325.78
1965-02-22,325.6,326.06
1965-03-24,327.02,326.3
1965-04-23,329.82,325.75
1965-05-23,325.43,325.66
1965-06-22,328.56,326.24
1965-07-22,327.65,326.58
1965-08-21,327.73,325.75
1965-09-20,326.68,326.56
1965-10-20,327.01,326.8
1965-11-19,329.06,326.68
1965-12-19,327.79,326.81
1966-01-18,328.66,327.77
1966-02-17,327.66,326.9
1966-03-19,325.96,327.97
1966-04-18,328.52,327.24
1966-05-18,329.42,328.21
1966-06-17,329.78,327.51
1966-07-17,329.46,328.01
1966-08-16,331.14,328.27
1966-09-15,328.03,328.2
1966-10-15,329.99,327.63
1966-11-14,332.43,328.18
1966-12-14,330.75,328.74
