Date,CO2,adjusted CO2
1958-03-01,317.68,314.05
1958-03-31,314.84,315.11
1958-04-30,313.25,314.18
1958-05-30,315.21,314.6
1958-06-29,316.19,315.36
1958-07-29,316.47,315.38
1958-08-28,315.9,314.82
1958-09-27,318.76,315.16
1958-10-27,317.07,315.45
1958-11-26,317.78,315.6
1958-12-26,319.02,315.73
1959-01-25,318.65,316.36
1959-02-24,315.16,316.16
1959-03-26,319.05,315.52
1959-04-25,316.02,316.32
1959-05-25,316.4,316.92
1959-06-24,316.41,316.81
1959-07-24,317.64,316.91
1959-08-23,317.57,316.95
1959-09-22,320.67,316.83
1959-10-22,317.81,317.02
1959-11-21,318.13,317.29
1959-12-21,316.91,317.28
1960-01-20,318.76,317.56
1960-02-19,319.64,317.21
1960-03-20,318.9,317.21
1960-04-19,318.5,317.73
1960-05-19,319.33,317.82
1960-06-18,318.83,318.16
1960-07-18,319.7,318.66
1960-08-17,321.44,318.04
1960-09-16,320.24,319.02
1960-10-16,320.93,318.6
1960-11-15,320.71,318.63
1960-12-15,322.2,319.44
1961-01-14,320.55,319.31
1961-02-13,321.92,319.64
1961-03-15,319.75,318.97
1961-04-14,322.21,319.23
1961-05-14,321.6,319.42
1961-06-13,321.59,319.92
1961-07-13,321.81,319.72
1961-08-12,320.09,319.83
1961-09-11,321.48,319.83
1961-10-11,322.17,320.66
1961-11-10,321.73,319.99
1961-12-10,321.31,319.89
1962-01-09,321.87,320.97
1962-02-08,323.57,320.69
1962-03-10,322.59,321.17
1962-04-09,322.63,321.2
1962-05-09,321.61,321.18
1962-06-08,322.24,321.25
1962-07-08,322.7,321.05
1962-08-07,322.5,321.72
1962-09-06,320.6,321.96
1962-10-06,323.23,321.4
1962-11-05,322.08,321.88
1962-12-05,323.99,322.04
1963-01-04,323.86,321.95
1963-02-03,325.85,321.92
1963-03-05,324.79,322.78
1963-04-04,322.29,322.48
1963-05-04,322.3,322.72
1963-06-03,325.29,322.61
1963-07-03,324.94,323.21
1963-08-02,326.19,323.07
1963-09-01,323.82,323.6
1963-10-01,325.9,323.18
1963-10-31,326.2,323.55
1963-11-30,325.4,324.08
1963-12-30,322.13,323.92
1964-01-29,323.03,324.41
1964-02-28,325.84,323.9
1964-03-29,324.3,324.34
1964-04-28,325.73,324.61
1964-05-28,327.25,324.71
1964-06-27,326.28,324.48
1964-07-27,326.66,324.43
1964-08-26,328.03,325.31
1964-09-25,325.94,324.87
1964-10-25,325.74,325.25
1964-11-24,326.41,325.43
1964-12-24,325.63,324.76
1965-01-23,325.47,325.86
1965-02-22,326.24,324.96
1965-03-24,328.38,325.26
1965-04-23,326.84,326.05
1965-05-23,327.33,325.81
1965-06-22,325.72,325.58
1965-07-22,327.25,326.4
1965-08-21,326.81,326.54
1965-09-20,328.99,327.13
1965-10-20,328.2,326.89
1965-11-19,327.94,326.85
1965-12-19,329.27,326.79
1966-01-18,327.16,326.85
1966-02-17,327.97,327.05
1966-03-19,329.49,327.7
1966-04-18,327.8,327.43
1966-05-18,327.03,327.84
1966-06-17,331.66,327.93
1966-07-17,330.61,327.66
1966-08-16,328.95,328.43
1966-09-15,329.59,327.74
1966-10-15,330.66,328.45
1966-11-14,330.05,328.68
1966-12-14,328.64,328.52
1967-01-13,327.58,328.27
1967-02-12,331.68,328.62
1967-03-14,326.12,328.92
1967-04-13,328.38,328.44
1967-05-13,330.89,329.75
1967-06-12,328.01,328.73
1967-07-12,329.55,329.27
1967-08-11,332.72,329.48
1967-09-10,329.97,329.87
1967-10-10,330.07,329.96
1967-11-09,331.73,330.1
1967-12-09,332.39,329.97
1968-01-08,329.81,330.34
1968-02-07,329.27,330.51
1968-03-08,329.42,330.34
1968-04-07,330.99,330.8
1968-05-07,334.78,330.6
1968-06-06,333.81,331.14
1968-07-06,332.79,330.9
1968-08-05,331.48,331.62
1968-09-04,335.21,331.54
1968-10-04,333.27,331.99
1968-11-03,332.75,331.39
1968-12-03,333.19,331.77
1969-01-02,332.92,331.96
1969-02-01,334.21,332.4
1969-03-03,333.09,332.29
1969-04-02,332.51,332.26
1969-05-02,334.08,332.34
1969-06-01,334.26,332.32
1969-07-01,334.93,332.29
1969-07-31,334.63,332.75
1969-08-30,334.61,332.31
1969-09-29,332.68,333.19
1969-10-29,335.79,332.88
1969-11-28,332.01,333.48
1969-12-28,336.64,333.2
1970-01-27,333.9,334.1
1970-02-26,336.85,333.87
1970-03-28,335.33,334.13
1970-04-27,333.24,333.87
1970-05-27,334.28,334.09
1970-06-26,336.29,334.55
1970-07-26,336.25,334.01
1970-08-25,336.63,334.56
1970-09-24,337.38,335.16
1970-10-24,333.58,334.91
1970-11-23,336.33,335.36
1970-12-23,337.67,335.22
1971-01-22,339.44,335.58
1971-02-21,337.67,334.98
1971-03-23,334.79,335.42
1971-04-22,338.41,335.0
1971-05-22,337.79,335.76
1971-06-21,334.82,335.92
1971-07-21,337.27,336.34
1971-08-20,335.11,336.05
1971-09-19,337.54,336.41
1971-10-19,335.86,336.29
1971-11-18,337.9,336.34
1971-12-18,337.67,336.19
1972-01-17,336.81,336.27
1972-02-16,336.99,336.87
1972-03-17,340.06,337.27
1972-04-16,339.08,337.34
1972-05-16,341.17,336.79
1972-06-15,336.69,337.27
1972-07-15,339.41,337.82
1972-08-14,338.09,337.67
1972-09-13,336.6,337.83
1972-10-13,338.95,337.88
1972-11-12,339.55,338.2
1972-12-12,339.67,338.0
1973-01-11,337.82,338.77
1973-02-10,340.27,338.74
1973-03-12,341.92,338.59
1973-04-11,341.08,338.86
1973-05-11,339.32,338.96
1973-06-10,340.51,339.27
1973-07-10,340.94,338.76
1973-08-09,339.5,339.01
1973-09-08,341.13,339.65
1973-10-08,340.24,339.4
1973-11-07,341.95,339.85
1973-12-07,338.46,339.54
1974-01-06,340.61,339.37
1974-02-05,345.63,339.52
1974-03-07,339.25,339.76
1974-04-06,342.13,339.66
1974-05-06,340.71,340.17
1974-06-05,340.82,340.62
1974-07-05,341.64,340.66
1974-08-04,342.07,340.77
1974-09-03,341.21,341.36
1974-10-03,339.4,341.75
1974-11-02,341.51,341.04
1974-12-02,341.92,341.13
1975-01-01,340.31,341.48
1975-01-31,341.8,341.31
1975-03-02,342.31,342.48
1975-04-01,344.76,341.96
1975-05-01,343.92,341.71
1975-05-31,342.67,342.06
