_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,2000,6.08,60.19,2.27,57.53,Afghanistan,8.03,55.39
,1975,2.78,44.21,3.62,67.99,Afghanistan,5.65,61.18
,1985,5.12,68.2,4.69,80.95,Afghanistan,2.44,72.07
,1965,6.82,66.38,2.41,78.95,Afghanistan,4.27,73.7
,1995,3.03,81.57,2.06,70.88,Afghanistan,,79.37
,1995,1.68,59.57,1.38,74.77,Afghanistan,2.55,66.84
,1965,6.44,60.7,3.7,76.87,Afghanistan,1.23,64.55
,1995,2.39,81.57,3.72,73.98,Afghanistan,5.52,
,1980,5.04,70.84,2.74,78.58,Afghanistan,7.04,70.94
,1995,3.51,54.37,4.39,71.62,Afghanistan,2.69,64.71
,1980,1.69,57.5,4.06,67.46,Afghanistan,1.62,
,1970,6.51,73.86,3.07,51.03,Argentina,,69.38
,1970,4.05,69.05,6.28,60.05,Argentina,6.0,59.38
,1980,1.45,65.47,4.75,71.29,Argentina,4.37,75.4
,1985,3.81,77.76,2.09,71.49,Argentina,,71.73
,1985,3.84,68.27,1.37,65.27,Argentina,3.99,66.69
,1970,7.57,70.75,3.11,44.6,Argentina,4.33,72.43
,1985,2.88,48.88,3.53,76.99,Argentina,4.69,61.99
,1970,3.0,55.15,8.1,56.29,Argentina,6.95,74.03
,1995,7.34,45.2,4.76,52.92,Argentina,7.9,73.29
,1960,2.24,49.34,5.18,75.14,Argentina,6.55,55.42
,1975,4.62,60.23,6.45,72.13,Argentina,5.69,68.65
,1995,7.88,58.18,5.48,57.73,Argentina,5.3,57.72
,1960,2.9,65.74,1.42,56.96,Australia,7.19,42.58
,1955,5.52,77.31,4.25,70.6,Australia,7.63,50.47
,1980,3.54,65.02,4.77,81.57,Australia,5.49,65.54
,1990,2.72,75.79,3.09,58.61,Australia,4.95,66.13
,1975,4.18,57.87,1.55,77.15,Australia,2.32,
,1990,8.1,65.63,8.23,65.56,Australia,4.28,42.67
,1955,2.68,65.95,,72.87,Australia,7.26,52.69
,1980,1.5,57.37,3.66,69.47,Australia,1.61,
,1980,5.61,61.66,6.11,56.22,Australia,6.97,70.5
,1980,2.09,71.03,2.62,70.96,Australia,6.27,
,1995,3.35,65.72,6.87,59.02,Australia,1.25,
,1995,4.56,59.8,,63.05,Australia,3.3,57.9
,1970,2.34,50.35,3.01,67.05,Austria,6.05,
,1960,2.64,60.09,,55.32,Austria,1.81,70.57
,1960,6.1,61.84,5.51,67.59,Austria,,80.24
,1955,2.93,73.29,6.1,81.57,Austria,6.0,68.09
,1960,6.52,64.96,2.13,80.59,Austria,5.35,70.85
,1960,6.15,74.44,8.23,61.84,Austria,2.83,54.2
,1955,1.48,59.37,2.24,69.92,Austria,5.09,56.93
,1975,4.65,69.37,2.46,78.28,Austria,5.87,66.18
,1985,2.39,36.92,4.3,75.72,Austria,2.43,59.72
,1995,5.28,58.67,2.48,64.91,Austria,4.44,60.11
,1985,6.05,56.74,1.33,68.35,Austria,6.02,80.24
,1970,6.82,65.92,4.09,65.77,Bahamas,5.63,
,1955,4.71,64.69,4.89,60.64,Bahamas,5.81,73.64
,1975,5.03,72.51,3.48,71.89,Bahamas,2.03,70.46
,1975,1.89,71.24,2.67,,Bahamas,5.4,62.34
,1975,7.83,81.57,3.07,75.37,Bahamas,6.18,76.47
,1970,7.57,78.17,4.36,79.87,Bahamas,8.01,
,1970,8.11,69.64,1.03,72.52,Bahamas,5.68,62.17
,1990,5.45,63.37,5.77,69.39,Bahamas,3.62,58.18
,1995,3.79,67.36,3.04,,Bahamas,2.6,66.3
,1980,6.55,57.33,2.81,56.05,Bahamas,5.9,80.24
,1955,3.66,67.06,1.03,72.38,Bahamas,7.27,59.14
,1970,4.38,49.55,1.49,68.91,Bahamas,5.16,71.3
,1975,3.78,74.79,2.01,60.53,Bahamas,1.24,74.94
,1980,1.61,62.44,3.27,,Bahamas,4.46,75.76
,1980,1.41,70.64,4.56,63.16,Bahamas,,74.96
,1955,2.62,70.35,,71.32,Bangladesh,7.85,63.51
,1960,2.61,51.52,4.16,62.65,Bangladesh,2.1,37.81
,1965,5.02,61.79,2.45,58.35,Bangladesh,1.99,72.58
,1985,3.33,78.83,,73.25,Bangladesh,1.79,72.94
,1980,5.92,67.27,2.89,,Bangladesh,3.22,45.68
,1980,3.66,60.89,3.85,76.74,Bangladesh,4.76,70.19
,1995,2.59,44.64,4.26,69.38,Bangladesh,1.67,73.54
,1980,7.22,71.13,6.43,64.61,Bangladesh,2.87,70.81
,1980,7.87,81.57,2.45,75.57,Bangladesh,7.41,48.65
,1990,7.79,67.74,,65.66,Bangladesh,2.15,55.31
,1975,7.74,51.71,1.03,55.43,Bangladesh,2.77,70.76
,2000,3.29,78.12,3.44,59.53,Barbados,7.5,78.14
,1995,8.05,73.5,,63.17,Barbados,,59.83
,1970,6.6,61.26,3.37,71.38,Barbados,6.13,47.3
,1965,2.29,71.1,3.52,50.65,Barbados,5.62,53.97
,1970,3.12,76.3,,59.65,Barbados,8.13,62.29
,1960,7.84,62.68,3.85,53.94,Barbados,6.76,67.76
,1970,5.0,57.09,2.99,53.36,Barbados,2.91,69.92
,2000,3.8,63.47,3.2,67.98,Barbados,1.89,58.49
,1975,6.16,69.82,2.92,60.85,Barbados,3.9,73.08
,1955,3.01,57.66,3.25,61.69,Barbados,7.09,48.65
,1970,6.98,63.86,3.08,73.77,Barbados,6.61,70.76
,2000,7.98,65.53,7.25,81.57,Barbados,3.52,67.87
,2000,5.88,69.45,2.86,65.28,Belgium,2.72,
,1980,5.26,67.57,8.23,53.59,Belgium,2.54,56.01
,1960,2.59,75.65,1.66,75.99,Belgium,5.86,49.78
,1995,3.46,71.05,5.87,,Belgium,,53.98
,1960,5.92,77.92,1.33,77.72,Belgium,4.4,70.55
,1970,1.15,52.93,5.35,55.87,Belgium,5.52,62.49
,2000,1.3,59.17,2.97,56.5,Belgium,4.35,57.11
,1975,1.75,79.3,2.25,54.16,Belgium,6.28,57.82
,1965,4.23,68.42,3.65,66.9,Belgium,3.51,65.09
