_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1985,6.99,81.57,2.05,64.23,Afghanistan,7.97,69.82
,1955,1.91,50.9,,63.01,Afghanistan,,48.49
,1955,6.43,67.82,3.17,67.18,Afghanistan,2.36,77.6
,1960,2.99,67.1,5.36,,Afghanistan,2.59,68.51
Data courtesy of Gapminder.org,1960,7.3,66.92,4.65,56.62,Afghanistan,,
,1990,3.88,45.99,4.12,79.9,Afghanistan,2.62,72.72
,1970,8.07,78.16,1.25,61.31,Afghanistan,4.93,73.29
,1970,5.23,77.82,8.23,70.71,Afghanistan,6.39,70.76
,1985,4.93,72.8,1.64,71.31,Afghanistan,3.11,80.24
,1980,5.93,56.33,3.77,62.92,Argentina,1.62,60.08
,1960,8.14,54.01,5.25,75.33,Argentina,3.78,78.72
,1960,3.48,47.9,3.92,63.56,Argentina,6.65,69.88
,1965,8.05,70.65,3.17,,Argentina,5.17,65.12
,1975,5.87,57.24,4.88,64.25,Argentina,6.08,50.17
,1975,4.65,81.08,2.71,55.57,Argentina,2.39,63.83
,1975,6.83,53.92,2.94,66.59,Argentina,4.83,
,1955,2.64,81.57,4.18,78.23,Argentina,4.3,67.15
,1960,3.97,76.94,2.28,80.46,Argentina,4.25,68.84
,1975,5.57,63.86,1.73,63.54,Argentina,5.21,60.28
,1995,2.51,66.93,3.3,77.5,Australia,5.07,
,1990,4.97,58.89,4.29,81.34,Australia,,80.24
,1960,2.34,78.63,5.82,71.29,Australia,7.23,
,1955,2.9,48.76,2.16,63.12,Australia,1.34,47.12
,1995,6.01,66.47,4.07,67.7,Australia,7.5,75.9
,1995,2.91,65.4,2.14,70.56,Australia,,66.03
,1970,6.38,61.24,5.13,81.57,Australia,2.76,70.34
,1955,5.0,59.9,2.92,70.27,Australia,6.16,64.72
,1995,7.57,51.02,3.05,76.86,Australia,6.72,66.05
,1985,2.57,55.6,,51.6,Australia,7.79,49.66
,1960,7.96,81.57,3.17,63.39,Australia,2.41,58.75
,1975,6.17,68.01,1.94,75.34,Australia,4.55,60.89
,1955,5.54,56.69,3.22,68.63,Australia,1.47,43.88
,1955,5.73,53.97,3.05,73.3,Austria,,72.93
,1955,7.55,57.05,3.79,57.13,Austria,7.45,80.24
,1990,2.12,78.31,1.21,66.12,Austria,1.42,55.04
,1960,3.88,67.76,1.86,69.89,Austria,2.96,73.79
,1980,1.07,58.93,1.03,69.27,Austria,,73.21
,2000,7.68,39.7,3.08,64.46,Austria,3.75,65.7
,1975,6.02,68.97,2.25,74.0,Austria,3.98,80.24
,1970,8.12,63.63,4.23,81.52,Austria,7.95,
,1990,2.88,64.39,,,Austria,6.82,77.51
,2000,7.4,72.42,1.93,65.22,Bahamas,,
,1990,3.24,78.53,,67.82,Bahamas,1.21,59.07
,1975,7.2,69.33,3.94,73.5,Bahamas,3.98,57.55
,1980,6.44,52.24,3.25,73.15,Bahamas,,74.03
,1960,1.93,50.76,2.26,63.33,Bahamas,6.18,62.11
,1980,6.44,65.91,8.23,68.07,Bahamas,1.78,64.38
,1995,6.28,75.34,,60.74,Bahamas,2.18,63.69
,2000,8.06,68.66,1.27,62.4,Bahamas,1.96,77.89
,1960,7.55,68.78,3.81,55.91,Bahamas,2.43,71.1
,1990,3.1,81.57,2.42,,Bahamas,2.01,58.68
,1960,3.74,52.73,1.53,81.57,Bangladesh,2.98,66.84
,1955,4.33,68.45,,81.57,Bangladesh,3.77,78.71
,1955,7.1,63.04,,62.44,Bangladesh,2.38,65.37
,1980,3.36,72.82,8.23,54.78,Bangladesh,1.59,67.33
,1995,8.02,75.77,8.23,68.17,Bangladesh,3.88,62.33
,1985,5.48,81.57,2.67,68.91,Bangladesh,,
,1970,1.33,81.16,3.71,,Bangladesh,3.93,65.89
,1955,7.2,57.86,3.53,78.61,Bangladesh,2.86,50.2
,1990,5.64,67.0,4.88,51.73,Bangladesh,3.59,61.52
,1990,4.73,69.89,6.35,,Bangladesh,2.34,
,2000,3.99,76.08,2.32,76.16,Bangladesh,3.56,69.06
,1955,4.01,79.37,1.52,56.13,Bangladesh,2.51,61.12
,1995,5.46,53.06,,69.48,Bangladesh,4.25,77.49
,2000,5.69,70.16,4.2,63.16,Bangladesh,5.71,
,1990,3.57,68.82,3.53,,Bangladesh,2.59,69.09
,1980,4.81,71.91,4.86,67.75,Bangladesh,4.24,61.99
,1960,1.49,78.51,4.82,56.08,Bangladesh,6.77,60.72
,1965,4.68,54.03,2.76,68.08,Barbados,5.3,57.76
,1990,2.6,67.69,2.68,75.28,Barbados,1.91,74.28
,2000,1.45,63.05,2.34,71.93,Barbados,6.85,53.55
,1980,7.78,77.83,5.2,81.57,Barbados,1.97,80.24
,1990,3.45,61.55,,67.88,Barbados,4.33,58.96
,1995,1.12,81.57,1.15,64.2,Barbados,5.06,67.53
,2000,6.79,81.57,3.29,,Barbados,6.18,63.89
,1955,5.97,66.74,,80.3,Barbados,3.44,59.69
,1980,6.49,51.74,,,Barbados,,57.63
,1990,3.61,75.4,4.02,64.03,Barbados,4.27,74.51
,2000,3.32,60.96,7.96,57.71,Barbados,6.39,62.67
,1980,6.23,65.42,1.47,56.56,Barbados,4.64,64.1
,1965,7.0,64.2,,69.64,Belgium,6.54,70.67
,1975,6.18,71.19,3.91,71.71,Belgium,2.41,58.64
,1960,4.33,62.31,1.65,69.02,Belgium,2.59,73.5
,1980,7.32,59.61,6.52,54.75,Belgium,1.7,72.04
,2000,6.76,55.49,3.8,81.57,Belgium,7.35,67.21
,1960,4.59,77.64,4.89,65.63,Belgium,6.48,69.2
,1995,4.1,67.86,4.94,68.73,Belgium,3.96,47.13
,1995,1.87,75.4,1.2,57.11,Belgium,3.17,59.03
,1960,6.68,64.15,3.89,61.13,Belgium,3.18,71.47
,1965,2.78,73.4,1.05,,Belgium,,64.21
,1980,2.87,75.99,,49.49,Belgium,6.55,
,1960,5.72,69.3,,67.82,Bolivia,2.94,69.63
,2000,3.7,81.57,5.89,,Bolivia,4.43,80.18
,2000,6.4,64.75,3.61,73.72,Bolivia,4.37,80.24
,1985,6.55,58.94,3.38,69.54,Bolivia,6.78,54.74
,1990,6.9,63.08,2.23,58.54,Bolivia,1.69,
,1985,8.09,64.77,3.73,78.75,Bolivia,3.79,80.24
,1965,7.22,66.35,3.72,81.57,Bolivia,4.39,51.81
,2000,6.48,69.05,3.81,78.38,Bolivia,7.88,50.39
,1970,6.8,74.97,4.06,67.0,Brazil,6.69,79.2
,1985,1.04,61.38,6.31,75.68,Brazil,4.72,63.96
,1965,6.62,70.89,,69.19,Brazil,5.48,59.37
,1965,1.56,64.64,3.92,67.34,Brazil,,60.75
,2000,6.68,53.82,7.29,74.01,Brazil,,73.57
,1955,4.27,66.98,4.71,,Brazil,2.18,53.23
,1980,1.8,68.14,2.66,71.16,Brazil,,64.88
,1995,2.39,60.76,3.29,72.09,Brazil,,51.65
,2000,4.6,73.86,2.78,62.68,Brazil,4.81,47.66
,1960,4.41,73.67,5.91,70.5,Brazil,4.92,
,1955,1.5,81.57,3.22,59.66,Canada,5.39,
,2000,2.39,54.63,4.58,72.53,Canada,4.04,59.17
,1985,6.15,64.65,2.38,72.05,Canada,4.27,66.25
,1970,7.55,81.57,5.29,63.37,Canada,7.23,77.67
,1960,4.25,55.97,,62.58,Canada,,64.39
,2000,4.95,74.09,4.54,59.91,Canada,4.48,64.32
,1995,7.37,81.57,2.5,,Canada,4.19,
,1980,3.69,62.91,8.23,57.71,Canada,7.06,50.71
,1955,4.18,63.71,3.13,50.13,Canada,5.97,76.8
,1985,2.34,71.61,6.11,81.57,Canada,2.32,45.04
,1960,5.2,56.4,6.46,75.41,Canada,5.91,54.04
,2000,4.0,73.04,8.02,,Canada,5.31,57.9
,1965,7.55,71.11,2.64,81.57,Canada,4.35,62.76
,1955,3.09,60.31,2.13,77.97,Canada,7.25,52.17
,1990,1.63,59.67,,72.86,Canada,6.03,48.22
,1955,1.55,68.02,2.28,75.12,Canada,2.53,
,1965,7.03,59.08,6.74,46.89,Chile,7.75,54.01
,2000,7.34,64.5,8.23,75.56,Chile,1.4,60.19
,1995,3.83,46.03,3.45,75.47,Chile,3.86,74.08
,1965,1.74,64.24,2.83,69.55,Chile,,71.95
,1985,5.72,79.6,1.53,66.31,Chile,1.67,65.2
,1975,5.58,65.43,6.29,64.64,Chile,5.37,68.36
,1970,5.34,42.81,,81.57,Chile,8.15,63.92
,1965,1.65,59.99,2.8,72.74,Chile,7.28,66.16
,1980,5.64,68.28,2.36,59.73,Chile,7.6,79.46
,1995,2.5,67.23,5.12,76.88,Chile,5.6,75.48
,1970,3.63,59.81,1.7,74.27,Chile,1.28,62.65
,1965,2.04,68.81,1.87,75.31,Chile,2.91,75.68
,1965,3.77,61.08,3.04,59.35,China,,53.51
,1970,4.66,75.35,3.21,62.58,China,4.63,62.51
,1955,7.68,65.58,4.51,71.42,China,5.83,69.75
,1990,1.25,62.01,3.02,67.58,China,,66.3
,2000,3.13,73.31,5.31,65.17,China,2.43,54.29
,2000,7.86,54.54,1.72,65.16,China,5.27,75.62
,1980,7.35,72.39,1.89,53.67,China,2.52,80.24
,1965,4.17,62.37,3.93,78.66,China,5.93,72.19
,1965,7.32,66.24,,64.94,China,6.58,70.6
,2000,2.66,75.04,5.27,79.23,China,4.18,62.13
,2000,1.53,70.08,1.61,62.45,China,5.05,53.52
,1975,1.53,81.57,2.16,72.01,China,6.48,59.39
,1970,1.76,64.05,3.49,55.36,Colombia,8.13,47.6
,1970,7.86,57.28,3.42,71.1,Colombia,1.21,62.17
,1995,5.04,74.26,3.19,60.64,Colombia,6.07,58.89
,1975,5.09,71.42,4.28,81.57,Colombia,5.29,
,1990,2.45,53.32,,77.65,Colombia,1.48,56.55
,1995,1.3,63.13,2.47,81.57,Colombia,4.17,70.93
,1955,7.71,59.07,2.74,62.72,Colombia,5.72,80.24
,1990,7.93,57.51,4.79,,Costa Rica,1.84,68.01
,2000,3.68,77.5,2.6,50.81,Costa Rica,3.46,56.24
,2000,6.16,64.24,4.2,81.57,Costa Rica,,
,1995,4.24,56.62,1.7,81.57,Costa Rica,7.73,51.64
,1995,5.13,68.9,2.11,73.13,Costa Rica,1.19,60.98
,1975,3.73,73.93,4.57,66.88,Costa Rica,4.08,60.51
,1970,2.15,58.63,4.92,73.35,Costa Rica,7.69,58.22
,1955,7.9,58.03,,75.15,Costa Rica,3.38,50.09
,1995,1.03,54.4,,69.52,Costa Rica,2.41,80.24
,1980,1.59,72.65,2.44,74.56,Costa Rica,1.34,74.0
,1985,3.74,64.72,7.74,68.72,Costa Rica,7.71,70.85
,1990,8.19,63.0,2.65,68.99,Costa Rica,4.88,46.08
,1965,6.38,59.08,2.52,74.12,Costa Rica,5.05,65.42
,1970,7.68,63.16,4.0,75.28,Costa Rica,5.75,
,1985,1.06,58.75,,81.42,Costa Rica,6.59,51.37
,1990,1.06,70.44,7.16,71.06,Croatia,5.05,
,1980,2.9,56.53,3.48,66.22,Croatia,6.11,73.07
,1955,5.82,63.9,5.94,60.68,Croatia,6.77,54.64
,1960,4.19,48.52,1.08,,Croatia,1.72,
,1965,7.88,55.58,,74.41,Croatia,4.06,
,1980,1.55,77.8,,73.3,Croatia,1.65,71.23
,1970,6.1,77.95,,69.87,Croatia,6.52,68.09
,1975,1.2,67.8,7.45,68.64,Croatia,2.67,77.5
,1995,7.86,58.38,8.23,59.99,Croatia,6.5,61.53
,1975,7.31,69.07,1.27,63.68,Croatia,7.94,52.99
,1990,4.91,59.94,6.0,75.02,Croatia,1.48,66.82
,1960,7.9,72.35,3.29,80.43,Croatia,5.79,56.79
,1970,3.37,64.49,1.78,76.03,Croatia,6.36,52.71
,1975,2.59,55.95,2.07,65.29,Croatia,6.13,66.95
,1955,6.27,57.42,,61.54,Croatia,2.23,66.65
,1970,4.27,77.97,1.67,73.97,Croatia,2.64,64.13
,1960,1.65,64.61,2.72,62.05,Croatia,5.01,54.73
,1980,3.83,65.23,6.54,66.64,Cuba,6.15,76.01
,1965,5.31,65.78,2.55,60.14,Cuba,3.68,74.63
,1975,7.81,68.27,2.2,62.71,Cuba,4.4,77.51
,1975,1.31,81.57,,,Cuba,6.87,59.9
,1960,2.29,56.05,1.23,67.7,Cuba,2.46,77.09
,1975,5.86,60.46,1.85,66.46,Cuba,4.47,77.92
,2000,7.53,69.68,2.04,81.57,Cuba,7.42,71.07
,1955,7.67,63.46,,76.47,Cuba,5.33,55.86
,1965,1.61,81.57,2.83,72.5,Cuba,2.21,
,1965,1.75,70.91,4.5,54.25,Dominican Republic,4.43,53.5
,1970,1.51,74.47,2.07,74.75,Dominican Republic,6.04,77.92
,1985,4.01,66.59,1.7,71.52,Dominican Republic,2.63,75.66
,1990,2.35,77.44,2.98,62.7,Dominican Republic,6.79,69.42
,1965,2.99,67.65,4.79,61.25,Dominican Republic,3.38,
,1955,2.74,52.45,8.23,60.48,Dominican Republic,1.77,67.95
,2000,1.38,68.14,1.49,64.32,Dominican Republic,,73.05
,1965,5.14,53.97,,73.89,Dominican Republic,,61.75
,2000,7.59,73.76,3.61,79.37,Dominican Republic,1.87,51.96
,1985,4.84,58.37,2.45,65.49,Dominican Republic,7.53,56.33
,1970,4.46,48.89,8.23,61.6,Dominican Republic,2.69,76.63
,1980,7.84,68.7,4.13,68.67,Ecuador,3.28,53.52
,2000,6.8,43.78,3.33,66.18,Ecuador,6.52,63.15
,1995,5.4,55.56,4.27,67.43,Ecuador,5.65,54.09
,1960,3.51,52.23,3.17,54.64,Ecuador,6.14,64.43
,1970,3.99,78.01,4.14,75.86,Ecuador,2.67,49.72
,1960,7.34,61.11,,64.07,Ecuador,3.53,57.68
,1985,3.96,76.64,5.01,72.75,Ecuador,6.89,66.42
,1990,7.82,62.91,7.98,65.31,Ecuador,3.61,67.94
,1960,1.36,59.31,3.53,66.52,Ecuador,3.48,66.06
,2000,4.97,54.71,7.06,67.75,Ecuador,6.02,
,1990,3.11,54.7,8.23,57.16,Egypt,,44.79
,1970,4.77,57.36,,68.27,Egypt,4.79,56.39
,1995,1.44,72.5,5.65,76.86,Egypt,1.78,68.88
,1980,4.86,79.18,5.46,70.58,Egypt,7.17,66.39
,1980,4.9,61.96,2.04,68.89,Egypt,6.64,72.77
,1965,6.6,60.19,7.49,62.53,Egypt,4.51,61.05
,1975,6.41,52.4,2.32,,Egypt,6.72,56.14
,2000,3.74,57.13,4.02,73.08,Egypt,7.61,
,1985,7.06,66.16,3.02,72.4,Egypt,4.37,67.42
