MMSA,total_percent_at_risk,high_risk_per_ICU_bed,high_risk_per_hospital,icu_beds,hospitals,total_at_risk
"Silver Spring-Frederick-Rockville, MD, Metropolitan Division",58.69%,1919.68433,63106.75941,727,20,119264.73
"Charlotte-Concord-Gastonia, NC-SC",62.40%,2016.79875,48394.635,387,100,163598.67
"Springfield, MA",61.67%,1370.504318,37367.13,NA,9,594863.07
"Cincinnati, OH-KY-IN",68.20%,2000.767381,34824.45526,146,16,290188.9
"Charlotte-Concord-Gastonia, NC-SC",62.66%,1493.132605,70296.38,650,4,92155.33
"Atlanta-Sandy Springs-Roswell, GA",58.02%,1920.567866,40976.1,111,3,120074.46
"Jackson, MS",48.01%,4489.84875,36728.40423,522,21,137876.38
"Charleston-North Charleston, SC",66.60%,3251.603053,56520.03929,31,6,231723.17
"Buffalo-Cheektowaga-Niagara Falls, NY",58.26%,2919.072935,12548.97,52,10,482035.74
"Salisbury, MD-DE",51.13%,944.2910526,47113.114,112,22,311348.21
"Chicago-Naperville-Elgin, IL-IN-WI",53.58%,1713.245747,28838.08758,226,2,151632.31
"Charleston, WV",65.10%,2648.925704,55868.79211,314,12,438643.15
"Boise City, ID",62.72%,1734.587336,60835.76385,200,4,93304.13
"Tuscaloosa, AL",56.02%,2183.080962,65358.40111,314,6,179830.07
"Tallahassee, FL",55.88%,2302.129085,64868.69143,54,9,61363.92
"Sioux City, IA-NE-SD",57.72%,1924.917328,43734.28167,226,3,76185.51
"Seattle-Bellevue-Everett, WA, Metropolitan Division",72.31%,2230.095,18437.575,33,19,121660.09
"Allentown-Bethlehem-Easton, PA-NJ",57.86%,1618.733889,52495.52167,88,10,632248.43
"Tulsa, OK",65.10%,1694.240231,20732.3775,276,3,139154.4
"North Platte, NE",68.10%,1735.071991,56314.06182,115,4,100016.96
"Duluth, MN-WI",57.86%,1735.071991,6770.19,143,2,72258.73
"Sioux Falls, SD",57.99%,1123.504366,58783.38444,44,5,124948.04
"Claremont-Lebanon, NH-VT",60.18%,3860.557,38959.08714,314,34,280359.43
"Jacksonville, FL",52.32%,1060.187421,64868.69143,45,5,90466.05
"Knoxville, TN",54.72%,1082.387778,40474.52455,221,23,640631.99
"Cambridge-Newton-Framingham, MA, Metropolitan Division",65.10%,1165.437984,91771.34583,136,14,125326.4
"Miami-Fort Lauderdale-West Palm Beach, FL",60.22%,1572.474522,71100.61333,906,6,198858.45
"Denver-Aurora-Lakewood, CO",51.13%,2304.373554,63754.335,391,11,321528.7
"Rochester, MN",57.72%,2307.629846,36438.86,18,4,77401.29
"Rochester, NY",51.27%,3161.025223,31820.90875,46,21,82158.15
"Grand Rapids-Wyoming, MI",54.51%,2013.776027,65252.245,487,4,171861.18
"Charlotte-Concord-Gastonia, NC-SC",55.77%,2304.373554,59139.02261,68,9,104558.17
"Rochester, MN",62.66%,2104.114565,37830.13909,45,9,274277.12
"Chicago-Naperville-Elgin, IL-IN-WI",73.48%,1490.921329,46973.23652,88,11,313919.85
"El Paso, TX",57.75%,2228.447378,38084.1925,10,4,121956.93
"North Port-Sarasota-Bradenton, FL",69.07%,1056.271281,42243.01071,31,2,61341.31
"Port St. Lucie, FL",54.67%,2104.114565,63104.55167,256,3,168515.16
"Louisville/Jefferson County, KY-IN",61.89%,1468.166739,42290.198,91,100,201731.55
"Huntington-Ashland, WV-KY-OH",52.69%,2165.925455,85187.6,553,26,135053.31
"Wichita, KS",60.48%,2648.925704,37830.13909,45,5,194251.43
"Charleston, WV",62.33%,2110.081467,62035.12,488,5,192042.64
"Greenville-Anderson-Mauldin, SC",51.14%,1694.240231,45614.71214,166,6,297382.63
"Minot, ND",52.17%,1614.752369,35705.66143,487,4,61547.88
"Kahului-Wailuku-Lahaina, HI",54.84%,2307.629846,44705.8425,91,4,61098.8
"Cleveland-Elyria, OH",67.11%,1717.404843,38650.804,224,22,2457088.04
"Panama City, FL",60.63%,1390.313636,40474.52455,299,17,1432514.02
"Wichita, KS",66.48%,2413.394779,69832.754,10,7,271020.41
"Fort Worth-Arlington, TX, Metropolitan Division",62.52%,NA,53709.72,370,9,381601.0
"College Station-Bryan, TX",60.60%,2000.767381,63754.335,906,7,333191.89
"Columbus, OH",65.98%,899.2759091,41046.98,143,3,33067.77
"Tuscaloosa, AL",58.67%,1924.917328,21408.912,168,5,130361.63
"Wilmington, DE-MD-NJ, Metropolitan Division",50.03%,2110.081467,46860.284,208,12,1015176.7
"Omaha-Council Bluffs, NE-IA",66.60%,1109.572514,26814.14333,906,4,86506.19
