date,wounds,other,disease,army_size
1854-04-01,18,63,1592,27826
1854-06-01,0,27,2518,14503
1854-07-01,132,44,73,14822
1854-07-01,48,361,267,27298
1854-07-01,32,70,1099,43270
1854-08-01,0,11,99,41587
1854-10-01,49,72,450,35818
1854-10-01,18,361,756,39165
1854-11-01,2,361,1135,40848
1855-01-01,132,29,775,46390
1855-02-01,164,45,9,31500
1855-02-01,42,55,386,24550
1855-04-01,164,361,59,9529
1855-04-01,1,14,202,26083
1855-05-01,53,33,1185,31003
1855-07-01,287,17,1324,29669
1855-09-01,83,43,1169,25479
1855-09-01,53,38,271,40069
1855-09-01,1,12,220,43817
1855-09-01,0,26,1312,27603
1855-11-01,83,9,35,13272
1856-01-01,33,22,369,41020
1856-03-01,134,20,96,29645
1856-03-01,42,83,1443,34763
