John Constantine (New Earth)	\\/wiki\\/John_Constantine_(New_Earth)	1984, June	Blue Eyes	Blond Hair	Good Characters	Male Characters	Public Identity	Living Characters	Bisexual Characters
Renee Montoya (New Earth)	\\/wiki\\/Renee_Montoya_(New_Earth)	1992, March	Brown Eyes	Black Hair	Good Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Todd Rice (New Earth)	\\/wiki\\/Todd_Rice_(New_Earth)	1983, September	Brown Eyes	Brown Hair	Good Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Hartley Rathaway (New Earth)	\\/wiki\\/Hartley_Rathaway_(New_Earth)	1959, May	Blue Eyes	Red Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Holly Robinson (New Earth)	\\/wiki\\/Holly_Robinson_(New_Earth)	1987, February	Blue Eyes	Red Hair	Good Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Grace Choi (New Earth)	\\/wiki\\/Grace_Choi_(New_Earth)	2003, August	Brown Eyes	Red Hair	Good Characters	Female Characters	Secret Identity	Living Characters	Bisexual Characters
Anissa Pierce (New Earth)	\\/wiki\\/Anissa_Pierce_(New_Earth)	2003, August	Brown Eyes	Black Hair	Good Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Mikaal Tomas (New Earth)	\\/wiki\\/Mikaal_Tomas_(New_Earth)	1976, March	Blue Eyes	Purple Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Mallah (New Earth)	\\/wiki\\/Mallah_(New_Earth)	1964, March	Brown Eyes	Brown Hair	Bad Characters	Male Characters	Secret Identity	Deceased Characters	Homosexual Characters
Hugh Dawkins (New Earth)	\\/wiki\\/Hugh_Dawkins_(New_Earth)	1986, November	White Eyes	Blond Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Scandal Savage (New Earth)	\\/wiki\\/Scandal_Savage_(New_Earth)	2005, July	Brown Eyes	Brown Hair	Bad Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Karen Lou Faulkner (New Earth)	\\/wiki\\/Karen_Lou_Faulkner_(New_Earth)	1987, July	Brown Eyes	Brown Hair	Neutral Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Knockout (New Earth)	\\/wiki\\/Knockout_(New_Earth)	1994, February	Blue Eyes	Red Hair	Bad Characters	Female Characters	Secret Identity	Living Characters	Bisexual Characters
Katherine Kane (New Earth)	\\/wiki\\/Katherine_Kane_(New_Earth)	2006, June	Green Eyes	Red Hair	Good Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Sigrid Nansen (New Earth)	\\/wiki\\/Sigrid_Nansen_(New_Earth)	1986, November	Blue Eyes	White Hair	Good Characters	Female Characters	Public Identity	Living Characters	Bisexual Characters
Ramsey Robinson (New Earth)	\\/wiki\\/Ramsey_Robinson_(New_Earth)	2004, November	Blue Eyes	Black Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Courtney Mason (New Earth)	\\/wiki\\/Courtney_Mason_(New_Earth)	1993, July	Blue Eyes	Blond Hair	Good Characters	Female Characters	Public Identity	Deceased Characters	Bisexual Characters
Gerri Brauer (Dakotaverse)	\\/wiki\\/Gerri_Brauer_(Dakotaverse)	1994, January	Blue Eyes	Blond Hair	Good Characters	Female Characters	Secret Identity	Living Characters	Homosexual Characters
Mortimer Drake (New Earth)	\\/wiki\\/Mortimer_Drake_(New_Earth)	1943, November	Brown Eyes	Brown Hair	Bad Characters	Male Characters	Secret Identity	Living Characters	Bisexual Characters
Hero Cruz (New Earth)	\\/wiki\\/Hero_Cruz_(New_Earth)	1996, September	Brown Eyes	Black Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Josiah Power (New Earth)	\\/wiki\\/Josiah_Power_(New_Earth)	2002, February	Black Eyes	Black Hair	Good Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Thomas Jagger (New Earth)	\\/wiki\\/Thomas_Jagger_(New_Earth)	2006, June	Brown Eyes	Brown Hair	Good Characters	Male Characters	Public Identity	Living Characters	Homosexual Characters
Achilles Warkiller (New Earth)	\\/wiki\\/Achilles_Warkiller_(New_Earth)	2009, May	Blue Eyes	Blond Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Homosexual Characters
Frostbite (New Earth)	\\/wiki\\/Frostbite_(New_Earth)	1997, June	Blue Eyes	Blue Hair	Good Characters	Male Characters	Secret Identity	Living Characters	Bisexual Characters
Io (New Earth)	\\/wiki\\/Io_(New_Earth)	2003, November	Brown Eyes	Brown Hair	Good Characters	Female Characters	Public Identity	Living Characters	Homosexual Characters
Syonide II (New Earth)	\\/wiki\\/Syonide_II_(New_Earth)	1985, March	Blue Eyes	Red Hair	Bad Characters	Female Characters	Secret Identity	Deceased Characters	Homosexual Characters
Liana Kerzner (New Earth)	\\/wiki\\/Liana_Kerzner_(New_Earth)	2008, November	Blue Eyes	Red Hair	Neutral Characters	Female Characters	Public Identity	Living Characters	Homosexual Characters
Daria Hernandez (New Earth)	\\/wiki\\/Daria_Hernandez_(New_Earth)	2003, July	Brown Eyes	Brown Hair	Neutral Characters	Female Characters	Public Identity	Living Characters	Homosexual Characters
