page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
119136,Todd Rice (Some Years Later),\/wiki\/Todd_Rice_(Some_Years_Later),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3093,"2009, February",2012
254537,Achilles Warkiller (New Earth),\/wiki\/Achilles_Warkiller_(New_Earth),,Good Characters,,Blond Hair,Male Characters,,Living Characters,3093,"2009, May",1948
10804,Courtney Mason (New Earth),\/wiki\/Courtney_Mason_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,3093,"1993, July",2013
172994,Henry Cannon (New Earth),\/wiki\/Henry_Cannon_(New_Earth),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3093,"1984, April",1982
281014,Henry Cannon (New Earth),\/wiki\/Henry_Cannon_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3093,"1984, April",2009
14812,Karen Lou Faulkner (New Earth),\/wiki\/Karen_Lou_Faulkner_(New_Earth),Secret Identity,Neutral Characters,,Brown Hair,Female Characters,,Living Characters,3093,"1987, July",2013
58696,Sigrid Nansen (New Earth),\/wiki\/Sigrid_Nansen_(New_Earth),Public Identity,Good Characters,,White Hair,Female Characters,,Living Characters,3093,"1986, November",1989
61493,Joshua Barbazon (New Earth),\/wiki\/Joshua_Barbazon_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,3093,1989,1969
27482,Io (New Earth),\/wiki\/Io_(New_Earth),,,Brown Eyes,Brown Hair,Female Characters,,Living Characters,3093,"2003, November",
121992,Kevin Mayer (New Earth),\/wiki\/Kevin_Mayer_(New_Earth),Public Identity,,,,Male Characters,,Living Characters,3093,1988,2013
121697,Henry Cannon (New Earth),\/wiki\/Henry_Cannon_(New_Earth),,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3093,"1984, April",1953
291186,Io (New Earth),\/wiki\/Io_(New_Earth),Public Identity,Good Characters,Brown Eyes,,Female Characters,,Living Characters,3093,"2003, November",1990
81361,Henry Cannon (New Earth),\/wiki\/Henry_Cannon_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3093,"1984, April",1991
404010,Courtney Mason (New Earth),\/wiki\/Courtney_Mason_(New_Earth),,Good Characters,,Blond Hair,Female Characters,,Deceased Characters,3093,"1993, July",1964
200113,Fauna Faust (New Earth),\/wiki\/Fauna_Faust_(New_Earth),Secret Identity,Bad Characters,,White Hair,Female Characters,,Deceased Characters,3093,"1995, March",2012
205365,Scandal Savage (New Earth),\/wiki\/Scandal_Savage_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,3093,"2005, July",2010
12451,Sigrid Nansen (New Earth),\/wiki\/Sigrid_Nansen_(New_Earth),Public Identity,Good Characters,,White Hair,Female Characters,,Living Characters,3093,"1986, November",2013
341184,Henry Cannon (New Earth),\/wiki\/Henry_Cannon_(New_Earth),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3093,"1984, April",1990
21061,Mortimer Drake (New Earth),\/wiki\/Mortimer_Drake_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,,Male Characters,,Living Characters,3093,"1943, November",1965
31151,Fauna Faust (New Earth),\/wiki\/Fauna_Faust_(New_Earth),,Bad Characters,Black Eyes,,Female Characters,,Deceased Characters,3093,"1995, March",1998
29915,Twilight II (New Earth),\/wiki\/Twilight_II_(New_Earth),,Bad Characters,,White Hair,Female Characters,,Living Characters,3093,"1997, November",1995
219261,Gerri Brauer (Dakotaverse),\/wiki\/Gerri_Brauer_(Dakotaverse),,Good Characters,,,Female Characters,,Living Characters,3093,"1994, January",1955
5803,Kevin Mayer (New Earth),\/wiki\/Kevin_Mayer_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,3093,1988,1975
