carat,cut,color,clarity,depth,table,price,x,y,z
1.7,Very Good,G,VVS1,61.7,53.0,2984,5.15,5.14,2.76
0.48,Very Good,G,VS2,63.3,60.0,3949,6.23,6.35,4.49
1.12,Premium,H,I1,65.6,57.0,7683,9.04,4.96,5.1
0.25,Very Good,H,VVS2,61.8,58.0,1884,5.68,7.38,2.88
0.54,Good,I,SI1,60.3,60.0,12609,5.6,5.21,3.9
2.36,Premium,I,VS2,62.3,61.0,3129,6.76,4.34,2.75
1.33,Premium,I,SI2,62.0,55.0,8777,7.51,4.03,2.97
1.04,Fair,H,SI2,62.4,59.0,993,6.22,5.33,3.52
0.7,Very Good,D,VS2,62.5,60.0,799,3.91,5.8,2.83
0.39,Premium,H,VVS2,63.5,56.0,10682,8.67,4.43,3.33
2.16,Premium,H,VS2,63.4,58.0,8552,5.72,6.21,3.25
0.93,Premium,E,SI2,62.8,59.0,11017,3.87,6.26,2.9
0.37,Ideal,H,VS2,64.0,60.0,2492,6.17,7.85,3.09
1.61,Very Good,F,VS1,62.6,55.0,1596,5.55,4.09,3.23
0.8,Ideal,I,VS1,60.4,56.0,3049,6.86,7.83,4.3
0.31,Very Good,H,SI1,62.6,55.0,2511,5.35,3.93,2.23
0.31,Very Good,E,VS1,62.4,59.0,12486,4.61,6.11,4.5
1.3,Good,I,VVS1,57.2,55.0,12028,6.7,3.89,3.6
1.06,Very Good,F,VS2,61.9,60.0,3231,5.18,5.23,2.85
0.77,Good,D,SI1,60.4,61.0,6229,5.28,6.04,2.85
2.3,Premium,H,SI2,61.4,58.0,3466,7.07,5.35,4.43
0.38,Ideal,E,VS1,61.6,60.0,731,5.73,6.28,4.35
0.77,Ideal,H,SI1,61.8,61.0,3772,5.2,6.31,3.09
2.48,Good,I,SI1,64.7,59.0,4663,5.84,5.75,3.27
0.81,Premium,H,SI1,62.2,65.0,9959,6.0,4.81,3.76
0.45,Premium,G,VVS2,61.9,55.0,493,4.22,4.2,2.23
1.33,Ideal,E,VS2,58.6,57.0,1366,4.33,6.74,2.19
0.49,Premium,E,SI1,62.8,55.0,1636,4.52,6.81,3.15
0.28,Very Good,E,SI1,59.0,60.0,4981,6.78,5.13,3.43
0.53,Premium,H,VS1,62.5,54.0,902,6.69,5.88,4.09
1.23,Ideal,E,SI1,55.6,62.0,4192,6.06,6.31,3.8
