carat,cut,color,clarity,depth,table,price,x,y,z
0.66,Premium,F,SI2,62.5,55.0,5093,5.8,5.5,3.8
0.54,Premium,F,VS1,61.7,57.0,386,5.19,5.86,3.83
1.18,Good,I,VS2,61.8,61.0,3797,6.92,4.11,3.48
0.68,Premium,E,SI2,60.5,56.0,11366,4.53,5.03,4.19
1.62,Ideal,I,VVS1,61.2,59.0,2883,5.98,4.69,3.59
1.36,Very Good,G,SI1,61.9,58.0,3473,3.78,8.16,4.92
0.61,Premium,I,SI1,60.1,56.0,8050,6.64,4.04,3.27
0.44,Very Good,J,VS2,63.3,56.0,9155,7.37,5.98,1.81
0.21,Very Good,D,VS2,62.1,59.0,780,4.04,5.77,4.14
0.41,Ideal,E,SI2,61.6,57.0,1522,6.4,5.6,5.02
0.27,Premium,H,VS1,61.2,59.0,326,4.17,6.03,3.05
1.64,Very Good,I,SI1,62.9,59.0,12871,5.32,7.32,3.74
1.0,Premium,I,SI1,61.9,56.0,6844,5.74,6.23,3.23
0.33,Ideal,E,VVS1,62.9,57.0,1227,7.78,6.18,3.42
1.85,Fair,H,SI2,65.0,58.0,5841,5.16,4.3,3.71
1.76,Very Good,F,VS2,61.0,58.0,1169,5.1,6.14,2.61
1.2,Fair,E,I1,60.2,57.0,911,5.52,4.27,4.19
1.16,Ideal,J,VS2,60.2,58.0,1563,4.1,3.76,3.5
0.59,Very Good,F,IF,62.2,56.0,794,5.58,6.2,3.74
1.09,Very Good,E,SI2,64.6,58.0,3032,5.69,6.89,3.33
0.52,Very Good,E,VVS1,61.5,58.0,4080,6.44,5.21,4.63
0.58,Fair,E,VS2,62.7,57.0,8349,5.96,6.32,3.41
1.38,Ideal,I,SI2,62.3,55.0,6892,5.22,6.77,3.01
0.31,Very Good,J,SI2,63.7,59.0,2123,6.09,6.54,3.74
0.26,Good,F,SI1,61.8,52.0,2480,6.17,6.53,3.52
1.2,Ideal,I,IF,59.2,55.0,6993,7.57,6.06,3.5
0.89,Ideal,G,VS1,63.3,53.0,18384,6.38,5.58,4.22
0.2,Ideal,H,SI1,63.7,61.0,4217,6.26,5.09,3.56
0.52,Very Good,H,VS2,68.9,60.0,1119,5.19,5.67,2.82
1.39,Very Good,G,VS2,61.4,57.0,1456,5.78,6.29,1.66
0.91,Good,E,IF,62.3,60.0,326,4.63,3.93,2.12
0.44,Premium,D,VS1,59.9,58.0,683,5.02,4.44,4.02
0.78,Premium,D,SI2,59.6,57.0,5621,5.76,5.81,2.19
0.8,Premium,I,SI2,63.7,60.0,4771,3.18,4.26,2.79
1.39,Good,G,SI1,60.9,63.0,750,6.57,5.23,2.94
1.39,Ideal,F,VS2,62.8,57.0,14653,5.32,5.07,3.34
0.6,Premium,H,VS2,61.7,58.0,18706,4.74,6.02,3.98
0.33,Good,H,I1,63.0,60.0,504,5.32,4.95,2.49
1.71,Very Good,I,VS2,62.6,56.0,1867,5.07,6.58,2.87
2.01,Premium,I,SI1,61.2,62.0,12072,7.1,6.22,3.01
0.28,Very Good,D,SI2,64.1,60.0,4337,5.44,5.85,5.35
0.54,Very Good,F,VS1,62.9,56.0,6491,5.73,4.95,4.95
0.87,Ideal,H,SI1,60.2,59.0,326,5.4,6.86,3.0
0.38,Fair,G,SI1,60.4,62.0,1543,6.33,6.39,2.77
1.25,Ideal,H,IF,63.0,54.0,6468,6.32,7.42,3.62
0.42,Very Good,D,VVS2,61.1,54.0,417,5.79,4.14,2.48
0.88,Good,F,SI2,62.0,56.0,11485,6.93,6.29,2.39
0.62,Good,H,SI1,61.9,58.0,3636,7.91,7.96,3.13
0.6,Good,D,VS1,60.9,56.0,1867,6.2,5.1,3.9
0.53,Ideal,D,SI1,62.0,61.0,6271,5.88,4.19,2.97
0.41,Premium,D,SI2,63.3,55.0,3147,8.71,5.75,2.79
0.41,Ideal,G,VVS1,61.0,56.0,10504,6.25,5.99,4.62
0.51,Very Good,D,VS2,58.2,58.0,6046,4.06,5.57,3.09
0.37,Premium,D,SI2,69.0,62.0,575,5.47,7.46,3.58
0.87,Premium,E,VS2,61.2,58.0,3849,4.85,2.53,3.24
2.15,Premium,J,SI1,61.7,59.0,5133,6.78,5.43,3.93
0.45,Premium,E,SI1,58.2,61.0,3941,4.93,6.89,3.74
0.89,Fair,H,SI2,58.9,60.0,520,6.32,5.8,2.91
0.28,Fair,I,SI2,62.1,61.0,4175,8.0,3.7,2.04
0.7,Good,D,SI1,61.5,61.0,2764,5.86,6.05,3.49
0.91,Fair,F,SI1,60.6,56.0,9744,6.71,6.38,4.36
0.58,Very Good,G,VS2,58.7,58.6,1082,4.16,6.87,3.68
0.26,Premium,E,VS1,59.9,58.0,3427,3.35,6.42,3.98
1.52,Good,J,VS2,64.9,62.0,8162,5.26,6.14,3.24
0.55,Premium,E,SI1,61.6,56.0,818,6.07,5.94,2.43
0.97,Ideal,F,SI2,58.9,56.0,1121,6.37,4.36,3.26
1.22,Very Good,D,SI1,63.4,57.0,849,6.7,7.1,3.33
1.09,Very Good,I,VS2,60.1,58.0,12039,4.62,5.43,3.49
0.4,Ideal,E,VS2,60.3,58.0,2861,4.46,5.46,3.7
0.59,Ideal,G,VVS1,62.0,54.0,2505,8.01,5.6,3.88
0.27,Ideal,F,VVS1,62.5,56.0,1694,3.76,5.4,2.33
0.5,Very Good,E,SI1,61.7,59.0,326,5.33,5.63,3.65
1.91,Ideal,E,VVS1,61.7,57.0,6842,6.94,8.95,3.93
1.52,Very Good,H,VS2,60.5,58.0,1611,3.93,8.83,4.06
0.29,Ideal,F,IF,62.0,62.0,1338,5.94,4.74,4.66
0.77,Fair,G,SI2,60.0,63.0,811,6.4,4.36,2.88
0.31,Very Good,H,VVS2,61.3,62.0,5940,6.41,6.37,3.83
0.42,Fair,F,SI2,60.5,62.0,1682,5.39,5.18,4.71
0.54,Ideal,F,VVS1,60.8,56.0,886,7.01,4.89,2.81
0.55,Premium,H,SI1,61.9,57.0,4285,6.26,5.84,3.36
0.98,Premium,H,VS2,58.9,56.0,16172,6.55,6.9,4.02
1.64,Premium,H,SI1,61.8,57.0,10798,5.18,4.96,4.35
0.82,Good,I,VS1,61.0,58.0,734,4.35,7.15,3.39
0.88,Very Good,H,VS1,66.4,56.0,1333,7.2,4.98,3.64
1.0,Very Good,E,SI2,59.1,56.0,1181,6.29,4.96,2.42
0.51,Very Good,J,VS2,58.4,56.0,7949,6.59,5.22,2.18
1.06,Good,I,SI1,65.3,58.0,2853,5.51,6.63,2.93
0.96,Ideal,I,VVS1,62.7,56.0,910,5.85,5.36,3.33
0.58,Very Good,H,SI1,60.9,55.0,6874,4.78,8.32,3.34
0.28,Very Good,G,VS1,61.2,55.0,4265,5.66,4.55,4.27
0.29,Very Good,G,SI1,60.5,54.0,7472,5.42,5.64,3.8
1.18,Premium,I,VS1,61.2,54.0,4436,5.24,5.91,3.93
1.08,Good,H,VVS1,60.5,56.0,1791,5.95,5.78,2.95
0.22,Premium,D,VS2,60.1,59.0,418,4.67,7.56,3.22
0.62,Very Good,E,SI1,62.4,60.0,5020,5.76,5.68,4.06
0.71,Good,G,VVS2,61.2,54.0,3856,7.51,3.96,3.03
0.6,Fair,I,SI2,59.9,59.0,2782,5.48,6.21,3.21
0.32,Good,E,VS2,58.6,56.0,326,6.27,5.29,2.94
