Entity,Year,Deaths
All natural disasters,1937,182707.0
All natural disasters,1985,42175.0
All natural disasters,1997,72250.0
All natural disasters,1986,1354.0
All natural disasters,1929,176490.0
All natural disasters,1966,94242.0
All natural disasters,2006,26769.0
All natural disasters,1962,214885.0
All natural disasters,1982,15818.0
All natural disasters,1969,108829.0
All natural disasters,1953,44963.0
All natural disasters,2000,167223.0
All natural disasters,2002,2687.0
All natural disasters,1997,36484.0
All natural disasters,1931,66821.0
All natural disasters,1964,79361.0
All natural disasters,1976,11033.0
All natural disasters,1980,184438.0
All natural disasters,2004,26659.0
All natural disasters,1917,304563.0
All natural disasters,1960,96789.0
All natural disasters,1900,32643.0
All natural disasters,1988,2710.0
All natural disasters,1965,53907.0
All natural disasters,1926,156203.0
All natural disasters,2017,478657.0
All natural disasters,1923,42214.0
All natural disasters,2000,57259.0
All natural disasters,1903,66841.0
All natural disasters,2014,2786.0
All natural disasters,1935,15364.0
All natural disasters,1964,39738.0
All natural disasters,1969,32663.0
All natural disasters,1914,10234.0
All natural disasters,1921,4474.0
All natural disasters,1966,7441.0
All natural disasters,1986,2679.0
All natural disasters,1920,96218.0
All natural disasters,2012,5387.0
All natural disasters,1968,13717.0
All natural disasters,1950,28185.0
All natural disasters,1984,26665.0
All natural disasters,1970,313857.0
All natural disasters,1927,9661.0
All natural disasters,1912,14838.0
All natural disasters,2007,283126.0
All natural disasters,1987,154770.0
All natural disasters,1961,151536.0
All natural disasters,1992,271156.0
All natural disasters,1993,99573.0
All natural disasters,1972,2352.0
All natural disasters,2014,26290.0
All natural disasters,1969,7372.0
All natural disasters,1938,4242.0
All natural disasters,1965,1343232.0
All natural disasters,1911,283.0
All natural disasters,1932,34196.0
All natural disasters,1928,47112.0
All natural disasters,1966,52470.0
All natural disasters,1997,6159.0
All natural disasters,1965,15140.0
All natural disasters,1998,205301.0
All natural disasters,1942,24043.0
All natural disasters,1964,34355.0
All natural disasters,1971,91461.0
All natural disasters,1962,215696.0
All natural disasters,1938,50808.0
All natural disasters,1989,1339.0
All natural disasters,1943,18403.0
All natural disasters,1994,212883.0
All natural disasters,1982,8172.0
All natural disasters,1941,51252.0
All natural disasters,1915,18360.0
All natural disasters,1959,29858.0
All natural disasters,1985,1768.0
All natural disasters,1977,110856.0
All natural disasters,1906,49016.0
All natural disasters,1931,328237.0
All natural disasters,2001,15965.0
All natural disasters,1933,2506.0
All natural disasters,1931,446397.0
All natural disasters,1973,3706227.0
All natural disasters,1990,117091.0
All natural disasters,1990,772280.0
All natural disasters,1962,11230.0
All natural disasters,1905,104460.0
All natural disasters,1994,28129.0
All natural disasters,1992,1019259.0
All natural disasters,1957,26891.0
All natural disasters,1968,107728.0
All natural disasters,1962,9515.0
All natural disasters,2000,34094.0
All natural disasters,1925,737.0
All natural disasters,1954,14171.0
All natural disasters,2007,206874.0
All natural disasters,1955,19480.0
All natural disasters,1956,23058.0
All natural disasters,1966,14023.0
All natural disasters,1982,2209.0
All natural disasters,1937,4041.0
All natural disasters,1936,644841.0
All natural disasters,1949,5782.0
All natural disasters,1977,18616.0
All natural disasters,1926,1399182.0
All natural disasters,1927,57313.0
All natural disasters,1921,93741.0
All natural disasters,1907,95240.0
All natural disasters,1973,29424.0
All natural disasters,1934,121697.0
All natural disasters,1903,69009.0
All natural disasters,1963,543735.0
All natural disasters,2004,7327.0
All natural disasters,1919,46817.0
All natural disasters,1957,8583.0
All natural disasters,1952,27733.0
Drought,1935,58.0
Drought,1937,329.0
Drought,1928,9.0
Drought,2016,125031.0
Drought,1975,79.0
Drought,1989,9.0
Drought,1907,27855.0
Drought,1958,7488.0
Drought,1969,1452.0
Drought,1914,9.0
Drought,1971,15.0
Drought,1984,577654.0
Drought,2000,10.0
Drought,1971,20540.0
Drought,1929,246.0
Drought,1993,81.0
Drought,2006,249.0
Drought,1915,44200.0
Drought,1901,94.0
Drought,1900,191206.0
Drought,1910,83.0
Drought,1968,3706227.0
Drought,1924,3534794.0
Drought,2009,1280.0
Drought,1948,293.0
Drought,1941,399.0
Drought,1985,10784.0
Drought,1994,218.0
Drought,1937,1132.0
