align,choice,time,coherence,firing_rate
dots,T1,563.0,13.3,33.3689116391
dots,T1,42.0,9.3,35.8698818296
dots,T2,58.0,5.6,39.2013744417
dots,T1,94.0,1.9,39.6524678411
dots,T2,496.0,11.2,36.1994087978
dots,T1,238.0,43.0,19.9661987153
dots,T2,333.0,4.3,51.7128924139
dots,T1,411.0,34.0,29.2241115981
dots,T2,585.0,4.3,40.7110520168
dots,T1,162.0,31.9,55.8733978709
dots,T2,231.0,8.1,31.5395985537
dots,T1,678.0,2.2,40.7631532351
dots,T2,688.0,0.4,17.6652178724
dots,T1,390.0,27.8,52.6093368814
dots,T2,688.0,26.8,11.0096449225
dots,T1,392.0,11.6,45.6268664644
dots,T2,230.0,0.3,36.5297677136
dots,T1,360.0,1.8,32.7637661185
dots,T2,655.0,4.9,61.2568723569
dots,T1,-53.0,4.1,34.7550540081
dots,T2,-14.0,9.0,43.0223542615
dots,T1,641.0,12.6,37.5234333407
dots,T2,657.0,7.8,34.183164356
dots,T1,22.0,37.0,37.4803151798
dots,T2,340.0,3.8,33.6943973793
dots,T1,100.0,0.9,45.2932681525
dots,T2,436.0,17.2,37.7610505414
dots,T1,533.0,9.8,57.9392697046
dots,T2,539.0,6.4,44.9005893403
dots,T1,-47.0,21.9,41.08205347
dots,T2,212.0,0.1,53.9816595759
dots,T1,49.0,7.4,22.3174418261
dots,T2,26.0,8.6,37.4043985658
dots,T1,213.0,24.8,32.6408977869
dots,T2,-37.0,6.1,27.190543631
dots,T1,-18.0,10.1,30.5232954415
dots,T2,647.0,51.2,39.8654308276
dots,T1,-63.0,17.8,26.3206659682
dots,T2,470.0,2.3,36.0699833021
dots,T1,562.0,7.3,55.697248698
dots,T2,89.0,6.2,15.2294207512
dots,T1,178.0,37.2,43.1591752644
dots,T2,356.0,4.8,50.1221014453
dots,T1,51.0,48.5,36.0583325345
dots,T2,687.0,9.0,47.3896436297
dots,T1,661.0,15.2,37.5708339287
dots,T2,610.0,0.3,49.5767067661
dots,T1,441.0,18.4,42.742868655
dots,T2,77.0,5.6,42.7206241281
dots,T1,710.0,4.0,61.7011893272
dots,T2,705.0,9.3,22.0403512721
dots,T1,-40.0,8.3,42.7523068407
dots,T2,270.0,16.6,10.3187987917
dots,T1,286.0,15.2,35.1608769979
dots,T2,328.0,0.0,44.3791304555
dots,T1,374.0,5.4,29.4369003924
dots,T2,532.0,47.6,35.8642984711
dots,T1,37.0,5.6,20.0578465471
dots,T2,199.0,1.5,48.3964606381
dots,T1,96.0,31.0,62.734282063
dots,T2,185.0,0.4,32.8173642751
dots,T1,701.0,35.6,53.0367492573
dots,T2,563.0,47.0,47.3001475601
dots,T1,383.0,3.8,29.4073800758
dots,T2,15.0,11.3,36.9892812665
dots,T1,-50.0,24.4,26.814886425
dots,T2,394.0,10.0,29.7818917306
dots,T1,328.0,14.1,30.906208165
dots,T2,402.0,8.2,33.3493060151
dots,T1,217.0,51.2,31.7292430002
dots,T2,-16.0,5.2,51.9903140442
dots,T1,93.0,27.5,53.7355444989
dots,T2,128.0,6.8,34.3030047688
dots,T1,633.0,36.4,23.4052707562
dots,T2,389.0,4.6,21.8061944082
dots,T1,634.0,11.1,36.2429846476
dots,T2,523.0,0.1,26.881734472
dots,T1,183.0,7.5,26.7957084202
dots,T2,398.0,11.8,48.0433854779
dots,T1,74.0,35.8,12.7947456932
dots,T2,123.0,23.3,26.3830754489
dots,T1,65.0,6.7,31.7693632146
dots,T2,99.0,51.2,64.529499888
dots,T1,104.0,4.3,33.2393290184
dots,T2,37.0,3.6,42.446592136
dots,T1,347.0,17.4,34.6126571718
dots,T2,0.0,4.3,47.7308795887
dots,T1,644.0,51.2,21.7439085762
dots,T2,447.0,14.9,41.7149029763
dots,T1,371.0,3.5,20.2740348453
dots,T2,603.0,13.4,17.7369516798
dots,T1,647.0,13.9,35.192052415
dots,T2,-33.0,32.7,41.3602620509
dots,T1,368.0,4.6,32.3711702502
dots,T2,707.0,9.4,35.4343551786
dots,T1,36.0,15.2,44.2950316396
dots,T2,451.0,5.4,38.1891758907
dots,T1,296.0,4.3,43.7556666531
dots,T2,229.0,3.7,37.3645666609
dots,T1,442.0,17.0,39.7773066534
dots,T2,59.0,7.9,61.6817933567
dots,T1,682.0,6.1,54.8054914873
dots,T2,-8.0,3.0,63.7481368432
dots,T1,616.0,10.7,35.0615033812
dots,T2,479.0,12.5,29.6748283961
dots,T1,3.0,22.1,22.3075331306
dots,T2,331.0,11.6,36.6258219917
dots,T1,671.0,0.3,49.6288619283
dots,T2,655.0,12.0,39.7096302277
dots,T1,638.0,1.8,37.828580132
dots,T2,417.0,2.0,45.1436514035
dots,T1,265.0,13.9,54.4161340459
dots,T2,581.0,24.8,66.9118660782
dots,T1,719.0,2.7,59.4444137387
dots,T2,241.0,1.5,44.4095272831
dots,T1,582.0,2.7,42.5621926722
dots,T2,17.0,4.0,33.9660574569
dots,T1,41.0,18.2,59.565853554
dots,T2,692.0,6.9,48.1602003437
dots,T1,208.0,16.0,26.8161889992
dots,T2,692.0,13.3,47.0153882079
dots,T1,-16.0,8.1,28.4725659044
dots,T2,-30.0,0.7,44.2103157957
dots,T1,427.0,5.2,52.5117122194
dots,T2,699.0,14.4,35.1400402613
dots,T1,661.0,1.3,20.9333278403
dots,T2,415.0,5.3,38.7171455405
dots,T1,530.0,3.5,21.0213433882
dots,T2,576.0,5.7,47.7264620338
dots,T1,335.0,5.5,25.2963303841
dots,T2,91.0,3.2,42.3982878282
dots,T1,-38.0,19.3,51.0837520977
dots,T2,594.0,36.4,43.8111459596
dots,T1,232.0,30.3,34.1562260298
dots,T2,5.0,20.9,55.4830035592
dots,T1,347.0,39.5,40.5427017936
dots,T2,392.0,20.5,53.1451826212
dots,T1,399.0,0.5,37.4703508041
dots,T2,159.0,5.9,25.0843692787
dots,T1,171.0,4.6,45.3915550991
dots,T2,603.0,4.1,37.0437930794
dots,T1,317.0,15.9,27.5400032594
dots,T2,440.0,7.4,27.6497915403
dots,T1,570.0,1.1,47.8218218583
dots,T2,270.0,2.2,45.3082990489
dots,T1,-80.0,37.6,29.6208635018
dots,T2,149.0,2.3,28.8693549135
dots,T1,88.0,4.7,27.2510794309
dots,T2,360.0,7.3,12.6884135372
dots,T1,518.0,2.3,55.0831695851
dots,T2,626.0,9.3,39.8250009653
dots,T1,530.0,24.3,31.2366723454
dots,T2,62.0,7.5,55.2883546255
dots,T1,60.0,38.9,40.8200629982
dots,T2,182.0,0.9,55.2024227246
dots,T1,456.0,11.1,34.6630196447
dots,T2,257.0,28.3,32.8743013908
dots,T1,-60.0,22.5,39.6267566069
