Date,Price
1915-01-05,324.28
1915-03-01,147.74
1915-03-07,337.92
1915-04-19,283.98
1915-06-23,118.02
1915-07-02,85.3
1915-07-25,535.11
1915-09-25,654.32
1915-12-07,103.41
1916-01-10,92.41
1916-03-23,103.29
1916-04-24,169.98
1916-06-05,210.0
1916-08-21,985.93
1916-09-01,247.72
1916-10-18,94.86
1916-11-25,220.27
1916-11-30,136.49
1916-12-26,98.79
1917-04-22,363.53
1917-05-16,225.85
1917-05-27,233.02
1917-06-12,336.28
1917-09-05,250.41
1917-09-09,450.65
1917-09-26,532.46
1917-09-27,592.04
1917-10-06,211.35
1917-11-17,141.62
1917-12-30,193.68
1918-01-10,158.75
1918-02-21,894.87
1918-04-02,331.85
1918-04-25,47.36
1918-04-28,304.11
1918-05-11,47.93
1918-06-17,135.19
1918-08-28,449.49
1918-09-24,183.63
1918-10-05,115.31
1918-10-25,91.65
1918-12-21,337.0
1919-02-22,807.69
1919-03-22,210.33
1919-08-04,407.74
1919-08-28,128.95
1919-09-15,235.43
1919-09-18,735.53
1919-11-17,135.79
1919-11-23,283.47
1920-01-03,186.03
1920-02-11,100.91
1920-02-19,65.58
1920-05-01,107.78
1920-05-14,95.74
1920-05-17,96.17
1920-07-09,169.14
1920-08-07,117.91
1920-09-18,74.49
1920-09-30,147.29
1920-10-28,186.73
1920-11-01,217.98
1920-12-27,258.71
1921-01-20,158.72
1921-03-28,343.98
1921-04-16,430.79
1921-04-25,159.59
1921-05-26,67.31
1921-06-23,145.93
1921-07-01,146.09
1921-07-08,542.31
1921-07-13,98.8
1921-07-29,239.54
1921-09-05,521.74
1921-11-05,411.24
1921-12-02,118.76
1922-01-06,251.85
1922-03-08,109.25
1922-04-18,391.41
1922-05-02,492.23
1922-05-25,309.31
1922-06-01,46.85
1922-06-14,985.93
1922-09-27,123.7
1922-09-30,176.37
1922-12-14,195.35
1922-12-24,398.21
1923-02-16,773.13
1923-02-27,512.28
1923-05-03,239.91
1923-08-06,376.78
1923-11-20,218.61
1923-12-21,250.62
1924-02-01,221.85
1924-02-06,362.59
1924-03-26,148.14
1924-05-17,164.96
