Date,Price
1914-12-01,74.71
1914-12-31,46.27
1915-01-30,30.27
1915-03-01,49.56
1915-03-31,59.11
1915-04-30,61.73
1915-05-30,55.9
1915-06-29,84.14
1915-07-29,67.17
1915-08-28,74.05
1915-09-27,86.22
1915-10-27,82.32
1915-11-26,47.43
1915-12-26,85.93
1916-01-25,55.61
1916-02-24,59.21
1916-03-25,59.2
1916-04-24,71.17
1916-05-24,70.33
1916-06-23,100.95
1916-07-23,72.37
1916-08-22,75.35
1916-09-21,63.06
1916-10-21,81.24
1916-11-20,89.78
1916-12-20,82.28
1917-01-19,78.11
1917-02-18,86.21
1917-03-20,81.01
1917-04-19,89.49
1917-05-19,106.69
1917-06-18,94.5
1917-07-18,101.18
1917-08-17,98.85
1917-09-16,113.45
1917-10-16,96.93
1917-11-15,110.3
1917-12-15,88.56
1918-01-14,112.9
1918-02-13,106.59
1918-03-15,106.35
1918-04-14,108.37
1918-05-14,91.02
1918-06-13,104.69
1918-07-13,111.41
1918-08-12,106.83
1918-09-11,102.47
1918-10-11,107.86
1918-11-10,124.59
1918-12-10,114.65
1919-01-09,114.84
1919-02-08,104.54
1919-03-10,110.62
1919-04-09,115.02
1919-05-09,112.79
1919-06-08,93.71
1919-07-08,119.69
1919-08-07,108.15
1919-09-06,126.92
1919-10-06,125.45
1919-11-05,145.07
1919-12-05,134.36
1920-01-04,109.31
1920-02-03,109.24
1920-03-04,138.79
1920-04-03,135.12
1920-05-03,147.37
1920-06-02,123.58
1920-07-02,144.15
1920-08-01,146.88
1920-08-31,138.82
1920-09-30,106.04
1920-10-30,114.83
1920-11-29,142.62
1920-12-29,127.15
1921-01-28,141.19
1921-02-27,156.04
1921-03-29,146.29
1921-04-28,149.88
1921-05-28,163.32
1921-06-27,142.33
1921-07-27,140.19
1921-08-26,146.65
1921-09-25,138.7
1921-10-25,136.92
1921-11-24,144.4
1921-12-24,165.54
1922-01-23,149.98
1922-02-22,154.66
1922-03-24,138.51
1922-04-23,153.51
1922-05-23,149.04
1922-06-22,170.51
1922-07-22,162.41
1922-08-21,159.72
1922-09-20,172.75
1922-10-20,151.61
1922-11-19,159.44
1922-12-19,174.34
1923-01-18,157.35
1923-02-17,149.58
1923-03-19,195.41
1923-04-18,184.74
1923-05-18,168.1
1923-06-17,174.26
1923-07-17,184.72
1923-08-16,178.49
1923-09-15,164.28
1923-10-15,153.53
1923-11-14,194.15
1923-12-14,138.73
1924-01-13,160.94
1924-02-12,185.8
1924-03-13,156.96
1924-04-12,172.09
1924-05-12,203.38
1924-06-11,175.87
1924-07-11,176.66
1924-08-10,193.02
1924-09-09,199.41
1924-10-09,173.58
1924-11-08,167.96
1924-12-08,169.3
1925-01-07,184.74
1925-02-06,222.27
1925-03-08,212.44
1925-04-07,202.16
1925-05-07,188.88
1925-06-06,225.78
1925-07-06,206.39
1925-08-05,200.95
1925-09-04,205.21
1925-10-04,202.32
1925-11-03,215.01
1925-12-03,203.68
1926-01-02,197.74
1926-02-01,213.09
1926-03-03,214.69
1926-04-02,221.21
1926-05-02,218.03
1926-06-01,217.63
1926-07-01,198.26
1926-07-31,229.06
1926-08-30,191.3
1926-09-29,237.17
1926-10-29,209.67
1926-11-28,238.85
1926-12-28,223.57
1927-01-27,202.6
1927-02-26,212.77
1927-03-28,232.54
1927-04-27,232.01
1927-05-27,235.6
1927-06-26,242.86
1927-07-26,204.9
1927-08-25,232.09
1927-09-24,245.18
1927-10-24,262.61
1927-11-23,244.88
1927-12-23,215.99
1928-01-22,251.8
1928-02-21,245.53
1928-03-22,215.82
1928-04-21,239.93
1928-05-21,218.33
1928-06-20,242.26
1928-07-20,225.42
1928-08-19,245.46
1928-09-18,243.0
1928-10-18,234.27
1928-11-17,235.92
1928-12-17,266.29
1929-01-16,256.28
1929-02-15,276.96
1929-03-17,232.17
1929-04-16,259.1
1929-05-16,245.77
1929-06-15,230.76
1929-07-15,253.99
1929-08-14,259.71
1929-09-13,260.71
1929-10-13,242.15
1929-11-12,266.31
1929-12-12,282.55
1930-01-11,274.01
1930-02-10,256.36
1930-03-12,267.96
1930-04-11,272.08
1930-05-11,257.55
1930-06-10,273.64
1930-07-10,264.58
1930-08-09,281.41
1930-09-08,246.58
1930-10-08,267.69
1930-11-07,317.44
1930-12-07,253.83
1931-01-06,282.29
1931-02-05,268.0
1931-03-07,268.9
1931-04-06,276.94
1931-05-06,281.03
1931-06-05,272.21
1931-07-05,254.11
1931-08-04,274.88
1931-09-03,278.8
1931-10-03,262.57
1931-11-02,277.21
1931-12-02,282.09
1932-01-01,306.29
1932-01-31,297.73
1932-03-01,285.1
