side,year,miles,gas
left,1956,8787,1.6
bottom,1956,6765,2.48
left,1957,4717,2.4
right,1957,9488,2.24
left,1960,9141,1.87
left,1960,8078,2.48
right,1961,7359,2.02
left,1962,8258,2.57
left,1962,4940,2.0
left,1963,8746,2.27
right,1964,4805,1.75
bottom,1967,7956,2.31
top,1968,4565,1.7
bottom,1968,5870,2.09
bottom,1971,9686,2.25
bottom,1972,5480,2.39
top,1972,4909,2.07
right,1974,7142,1.94
left,1975,8534,1.94
top,1976,8448,2.1
bottom,1978,3809,2.68
top,1979,6954,2.17
bottom,1979,5086,2.4
bottom,1981,4044,2.93
top,1984,8433,1.5
bottom,1984,5787,1.68
bottom,1985,4790,2.2
bottom,1986,4399,2.03
left,1990,9455,2.15
left,1990,4367,2.81
bottom,1990,5153,3.09
right,1991,5624,2.09
bottom,1992,7022,1.79
right,1992,5489,1.95
bottom,1992,6776,2.73
top,1995,5388,1.5
top,2000,10057,2.12
left,2001,4569,1.95
right,2002,9595,2.58
bottom,2003,5698,1.39
right,2003,7236,2.75
right,2003,9392,2.11
bottom,2003,6069,1.51
bottom,2004,4164,3.08
right,2005,4630,1.69
right,2006,3684,2.02
left,2006,4535,2.54
right,2006,6131,1.59
top,2006,7463,1.85
bottom,2007,9448,2.6
right,2007,8630,1.85
left,2007,6284,2.43
right,2008,9333,2.32
left,2009,6743,2.08
left,2009,5375,1.98
