Country,Month,Year,Lat,Lon,Value
Guinea,4,14,9.95,-13.38,206.0
Guinea,5,14,9.95,-9.89,513.0
Guinea,11,14,9.95,-11.93,
Guinea,11,14,9.95,-11.37,
Guinea,11,14,9.95,-14.45,1011.0
Guinea,5,14,9.95,-11.37,189.0
Guinea,3,14,9.95,-8.65,876.0
Liberia,5,14,6.43,-10.25,57.0
Liberia,7,14,10.55,-14.38,24.0
Liberia,9,14,6.43,-8.69,108.0
Liberia,10,14,6.43,-8.88,19.0
Liberia,11,14,8.13,-11.94,241.0
Liberia,11,14,6.43,-12.59,56.0
Liberia,8,14,6.43,-9.9,629.0
Liberia,12,14,6.43,-10.15,
Liberia,5,14,6.43,-8.11,562.0
Liberia,9,14,6.43,-9.09,954.0
Liberia,10,14,6.43,-7.98,
Mali,8,14,7.34,-12.37,835.7946176229892
Mali,10,14,7.65,-14.45,5.997126789020299
Senegal,12,14,17.57,-8.51,232.36439389201385
Sierra Leone,5,14,8.46,-10.86,
Sierra Leone,10,14,8.46,-12.75,97.0
Sierra Leone,12,14,8.46,-7.36,
Sierra Leone,6,14,8.46,-11.81,
Sierra Leone,6,14,8.46,-7.36,415.0
Sierra Leone,8,14,8.46,-10.93,684.0
Sierra Leone,6,14,8.46,-14.45,127.0
Sierra Leone,7,14,8.46,-11.05,453.0
Sierra Leone,8,14,8.46,-12.23,
Sierra Leone,5,14,8.46,-14.45,
