,id,diet,pulse,time,kind
1.0,2.0,no fat,109,1 min,rest
1.0,4.0,low fat,95,1 min,rest
1.0,5.0,low fat,103,1 min,rest
1.0,2.0,low fat,98,1 min,rest
3.0,2.0,no fat,102,1 min,rest
3.0,7.0,low fat,88,1 min,rest
3.0,9.0,low fat,93,1 min,rest
4.0,5.0,low fat,103,1 min,rest
5.0,8.0,no fat,84,1 min,rest
5.0,6.0,low fat,84,1 min,rest
5.0,7.0,low fat,110,1 min,rest
6.0,4.0,low fat,101,1 min,rest
7.0,7.0,low fat,88,1 min,rest
7.0,8.0,no fat,98,1 min,rest
8.0,10.0,no fat,97,1 min,rest
10.0,10.0,low fat,112,1 min,rest
10.0,7.0,no fat,101,1 min,rest
11.0,4.0,low fat,92,1 min,rest
12.0,4.0,low fat,90,1 min,rest
13.0,5.0,no fat,95,1 min,rest
13.0,3.0,no fat,118,1 min,rest
13.0,6.0,low fat,86,1 min,rest
15.0,7.0,low fat,97,1 min,rest
19.0,10.0,no fat,95,1 min,rest
20.0,6.0,no fat,117,1 min,rest
24.0,4.0,no fat,83,1 min,rest
24.0,4.0,no fat,83,1 min,rest
27.0,7.0,no fat,118,1 min,rest
27.0,7.0,no fat,102,1 min,rest
28.0,3.0,no fat,99,1 min,rest
31.0,15.0,low fat,100,15 min,walking
32.0,18.0,low fat,83,15 min,walking
33.0,13.0,no fat,123,15 min,walking
33.0,17.0,no fat,96,15 min,walking
34.0,13.0,low fat,93,15 min,walking
34.0,15.0,no fat,109,15 min,walking
34.0,11.0,low fat,133,15 min,walking
35.0,18.0,low fat,91,15 min,walking
39.0,19.0,no fat,90,15 min,walking
40.0,15.0,low fat,104,15 min,walking
41.0,14.0,no fat,109,15 min,walking
43.0,14.0,low fat,80,15 min,walking
43.0,12.0,no fat,102,15 min,walking
43.0,19.0,no fat,80,15 min,walking
44.0,18.0,no fat,96,15 min,walking
45.0,14.0,low fat,98,15 min,walking
45.0,19.0,no fat,103,15 min,walking
45.0,17.0,no fat,103,15 min,walking
46.0,18.0,low fat,98,15 min,walking
46.0,17.0,low fat,111,15 min,walking
47.0,19.0,no fat,101,15 min,walking
48.0,15.0,low fat,103,15 min,walking
48.0,16.0,no fat,83,15 min,walking
48.0,14.0,low fat,103,15 min,walking
49.0,15.0,low fat,91,15 min,walking
49.0,15.0,no fat,115,15 min,walking
55.0,11.0,low fat,96,15 min,walking
55.0,12.0,no fat,113,15 min,walking
55.0,15.0,low fat,104,15 min,walking
56.0,15.0,no fat,91,15 min,walking
63.0,25.0,no fat,100,30 min,running
63.0,26.0,no fat,124,30 min,running
65.0,27.0,no fat,91,30 min,running
65.0,28.0,low fat,118,30 min,running
66.0,27.0,low fat,99,30 min,running
66.0,28.0,no fat,83,30 min,running
67.0,25.0,low fat,121,30 min,running
67.0,28.0,low fat,107,30 min,running
68.0,29.0,low fat,87,30 min,running
69.0,27.0,no fat,101,30 min,running
69.0,29.0,no fat,92,30 min,running
70.0,29.0,low fat,86,30 min,running
72.0,23.0,no fat,138,30 min,running
72.0,26.0,no fat,109,30 min,running
73.0,23.0,no fat,105,30 min,running
74.0,29.0,no fat,107,30 min,running
75.0,22.0,no fat,109,30 min,running
76.0,27.0,low fat,96,30 min,running
78.0,28.0,no fat,118,30 min,running
79.0,23.0,low fat,91,30 min,running
79.0,24.0,low fat,89,30 min,running
81.0,23.0,low fat,80,30 min,running
81.0,26.0,no fat,92,30 min,running
83.0,29.0,low fat,86,30 min,running
83.0,22.0,low fat,80,30 min,running
83.0,21.0,low fat,96,30 min,running
84.0,28.0,no fat,122,30 min,running
86.0,22.0,low fat,80,30 min,running
86.0,26.0,low fat,114,30 min,running
86.0,21.0,no fat,110,30 min,running
