id,name,parent,size
1,DateUtil,120,
2,RectSprite,120,1026
3,flare,215,264
4,TransitionEvent,150,984
5,ShapeRenderer,200,
6,ISchedulable,217,6561
7,Average,125,20715
8,AxisLayout,226,264
9,EdgeRenderer,213,3052
10,Distinct,101,6793
11,BifocalDistortion,95,1241
12,ShapePalette,200,2380
13,RectSprite,147,782
14,query,68,
15,Layout,65,14547
16,neq,26,7377
17,Literal,211,429
18,IMatrix,28,2615
19,CirclePackingLayout,29,1819
20,label,167,12271
21,Maximum,192,2509
22,methods,200,1818
23,SortOperator,129,2238
24,Sort,49,3983
25,label,155,1349
26,BetweennessCentrality,228,3881
27,Fn,53,1493
28,SpanningTree,70,2818
29,gt,189,
30,Xor,99,588
31,Geometry,79,
32,RadialLabeler,2,24593
33,update,200,15965
34,BetweennessCentrality,146,6189
35,count,220,
36,xor,81,854
37,Expression,144,24593
38,Average,219,278
39,PropertyEncoder,109,1835
40,Scheduler,121,1305
41,div,19,4688
42,where,185,5539
43,Average,198,2956
44,Distortion,214,4477
45,RectSprite,205,
46,RootScale,137,4509
47,IMatrix,42,2447
48,optimization,33,17958
49,SelectionControl,38,264
50,legend,159,9188
51,AxisLayout,173,5742
52,If,113,
53,iff,134,4068
54,graph,210,703
55,Stats,32,6499
56,ShapeRenderer,172,1440
57,SpanningTree,77,1248
58,optimization,89,2466
59,Minimum,71,678
60,LineSprite,87,4734
61,layout,95,4066
62,_,41,4461
63,xor,111,3791
64,add,1,2260
65,Count,119,6595
66,render,6,1905
67,and,129,264
68,ForceDirectedLayout,209,1701
69,Palette,66,7511
70,FlareVis,217,2819
71,JSONConverter,166,17222
72,DataSprite,35,950
73,analytics,47,7584
74,analytics,183,7860
75,animate,63,397
76,SizePalette,33,1113
77,AggregateExpression,74,742
78,methods,27,
79,HierarchicalCluster,155,6902
80,eq,66,
81,Control,62,4519
82,not,80,1068
83,RadialLabeler,45,516
84,Variance,231,3048
85,IForce,52,2911
86,Query,126,680
87,SizeEncoder,112,291
88,NumberInterpolator,207,579
89,Fn,26,2942
90,ClickControl,209,
91,Scheduler,176,7007
92,ForceDirectedLayout,54,651
93,Variable,179,3568
94,Match,14,9846
95,analytics,71,5206
96,DataSchema,227,21814
97,RootScale,4,12113
98,ShapePalette,45,4456
99,SizePalette,213,2094
100,neq,152,
101,LineSprite,40,3908
102,ControlList,47,1314
103,DataSchema,27,
104,DelimitedTextConverter,181,9347
105,DateUtil,180,2180
106,OperatorSwitch,111,13611
107,Or,194,2662
