origin,destination,count
FSD,CEC,33
COS,EWR,3762
AVP,BQN,9989
SLE,GNV,780
TYS,FCA,742
ROW,SAV,480
STX,AKN,222
BHM,SAT,1003
OME,CLL,3319
SWF,MCI,104
SWF,MCN,371
BQN,GFK,59
ACT,PHL,259
BTM,SBN,568
SWF,LIH,1
BUR,CWA,1183
LNK,CHO,858
GST,TUL,1428
STT,LMT,727
SAV,SAT,3076
MQT,RDU,45
LFT,OGD,1898
AKN,PSG,168
BZN,RAP,14
ACT,RST,470
BOS,ROA,1034
ABY,AGS,808
LNK,CWA,1228
TRI,EWR,1599
SMX,TVC,1140
KTN,MLU,2492
SFO,GGG,19
IYK,LIT,1714
TLH,PHX,2947
BDL,CID,1368
PIR,DEN,654
PLN,SLE,777
PVD,MTJ,4078
FCA,RFD,30
SWF,ATL,171
SRQ,SUX,2000
GTF,MYR,228
OME,SJC,336
SJC,SGU,14
CDC,TVC,1566
DSM,HTS,524
DLG,BWI,1243
DBQ,RDM,188
CHO,IAD,49
LGB,SCC,515
FAR,MEI,3707
GRK,WYS,4022
HPN,MBS,3722
GRK,SPI,1188
PSC,BRW,986
ANC,STL,3303
FWA,BGR,188
EWN,CMH,1587
GGG,BQK,79
SUN,AVL,2009
MQT,DFW,624
RFD,PSC,1554
STL,SHV,3083
MGM,PWM,10
FSD,SJU,1290
COS,LAX,696
VPS,LRD,504
LIT,ERI,3606
SGU,SMX,601
TPA,ADQ,2224
BHM,BOI,274
RIC,MDT,3152
TUP,CLT,2608
PIH,BGM,7847
OKC,BRO,196
SAN,ICT,186
RFD,STX,224
JFK,ISP,28
LWB,ITH,1786
MKE,EKO,22
OAJ,LAN,1562
SBA,SWF,1376
ALO,CWA,102
LGB,LWB,1007
CHS,ISP,3083
YUM,JNU,509
DAL,SAN,2462
MFE,OAJ,1953
LAS,PIT,4098
BQN,MSP,346
OXR,SGF,3
RHI,ROW,1974
RNO,TXK,1308
AZO,PBI,416
PNS,CYS,850
AMA,SWF,8
LEX,SFO,2110
DBQ,OMA,3984
BUR,SBN,3120
LWB,DAB,1031
COD,RDM,711
BRW,FAI,9
CRP,XNA,4695
TXK,ELP,458
ALO,GTF,1178
BMI,RDU,124
EYW,SCC,387
PFN,TXK,8432
HPN,TEX,1820
DTW,GST,116
TUS,MIA,2973
AGS,FLO,202
CHO,MAF,2674
MFE,GPT,735
SBP,MEM,2069
DEN,TXK,1153
OGG,PBI,606
SCE,GRK,1791
WRG,ERI,337
GSO,GTR,2444
SGF,GSP,2438
EYW,ABY,2345
HPN,FNT,60
TUP,ABY,181
DLG,ALO,1342
CPR,HDN,49
MLI,BGR,630
CSG,TEX,191
CDC,SBA,7003
ACT,TUS,139
IPL,ABY,3009
OME,PSG,2372
BPT,MTJ,87
ACV,AKN,1906
CRW,MLU,754
MKE,IPL,3393
