year,month,passengers
1949,January,335
1949,August,148
1949,May,263
1949,February,614
1949,August,412
1949,September,368
1949,September,247
1949,November,231
1949,November,133
1949,April,244
1949,June,339
1949,August,225
1949,March,205
1950,March,256
1950,January,187
1950,August,622
1950,June,320
1950,January,242
1950,August,140
1950,June,231
1950,December,617
1950,January,263
1950,August,247
1950,August,203
1951,December,257
1951,November,286
1951,July,175
1951,January,183
1951,February,262
1951,November,145
1951,May,277
1951,September,328
1951,June,188
1951,June,213
1951,April,251
1951,January,217
1951,August,249
1951,September,429
1951,August,272
1951,May,275
1952,March,436
1952,May,517
1952,February,296
1952,June,223
1952,April,155
1952,August,215
1952,January,409
1952,February,244
1952,January,320
1952,July,322
1952,July,326
1953,March,246
1953,May,180
1953,April,441
1953,April,333
1953,December,104
1953,January,383
1953,July,301
1953,February,189
1953,November,392
1953,May,533
1953,March,405
1953,February,131
1954,July,374
1954,June,380
1954,October,216
1954,August,308
1954,December,359
1954,December,241
1954,February,357
1954,June,174
1954,May,454
1954,December,137
1954,September,353
1955,April,320
1955,October,430
1955,November,344
1955,January,370
1955,February,453
1955,October,311
1955,September,348
1955,February,320
1955,May,288
1955,January,186
1955,October,444
1956,May,477
1956,July,173
1956,November,368
1956,June,385
1956,February,256
1956,May,281
1956,May,142
1956,August,354
1956,June,151
1956,June,152
1957,November,531
1957,September,185
1957,June,354
1957,April,324
1957,November,254
1957,January,201
1957,February,239
1957,December,465
1957,June,376
1957,September,622
1957,March,536
1957,July,266
1957,June,286
1957,October,263
1958,April,258
1958,September,266
1958,April,394
1958,September,188
1958,December,306
1958,June,147
1958,October,389
1958,August,425
1958,May,272
1958,April,308
1958,August,395
1958,August,480
1959,December,236
1959,April,402
1959,December,193
1959,May,348
1959,August,297
1959,December,360
1959,June,250
1959,May,352
1959,August,322
1959,December,284
1959,September,231
1959,August,200
1960,February,225
1960,April,346
1960,February,212
1960,November,401
1960,December,157
1960,June,204
1960,April,167
1960,April,296
1960,April,496
1960,June,370
1960,May,335
