subject,timepoint,event,region,signal
s13,15,stim,parietal,0.118833481528642
s12,6,stim,parietal,-0.023991552420548
s11,10,stim,parietal,-0.031397887669957
s10,12,stim,parietal,0.100072898789975
s9,5,stim,parietal,-0.002543103654645
s8,2,stim,parietal,-0.087099477102302
s7,12,stim,parietal,0.089563451766642
s6,13,stim,parietal,0.060232772734914
s4,10,stim,parietal,0.139162808552088
s3,10,stim,parietal,0.008730971707845
s2,2,stim,parietal,-0.204876723945552
s1,1,stim,parietal,0.007052351150152
s0,12,stim,parietal,0.134468749786958
s13,16,stim,parietal,-0.183189988953017
s5,17,stim,parietal,-0.109707328002878
s12,16,stim,parietal,-0.042358710226193
s11,18,stim,parietal,0.049499011643613
s10,0,stim,parietal,0.045039389081976
s9,6,stim,parietal,-0.25548585958000003
s8,10,stim,parietal,0.020214073427645
s7,8,stim,parietal,-0.031541019602278
s6,6,stim,parietal,0.16144088014947
s4,3,stim,parietal,-0.113656079205556
s3,2,stim,parietal,-0.07493124679657
s2,3,stim,parietal,0.107717065216058
s1,12,stim,parietal,-0.000096269232477
s0,18,stim,parietal,0.050768871198629
s13,0,stim,parietal,0.092457244633135
s5,8,stim,parietal,0.223068382609935
s12,1,stim,parietal,0.01729406694064
s11,7,stim,parietal,-0.183807574322303
s10,12,stim,parietal,0.071595344534049
s9,6,stim,parietal,0.038004951325644
s8,0,stim,parietal,-0.038122002833246
s7,16,stim,parietal,-0.178229911216701
s6,1,stim,parietal,-0.031455618546514
s4,8,stim,parietal,0.252201456139991
s3,9,stim,parietal,0.008748142315808
s2,1,stim,parietal,-0.035993609328959
s1,14,stim,parietal,0.28737432876901
s0,6,stim,parietal,-0.044832939652552
s13,8,stim,parietal,0.125240281236655
s5,8,stim,parietal,-0.135877386423523
s12,5,stim,parietal,-0.105515273212332
s11,5,stim,parietal,0.042298669048594
s10,13,stim,parietal,0.005298721881302
s9,9,stim,parietal,0.308988382550084
s8,4,stim,parietal,0.005874298857367
s7,17,stim,parietal,-0.049504545719886
s6,11,stim,parietal,-0.032090638366299
s4,14,stim,parietal,-0.171712544866761
s3,16,stim,parietal,0.103169548171373
s2,16,stim,parietal,0.197160014336599
s1,9,stim,parietal,-0.006894797858553
s0,11,stim,parietal,-0.023928717498751
s13,1,stim,parietal,0.015064867930444
s5,5,stim,parietal,0.094299099197787
s12,4,stim,parietal,0.217800749624161
s11,13,stim,parietal,0.082082124949507
s10,15,stim,parietal,0.077912279293277
s9,13,stim,parietal,0.106220535558784
