country,income,health,population,region
Myanmar	east_asia_pacific,14676.28666481321,66.53,49142039.765434116,
Portugal	europe_central_asia,4187.257108491144,73.22,1583376.5495070978,
Niger	sub_saharan_africa,8434.214081896203,84.1,2010578.105698572,
Kiribati	east_asia_pacific,132877.0,70.7,1770239.0364792864,
South Africa	sub_saharan_africa,3598.06056611118,66.98,39863282.16977118,
Guyana	america,4481.374012572161,60.93,96766939.83669508,
Rwanda	sub_saharan_africa,5763.450613633809,56.59,9456290.025387239,
Bangladesh	south_asia,4074.483022686034,75.7,43722101.658608414,
Luxembourg	europe_central_asia,9151.213141352006,84.1,1921616.8222737287,
Cote d'Ivoire	sub_saharan_africa,10220.978520394663,72.72,5361024.235873496,
South Africa	sub_saharan_africa,2763.282496663402,63.91,410740.53768737125,
Thailand	east_asia_pacific,52456.985824918025,70.41,7849750.704067848,
Cambodia	east_asia_pacific,1883.828386685514,70.29,1564654.1108393231,
United States	america,132877.0,73.64,20211555.259340454,
Russia	europe_central_asia,39107.01562922085,68.81,176705865.65487617,
Turkey	europe_central_asia,5424.435027790396,80.71,1959026.9823754574,
Qatar	middle_east_north_africa,42178.99520335619,83.63,3127307.3545159423,
Ecuador	america,37184.11817976057,72.49,7585542.958984356,
West Bank and Gaza	middle_east_north_africa,40594.747773930074,72.91,43000041.78275211,
Brazil	america,77797.5947116506,82.29,2616537.5799016906,
"Macedonia, FYR	europe_central_asia",45358.13934687195,69.09,101138.79304842198,
Albania	europe_central_asia,18235.49982964136,74.62,47811102.06757347,
Tajikistan	europe_central_asia,18288.923958748124,68.14,71992223.81574903,
Libya	middle_east_north_africa,35382.15058698864,69.58,42925036.93596497,
Chad	sub_saharan_africa,14568.50027735735,65.97,86631687.75870514,
Cyprus	europe_central_asia,9289.459037794033,82.01,11348184.736312963,
Syria	middle_east_north_africa,21254.1620417825,84.1,84860092.26111323,
Panama	america,35418.63292806075,71.28,5593026.821128981,
Belgium	europe_central_asia,22973.463075803866,78.69,18367581.92464311,
Senegal	sub_saharan_africa,24718.44410778055,65.77,646581.2155361996,
Samoa	east_asia_pacific,22935.694685548333,70.74,37023294.70373644,
