year,country,cluster,pop,life_expect,fertility
2005,Afghanistan,3,10284956,73.57,4.71
2005,Afghanistan,1,24626180,66.74,2.94
1995,Afghanistan,2,42750720,57.18,3.74
1985,Afghanistan,1,3977237,78.7,4.17
1970,Afghanistan,3,8961642,74.66,1.59
1960,Afghanistan,3,5389058,63.71,1.67
2005,Afghanistan,4,9567069,67.89,4.78
2000,Afghanistan,3,190345246,71.78,1.49
1955,Afghanistan,0,643199,64.2,5.78
1980,Argentina,1,45111421,80.14,1.3
1995,Argentina,4,2993095,58.1,4.44
1960,Argentina,5,25852213,63.09,3.46
1965,Argentina,3,29918993,74.09,8.23
1990,Argentina,5,87642327,81.54,4.86
1955,Argentina,3,5979773,82.5,3.48
1970,Argentina,3,52193111,71.41,2.93
1995,Argentina,1,795675,75.88,4.16
1955,Argentina,1,482311,82.5,1.86
1970,Argentina,1,28430684,77.73,1.9
1985,Australia,3,145998474,67.55,0.96
1995,Australia,4,26235634,70.72,2.79
1980,Australia,3,6169179,80.92,4.81
1980,Australia,2,3760347,60.81,5.29
1955,Australia,1,100719650,58.57,6.54
1980,Australia,1,47394167,74.51,4.35
1990,Australia,2,125146415,78.92,5.14
1970,Australia,3,27573069,82.5,2.7
2005,Australia,2,3081491,57.53,1.98
1955,Australia,3,4441248,77.48,1.46
2005,Australia,0,30902872,64.28,8.23
1960,Australia,0,5794067,71.72,4.54
1980,Austria,1,39036050,62.53,5.55
1960,Austria,5,9974152,54.56,1.65
1960,Austria,3,206925731,79.4,3.42
1955,Austria,2,5018526,53.49,6.85
1995,Austria,4,7443190,55.5,6.45
1970,Austria,3,13409019,68.3,2.42
1980,Austria,4,144243,44.53,2.58
1965,Austria,1,81341545,70.86,5.85
1965,Austria,4,143591,71.28,4.54
1995,Austria,1,3205624,73.95,1.95
2005,Austria,3,9224727,75.4,5.15
1990,Austria,3,19012714,61.21,2.08
1990,Austria,1,1304887562,61.09,4.5
1980,Austria,4,16641551,58.82,2.14
1960,Austria,1,71946703,55.06,3.5
1960,Austria,3,46363503,55.71,0.96
2005,Austria,1,9465950,62.72,3.11
1970,Austria,0,226682872,65.85,2.89
1955,Austria,1,31294942,62.86,8.15
1965,Austria,1,34781615,65.75,3.7
2000,Bahamas,1,2243271,57.71,2.31
1960,Bahamas,3,80414934,74.23,2.21
2005,Bahamas,3,21804994,73.11,4.81
1960,Bahamas,3,3658797,78.93,2.44
1990,Bahamas,1,37165780,66.24,4.37
2005,Bahamas,4,74786396,59.24,2.19
2005,Bahamas,3,19245467,60.31,1.96
1960,Bahamas,5,33900729,66.06,1.88
1960,Bahamas,3,314813886,82.5,1.16
2000,Bahamas,0,39074238,70.04,3.81
1990,Bahamas,1,29774643,70.65,7.39
1965,Bahamas,3,96627749,69.71,2.0
1970,Bahamas,3,4682117,67.76,2.86
2000,Bangladesh,3,1291306,68.18,8.23
2000,Bangladesh,1,25250635,82.5,3.44
1960,Bangladesh,3,922460,76.29,4.35
1980,Bangladesh,4,21142583,55.74,2.74
1955,Bangladesh,1,56534555,75.43,2.57
1995,Bangladesh,3,13030718,66.24,1.8
1960,Bangladesh,3,26740144,49.87,1.68
1990,Bangladesh,1,11029744,69.62,7.14
1980,Barbados,1,50248361,57.2,4.3
1980,Barbados,1,30531632,57.03,4.38
2005,Barbados,3,9328810,76.31,4.15
2005,Barbados,2,53792680,62.2,2.67
1980,Barbados,3,56258559,66.65,3.15
2000,Barbados,4,2259736,53.49,2.48
2005,Barbados,3,108043071,67.28,3.76
2005,Barbados,3,1505310,82.5,2.42
2000,Barbados,1,13323009,78.27,4.28
1985,Barbados,4,50049208,57.99,1.79
1985,Barbados,1,109057122,52.5,6.53
2005,Belgium,2,89260961,71.02,2.28
1965,Belgium,3,96488107,70.72,2.96
1995,Belgium,1,31191950,72.84,2.03
1960,Belgium,4,4971531,49.96,2.6
1985,Belgium,3,205977,56.7,4.18
1955,Bolivia,4,942181,65.7,3.99
1960,Bolivia,1,9080515,80.41,6.76
1965,Bolivia,1,544105,64.02,1.68
1990,Bolivia,5,7881198,62.39,3.08
1990,Bolivia,0,34569150,73.05,3.42
2005,Bolivia,4,6358323,77.67,2.94
1965,Bolivia,5,3158760,74.39,2.09
1985,Bolivia,4,14597002,59.16,3.02
