duration,waiting,kind
1.897988740891679,43.0,short
4.379299527845835,76.0,long
1.951450189521342,63.0,short
3.077222946813549,43.0,short
4.213172040876702,78.0,long
4.623832894159574,82.0,long
1.956555075607716,44.0,short
3.794269325004956,91.0,long
2.506863697129819,67.0,short
4.371522558347935,81.0,long
2.551943798437872,53.0,short
1.99749155818243,59.0,short
4.984437802860789,87.0,long
4.667419813532873,84.0,long
3.955495273393869,78.0,long
2.281036801783399,53.0,short
2.860013961899445,48.0,short
3.774365773715263,81.0,long
4.252879589174176,86.0,long
4.349229955896854,79.0,long
4.141841462856926,85.0,long
3.87758929200487,78.0,long
4.380567989057412,78.0,long
1.991757763217956,48.0,short
4.09257404029733,75.0,long
2.46115102464763,58.0,short
4.707447301069232,76.0,long
3.842806383041693,87.0,long
2.748259393718039,47.0,short
4.99141585120017,84.0,long
4.600544678587903,77.0,long
2.076245187895065,60.0,short
4.40546821009615,68.0,long
4.180084386106035,81.0,long
2.277457624147399,51.0,short
2.601313272018763,66.0,short
1.786897691632381,54.0,short
4.546749097089164,76.0,long
2.623785672864164,52.0,short
3.779298507760945,80.0,long
4.674769216745966,77.0,long
2.409960857959179,44.0,short
4.257694407839008,81.0,long
2.343304964407064,51.0,short
1.943656464843819,67.0,short
4.326937274946023,80.0,long
4.746435857222876,76.0,long
3.30615643411885,85.0,long
4.732734880869323,88.0,long
2.409993208956492,50.0,short
4.673879289842706,81.0,long
2.017427736101178,63.0,short
4.605069371284372,79.0,long
4.226748142571872,75.0,long
4.165753917888061,78.0,long
3.56113953498256,77.0,long
3.880439649297073,80.0,long
4.421203473835771,78.0,long
2.031159480240575,50.0,short
4.771556513132538,77.0,long
4.403938292494513,79.0,long
1.873490710461256,51.0,short
4.330904618641054,72.0,long
2.284483163317709,54.0,short
2.273920847406357,60.0,short
4.458010924959644,77.0,long
4.62027630395228,75.0,long
2.003543598831028,65.0,short
4.296491211537434,81.0,long
2.109550025961879,63.0,short
3.637700920503792,88.0,long
1.604979911428556,58.0,short
4.369975424957397,76.0,long
4.008805476501564,79.0,long
1.852965855306909,60.0,short
4.367460894105668,77.0,long
4.23340469110321,71.0,long
2.477123594159437,60.0,short
4.409492305650535,86.0,long
2.352986200932674,54.0,short
2.292183877165874,51.0,short
3.620577680162856,80.0,long
4.65844923013714,83.0,long
4.719999168797891,82.0,long
4.258801164689527,79.0,long
1.623242357135982,44.0,short
4.786833834211172,77.0,long
4.372537346395499,77.0,long
1.935298044876849,63.0,short
4.072493830818474,76.0,long
3.656145978395271,78.0,long
4.529720732209765,72.0,long
3.994743549355803,82.0,long
4.123083578313215,80.0,long
5.1,79.0,long
1.897873440594625,58.0,short
3.705687482422536,78.0,long
4.056598333335058,73.0,long
1.6,59.0,short
5.1,73.0,long
4.95568030943523,77.0,long
4.037337576573419,85.0,long
1.699576546893019,50.0,short
4.38493226047932,85.0,long
4.203192497481198,79.0,long
