time,count
2015/05/06 00:00:00,2
2015/03/30 02:00:00,1
2015/05/07 03:00:00,1
2015/01/29 15:00:00,1
2015/02/07 19:00:00,5
2015/04/02 06:00:00,2
2015/01/27 23:00:00,6
2015/02/01 13:00:00,1
2015/02/20 07:00:00,4
2015/01/28 11:00:00,2
2015/02/06 07:00:00,3
2015/04/10 19:00:00,1
2015/05/12 12:00:00,1
2015/05/10 07:00:00,1
2015/05/02 17:00:00,1
2015/03/11 02:00:00,1
2015/03/07 06:00:00,1
2015/03/14 23:00:00,1
2015/02/18 16:00:00,2
2015/05/19 23:00:00,5
2015/03/15 21:00:00,1
2015/04/08 08:00:00,1
2015/03/03 07:00:00,3
2015/01/06 14:00:00,8
2015/04/24 19:00:00,2
2015/01/22 04:00:00,2
2015/05/30 06:00:00,2
2015/02/15 04:00:00,1
2015/01/05 13:00:00,1
2015/01/06 13:00:00,2
2015/05/22 16:00:00,5
2015/05/30 12:00:00,2
2015/02/14 13:00:00,2
2015/03/04 21:00:00,3
2015/02/18 01:00:00,2
2015/04/15 23:00:00,1
2015/05/22 08:00:00,2
2015/02/14 14:00:00,1
2015/03/19 10:00:00,1
2015/03/19 23:00:00,2
2015/02/05 14:00:00,1
2015/02/05 18:00:00,1
2015/01/01 13:00:00,4
2015/02/10 11:00:00,1
2015/04/03 12:00:00,2
2015/03/24 14:00:00,2
2015/01/25 05:00:00,3
2015/05/09 08:00:00,2
2015/05/20 20:00:00,1
2015/03/25 16:00:00,7
2015/05/02 14:00:00,1
2015/05/02 02:00:00,2
2015/05/27 02:00:00,2
2015/03/15 06:00:00,2
2015/03/19 14:00:00,1
2015/02/10 05:00:00,5
2015/05/24 00:00:00,2
2015/01/09 13:00:00,3
2015/03/18 06:00:00,4
2015/01/22 01:00:00,1
2015/03/19 18:00:00,1
2015/05/27 21:00:00,1
2015/01/12 17:00:00,1
2015/04/05 03:00:00,2
2015/03/27 16:00:00,1
2015/03/18 09:00:00,4
2015/03/22 21:00:00,1
2015/03/31 23:00:00,3
2015/03/26 17:00:00,2
2015/05/19 16:00:00,2
2015/03/20 12:00:00,1
2015/01/06 22:00:00,2
2015/03/22 17:00:00,2
2015/05/25 11:00:00,3
