year,temp
1880,0.23
1882,-0.03
1883,-0.1
1883,0.27
1883,-0.32
1883,0.28
1883,0.1
1883,0.03
1883,-0.09
1884,-0.24
1884,-0.03
1885,0.09
1887,0.17
1889,-0.48
1889,-0.25
1889,-0.09
1890,0.35
1892,0.12
1893,0.44
1894,0.52
1894,0.89
1895,-0.29
1895,-0.31
1896,-0.18
1897,-0.02
1900,0.07
1904,-0.34
1904,0.11
1906,0.32
1906,-0.26
1910,-0.23
1910,-0.48
1911,0.29
1912,0.06
1913,0.04
1914,0.55
1914,0.32
1917,0.32
1917,0.54
1919,-0.08
1920,0.07
1920,-0.12
1922,0.05
1923,0.05
1924,-0.24
1925,-0.16
1926,-0.04
1928,0.06
1928,-0.48
1928,0.04
1930,0.44
1932,-0.37
1934,0.55
1934,0.06
1936,0.42
1938,0.23
1939,0.1
1940,-0.43
1942,0.17
1942,-0.26
1943,-0.4
1943,0.31
1944,0.24
1945,-0.48
1946,0.76
1946,-0.35
1947,0.55
1947,-0.09
1950,-0.48
1951,0.17
1951,-0.16
1951,-0.15
1954,-0.19
1954,0.51
1954,0.67
1955,-0.48
1957,0.17
1957,0.13
1959,-0.45
1959,-0.06
1960,0.29
1961,0.43
1963,0.02
1964,0.25
1964,0.23
1966,-0.48
1966,0.43
1967,-0.07
1967,0.4
1968,0.11
1969,-0.34
1971,-0.09
1972,0.36
1972,0.11
1972,0.54
1973,-0.48
1974,-0.09
1975,-0.09
1976,-0.48
1976,-0.48
1976,0.59
1977,1.17
1977,0.42
1979,0.4
1980,-0.1
1983,0.3
1988,0.29
1989,-0.48
1989,-0.02
1990,1.0
1991,-0.46
1991,0.32
1991,-0.16
1992,0.61
1997,-0.4
1998,-0.48
1999,-0.26
2000,0.35
2002,0.79
2002,0.14
2002,-0.06
2004,0.34
2004,0.04
2004,-0.31
2006,0.62
2007,-0.02
2009,0.56
2011,0.48
2012,0.76
2012,-0.37
2012,-0.34
2012,0.33
2013,0.02
2013,0.2
2013,-0.33
2013,0.4
2014,0.48
2015,-0.02
2018,-0.17
2018,0.04
2019,0.49
2019,-0.06
2020,-0.01
2023,-0.31
