year,temp
1880,-0.36
1881,-0.47
1882,-0.24
1883,-0.25
1884,-0.4
1885,-0.33
1886,-0.42
1887,-0.29
1888,-0.73
1889,-0.48
1890,-0.75
1891,-0.51
1892,-0.43
1893,-0.74
1894,-0.76
1895,-0.14
1896,-0.48
1897,-0.34
1898,-0.19
1899,-0.27
1900,-0.51
1901,-0.19
1902,-0.19
1903,-0.55
1904,-0.46
1905,-0.54
1906,-0.34
1907,-0.24
1908,-0.32
1909,0.04
1910,-0.42
1911,-0.26
1912,-0.14
1913,-0.47
1914,-0.02
1915,-0.32
1916,-0.42
1917,-0.22
1918,-0.2
1919,-0.16
1920,-0.14
1921,-0.28
1922,-0.29
1923,-0.1
1924,-0.19
1925,-0.16
1926,0.16
1927,0.16
1928,-0.16
1929,-0.19
1930,-0.29
1931,-0.15
1932,0.1
1933,-0.06
1934,-0.26
1935,-0.18
1936,-0.34
1937,-0.05
1938,-0.17
1939,0.11
1940,-0.12
1941,0.05
1942,0.18
1943,0.04
1944,-0.23
1945,0.26
1946,-0.06
1947,0.08
1948,-0.14
1949,0.02
1950,0.11
1951,0.52
1952,0.13
1953,0.03
1954,-0.06
1955,-0.13
1956,0.13
1957,0.19
1958,0.18
1959,0.01
1960,0.02
1961,0.38
1962,0.11
1963,0.26
1964,0.16
1965,0.57
1966,0.46
1967,-0.02
1968,0.33
1969,0.35
1970,0.41
1971,0.0
1972,0.7
1973,0.32
1974,0.26
1975,0.2
1976,0.11
1977,0.29
1978,0.3
1979,0.22
1980,0.28
1981,0.19
1982,0.69
1983,0.28
1984,0.38
1985,0.43
1986,0.47
1987,0.44
1988,0.8
1989,0.77
1990,0.28
1991,0.2
1992,0.19
1993,0.15
1994,0.33
1995,0.57
1996,0.11
1997,0.17
1998,0.59
1999,0.47
2000,0.46
2001,0.86
2002,0.57
2003,0.56
2004,0.7
2005,0.51
2006,0.72
2007,0.78
2008,0.46
2009,0.47
2010,0.96
2011,0.62
2012,0.41
2013,0.41
2014,0.37
2015,0.99
2016,0.14
2017,0.27
2018,0.77
2019,0.84
2020,0.88
2021,0.64
2022,0.55
2023,0.8
