year,temp
1880,-0.41
1881,-0.09
1882,0.11
1883,0.08
1884,-0.18
1885,-0.17
1886,-0.23
1887,-0.11
1888,-0.21
1889,-0.09
1890,0.03
1891,-0.16
1892,0.02
1893,-0.08
1894,-0.16
1895,-0.07
1896,0.24
1897,-0.14
1898,0.08
1899,-0.13
1900,-0.04
1901,-0.1
1902,-0.13
1903,-0.02
1904,0.15
1905,0.13
1906,-0.05
1907,-0.01
1908,0.1
1909,0.08
1910,0.13
1911,0.08
1912,-0.03
1913,-0.07
1914,0.18
1915,-0.08
1916,0.2
1917,0.08
1918,0.15
1919,0.14
1920,0.18
1921,0.19
1922,0.28
1923,0.19
1924,0.3
1925,0.18
1926,0.41
1927,0.4
1928,0.11
1929,0.32
1930,0.05
1931,0.15
1932,0.48
1933,0.4
1934,0.25
1935,0.32
1936,0.34
1937,0.33
1938,0.41
1939,0.15
1940,0.45
1941,0.3
1942,0.37
1943,0.38
1944,0.28
1945,0.37
1946,0.36
1947,0.51
1948,0.24
1949,0.17
1950,0.42
1951,0.45
1952,0.65
1953,0.34
1954,0.29
1955,0.27
1956,0.4
1957,0.36
1958,0.41
1959,0.44
1960,0.5
1961,0.44
1962,0.65
1963,0.51
1964,0.57
1965,0.62
1966,0.6
1967,0.62
1968,0.45
1969,0.67
1970,0.69
1971,0.64
1972,0.54
1973,0.3
1974,0.59
1975,0.56
1976,0.73
1977,0.83
1978,0.49
1979,0.64
1980,0.67
1981,0.9
1982,0.48
1983,0.76
1984,0.64
1985,0.73
1986,0.69
1987,0.71
1988,0.72
1989,0.54
1990,0.7
1991,0.76
1992,0.81
1993,0.69
1994,0.68
1995,0.78
1996,0.57
1997,0.56
1998,0.67
1999,0.61
2000,0.66
2001,0.7
2002,0.87
2003,0.73
2004,0.74
2005,0.92
2006,1.02
2007,1.02
2008,0.86
2009,1.04
2010,0.92
2011,1.02
2012,0.91
2013,0.93
2014,0.75
2015,0.98
2016,0.96
2017,0.88
2018,0.96
2019,0.89
2020,0.77
2021,0.93
2022,1.0
2023,0.88
