sentence1,sentence2,label,idx
He said they lied on a sworn affidavit that requires them to list prior marriages .,"He replaces Leland Brendsel , 61 , who retired as chairman and chief executive .",1,2135
""" They 've been in the stores for over six weeks , "" says Carney .","Terri Schiavo , 39 , underwent the procedure at the Tampa Bay area hospice where she has been living for several years , said her father , Bob Schindler .",1,1632
Gov. Bob Riley proposed the budget cuts after Alabama voters rejected his $ 1.2 billion tax plan Sept . 9 .,""" As long as we don 't march on Tehran , I think we are going to be in pretty good shape , "" he said .",1,2137
"A nationally board certified teacher with a master 's degree , Kelley makes a salary of $ 65,000 in his 30th year .",""" Sebastian did his best to confess convincingly to a crime he didn 't do in order to survive , "" Ms. Richardson declared .",1,3503
Environmental campaigners are using this weekend ’ s lunar eclipse to highlight the huge increase in light pollution across the UK .,Taiwan had been relatively free of the viral infection until a severe outbreak at a Taipei hospital in late April .,1,2566
"One of the FBI ’ s key operatives , who had a falling out with the bureau , provided an account of the operation at a friend ’ s closed immigration court proceeding .",""" The court and the public need to know more of the defendants ' seemingly massive fraud , "" he said .",1,1434
"Twenty-eight people were believed to have been spending Christmas Day with the caretaker of the St Sophia 's camp , when the mudslide smashed into two cabins .",""" This deal makes sense for both companies , "" Halla said in a prepared statement .",1,3936
"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java , Visual C # and Visual Basic .NET.",It had a margin of sampling error of plus or minus four percentage points and was conducted Thursday through Saturday .,1,1788
He added : ``I 've never heard of more reprehensiblebehaviour by a doctor .,Prosecutors said PW Marketing violated the 1998 anti-spam law because these unsolicited e-mails were sent without a free call number for recipients to phone to stop additional mailings .,1,945
"Ross Garber , Rowland 's lawyer , said Tuesday he would attend the meeting and would ask to speak on the issue .",The fight over online music sales was disclosed in documents made available Monday by the court .,0,2661
"We firmly believe we have an absolute right to use the common word ' spike ' as the name of our network . ""","Some of the companys software developers will join Microsoft , but details havent been finalized , said Mike Nash , corporate vice president of Microsofts security business unit .",0,1399
"Based on a separate survey of households , the unemployment rate fell in August to 6.1 percent from 6.2 percent .","On Wednesday , analysts say , UN members can no longer ignore the shifts since the attacks in the US of September 11 2001 .",1,3655
"In the 2002 study , the margin of error ranged from 1.8 to 4.4 percentage points .","The natural gas producer and marketer said the inaccurate reporting was discovered in response to a subpoena from the U.S. Commodity Futures Trading Commission , or CFTC .",1,2512
"University of Michigan President Mary Sue Coleman said in a statement on the university 's Web site , "" Our fundamental values haven 't changed .",About 20 family members of the victims were invited to the news conference .,1,311
"Speaking for the first time yesterday , Brigitte 's maternal aunt said his family was unaware he had was in prison or that he had remarried .","Thus , he said , there did not have to one deadline to create the economic community .",1,3016
"The steel tariffs , which the U.S. president imposed in March 2002 , will officially end at midnight , instead of March 2005 as initially planned .","Including the charge , the Santa Clara , Calif.-based company said Monday it lost $ 1.04 billion , or 32 cents per share , in the period ending June 30 .",0,1725
"For the second year in a row , rises in hospital costs accounted for much of the inflation , accounting for 51 percent of the overall cost increase .",Windows Media Player has had security problems before .,0,3001
"In midafternoon trading , the Nasdaq composite index was up 8.34 , or 0.5 percent , to 1,790.47 .",Spansion Flash memory solutions are available worldwide from AMD and Fujitsu .,1,3668
"The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and money transfers .",""" He may not have been there , "" said a defence official speaking on condition of anonymity .",1,3205
"GE stock closed Friday at $ 30.65 a share , down about 42 cents , on the New York Stock Exchange .",The vendor has added 100 new third-party systems and 100 new components to the operating system 's Hardware Compatibility List ( HCL ) .,0,791
""" The idea that Tony Abbott is in some way a one-dimensional political head-kicker couldn 't be more wrong , "" Mr Howard said .",""" It 's a new beginning as far as the courts , Crown Prosecution Service and police are concerned , making the criminal justice system work better . """,1,41
"The Midwestern research center will focus on the development of diagnostic , therapeutic and vaccine products for anthrax , botulism , tularemia , hemorrhagic fever viruses and plague .",The high court will hear arguments today on whether companies can be sued under the ADA for refusing to rehire rehabilitated drug users .,0,1770
""" I will support a constitutional amendment which would honor marriage between a man and a woman , codify that , "" he said .",Federal regulators have changed their minds on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings and Dreyer 's Grand Ice Cream .,0,3771
Gov. Bob Riley proposed the budget cuts after Alabama voters rejected his $ 1.2 billion tax plan Sept . 9 .,"White , who had kidney failure from years of high blood pressure , had been undergoing dialysis and had been hospitalized since a September stroke .",0,2837
Sun Microsystems Inc. on Thursday said it had added 100 new third-party systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition .,They were remanded in custody and will appear in court again on July 8 .,1,1057
Mr. Rowland attended a party in South Windsor for the families of Connecticut National Guard soldiers called to active duty .,They were remanded in custody and will appear in court again on July 8 .,1,1666
"Because of the accounting charge , the company now says it lost $ 1.04 billion , or 32 cents a share , in the quarter ended June 30 .","During the third quarter , Lowe 's opened 38 new stores and now has 932 stores in 45 states .",1,3591
A former employee of a local power company pleaded guilty Wednesday to setting off a bomb that knocked out a power substation during the Winter Olympics last year .,"U.S. companies slashed payrolls for a seventh straight month in August , raising new worries that a weak jobs market could shackle the budding economic recovery .",1,240
"Most economists had expected a more dire report , with many anticipating the fifth month of job losses in six months .",""" The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future , "" the policy-setting Federal Open Market Committee said .",1,4047
""" We are committed to helping the Iraqi people get on the path to a free society , "" Rumsfeld said in a speech to the Council on Foreign Relations .",Prosecutors said PW Marketing violated the 1998 anti-spam law because these unsolicited e-mails were sent without a free call number for recipients to phone to stop additional mailings .,0,3897
The Neighbours star and singer spent yesterday resting at her family home in Sydney and will have more tests today .,""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said .",1,789
Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid the yen 's rise against the dollar .,"On the stand Wednesday , she testified that she was referring to the kissing before the alleged rape .",0,573
"Dr Mark McClean , Jonathan 's family doctor , said if the drug had been administered earlier Jonathan would have retained more of his brain functions .","The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .",1,3074
He said he has begun a court action to seize Beacon Hill 's assets and has frozen more than $ 13 million Beacon Hill had when it closed .,"Shares of Corixa rose 54 cents , or about 8 percent , to close at $ 7.74 .",1,1382
"Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .",A 14 percent slide in crude prices this month and expectations of a build up in oil inventories compounded OPEC 's fears of a further softening of the market .,0,409
"United issued a statement saying it will "" work professionally and cooperatively with all its unions . ""","Just about everything about "" Harry Potter and the Order of the Phoenix "" will set records .",0,3019
He said his hatred for such people grew from these discussions and had helped convince him violence was the answer .,"Lay had refused to turn over the papers , asserting his Fifth Amendment right against self-incrimination .",1,2538
"While dioxin levels in the environment were up last year , they have dropped by 75 percent since the 1970s , said Caswell .",He is holding them up until the Air Force agrees to assign four additional C-130 cargo planes to the Idaho Air National Guard .,1,3206
The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company .,"At the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion .",1,1628
"Worldwide , more than 50 million people have seen "" Les Miz , "" with gross receipts of $ 1.8 billion .","Spike Lee no longer believes that Viacom deliberately intended to trade on his name by calling its own venture "" Spike TV , "" according to a statement read in court Tuesday .",1,1434
"He is blocking them until the Air Force assigns four additional C-130 cargo planes to Gowen Field , an Idaho Air National Guard base in Boise .","In Baghdad , police Lieut . Mothana Ali said about 1,000 demonstrators arrived at the station demanding jobs .",1,223
Carlson on Tuesday said he would not recuse himself from the case .,Rowland was making an appearance at a holiday party for families of Connecticut National Guard soldiers assigned to duty in Iraq and Afghanistan .,1,1099
"A landslide in central Chungchong province derailed a Seoul-bound train and 28 passengers were injured , television said .","Community college students will see their tuition rise by $ 300 to $ 2,800 or 12 percent .",1,1456
