Model,Year,Encoder,Task,Score
BiLSTM+CoVe	LSTM,2018,,CoLA,39.4
BiLSTM+Attn	LSTM,2019,,SST-2,92.3
BiLSTM+ELMo	LSTM,2017,,MRPC,85.1
BiLSTM+Attn	LSTM,2017,,STS-B,90.4
BiLSTM+Attn	LSTM,2019,,QQP,67.2
BiLSTM+CoVe	LSTM,2019,,MNLI,85.4
ERNIE	Transformer,2019,,QNLI,95.8
T5	Transformer,2019,,RTE,89.7
BiLSTM	LSTM,2019,,CoLA,43.7
BiLSTM	LSTM,2018,,SST-2,89.0
BERT	Transformer,2017,,MRPC,92.8
BERT	Transformer,2017,,STS-B,75.2
BiLSTM+Attn	LSTM,2019,,QQP,62.8
BiLSTM+CoVe	LSTM,2019,,MNLI,84.6
T5	Transformer,2019,,QNLI,90.2
BERT	Transformer,2018,,RTE,61.0
ERNIE	Transformer,2017,,CoLA,63.6
BiLSTM+ELMo	LSTM,2019,,SST-2,93.3
BERT	Transformer,2019,,MRPC,89.0
BiLSTM+CoVe	LSTM,2018,,STS-B,82.2
BiLSTM+ELMo	LSTM,2019,,QQP,62.1
BiLSTM+ELMo	LSTM,2019,,MNLI,68.1
BiLSTM+CoVe	LSTM,2018,,QNLI,95.6
BiLSTM	LSTM,2019,,RTE,59.9
BiLSTM+CoVe	LSTM,2017,,CoLA,53.2
RoBERTa	Transformer,2018,,SST-2,94.2
BiLSTM+CoVe	LSTM,2017,,MRPC,87.4
BiLSTM+ELMo	LSTM,2018,,STS-B,66.0
BiLSTM	LSTM,2018,,QQP,67.3
BiLSTM	LSTM,2019,,MNLI,79.9
BERT	Transformer,2017,,QNLI,86.3
BiLSTM+Attn	LSTM,2019,,RTE,64.9
BiLSTM	LSTM,2017,,CoLA,69.4
BERT	Transformer,2019,,SST-2,85.0
BiLSTM+Attn	LSTM,2019,,MRPC,86.5
BiLSTM+CoVe	LSTM,2019,,STS-B,88.1
RoBERTa	Transformer,2019,,QQP,70.9
BiLSTM	LSTM,2017,,MNLI,79.9
BiLSTM+Attn	LSTM,2019,,QNLI,78.7
BiLSTM+CoVe	LSTM,2019,,RTE,65.5
BERT	Transformer,2017,,CoLA,72.9
BiLSTM+ELMo	LSTM,2019,,SST-2,92.1
T5	Transformer,2018,,MRPC,88.4
BERT	Transformer,2017,,STS-B,78.2
BiLSTM	LSTM,2017,,QQP,70.2
BiLSTM+ELMo	LSTM,2018,,MNLI,67.1
BiLSTM+CoVe	LSTM,2017,,QNLI,84.6
BiLSTM+Attn	LSTM,2019,,RTE,68.3
T5	Transformer,2018,,CoLA,12.2
BiLSTM	LSTM,2019,,SST-2,85.7
BiLSTM+CoVe	LSTM,2017,,MRPC,84.5
T5	Transformer,2018,,STS-B,66.5
T5	Transformer,2019,,QQP,67.4
BERT	Transformer,2019,,MNLI,75.7
BERT	Transformer,2017,,QNLI,76.4
T5	Transformer,2018,,RTE,53.7
RoBERTa	Transformer,2017,,CoLA,54.5
BERT	Transformer,2019,,SST-2,85.0
BERT	Transformer,2019,,MRPC,92.7
BERT	Transformer,2019,,STS-B,89.8
T5	Transformer,2017,,QQP,64.7
BiLSTM	LSTM,2018,,MNLI,74.5
BiLSTM	LSTM,2019,,QNLI,92.8
RoBERTa	Transformer,2018,,RTE,66.9
