Major_code,Major,Major_category,Grad_total,Grad_sample_size,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Grad_unemployment_rate,Grad_median,Grad_P25,Grad_P75,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed,Nongrad_unemployment_rate,Nongrad_median,Nongrad_P25,Nongrad_P75,Grad_share,Grad_premium
4141.0,COMPOSITION AND RHETORIC,Industrial Arts & Consumer Services,74033.0,61.0,4771.0,3422.0,2146.0,0.034632796,54608.0,49838,81977.0,176754.0,98170.0,16431.0,2475.0,0.042982152,45577.0,41748.0,78674.0,0.125052437,0.15833547
6216.0,MISCELLANEOUS ENGINEERING,Business,915341.0,1381.0,440331.0,382370.0,2699.0,0.032781842,66758.0,47717,135621.0,1924205.0,989607.0,154133.0,6721.0,0.043189104,68019.0,47704.0,86182.0,0.128399963,0.247230711
6206.0,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Business,573168.0,984.0,55288.0,35718.0,11274.0,0.023535924,86442.0,61175,146757.0,315636.0,25688.0,53192.0,2029.0,0.040465879,75811.0,49191.0,91806.0,0.129784872,0.294031368
4936.78297724896,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Communications & Journalism,47326.09872270206,165.27579767995988,20997.023971345185,6730.370217041673,461.54730388945956,0.017775292,61214.55983057121,47090,96143.89836767482,761000.1467145646,6324.497468321536,82779.74368824477,1568.276563440993,0.058450564,55534.464588694595,49352.82841860943,122472.66740165504,0.157010606,0.543143965
6203.0,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Business,429629.0,76.0,10064.0,86634.0,1446.0,0.026221977,70996.0,66089,102148.0,1502710.0,164574.0,30220.0,7506.0,0.048955744,55995.0,41401.0,99069.0,0.163696245,0.429170393
1153.0,ENGINEERING TECHNOLOGIES,Agriculture & Natural Resources,35927.0,270.0,3022.0,3030.0,644.0,0.01062269,73064.0,47221,99969.0,103690.0,74688.0,48444.0,2068.0,0.029489698,62903.0,34475.0,84853.0,0.174231092,0.373767193
1895.0,MATHEMATICS TEACHER EDUCATION,Engineering,368753.0,403.0,48394.0,2996.0,436.0,0.048316278,105734.0,44256,111968.0,64196.0,31209.0,6049.0,5491.0,0.065891282,96226.0,44971.0,103938.0,0.187201716,0.053741869
6206.0,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Business,280199.0,2829.0,23240.0,271891.0,95.0,0.030588938,76100.0,52609,123785.0,1392519.0,436926.0,25517.0,9079.0,0.061855176,65452.0,43052.0,92415.0,0.189272054,0.251325967
6223.0,AEROSPACE ENGINEERING,Business,626244.0,869.0,67070.0,14626.0,6371.0,0.058492215,65280.0,44965,118637.0,700447.0,15533.0,11943.0,11054.0,0.04545168,64344.0,45649.0,88119.0,0.192993152,0.251242743
2252.0,MASS MEDIA,Computers & Mathematics,32318.0,191.0,7848.0,21464.0,185.0,0.054666197,62439.0,52600,113897.0,149327.0,4008.0,73124.0,2523.0,0.044513936,81204.0,42273.0,85548.0,0.19384328,0.127659735
1131.0,SCHOOL STUDENT COUNSELING,Agriculture & Natural Resources,26811.0,32.0,23512.0,6101.0,52.0,0.023489648,77405.0,51661,85761.0,82872.0,64269.0,14046.0,1262.0,0.047777107,53376.0,39514.0,76868.0,0.204439327,0.047035255
6213.0,INDUSTRIAL PRODUCTION TECHNOLOGIES,Business,252875.0,476.0,21496.0,41443.0,721.0,0.057858314,89096.0,39155,102081.0,1358143.0,240172.0,490427.0,3497.0,0.046238981,55506.0,42605.0,81997.0,0.209974055,0.287069828
6212.0,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Business,1184158.0,1545.0,50730.0,10871.0,116.0,0.053442679,94040.0,48214,128635.0,960495.0,28377.0,309247.0,9612.0,0.043378055,67150.0,37643.0,102123.0,0.210332753,0.298233222
2381.0,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Computers & Mathematics,18517.0,830.0,5833.0,5030.0,91.0,0.080373119,82257.0,41948,85166.0,1046979.0,69089.0,186941.0,610.0,0.069395487,52463.0,43244.0,89764.0,0.216708122,0.080052618
1181.0,NUCLEAR ENGINEERING,Agriculture & Natural Resources,15761.0,2109.0,13338.0,13595.0,706.0,0.030168535,54723.0,67857,104293.0,65950.0,21743.0,23797.0,1857.0,0.042760833,57448.0,38475.0,75900.0,0.221860144,0.136696502
2736.0,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Computers & Mathematics,265834.0,567.0,63133.0,189058.0,2909.0,0.091821631,71169.0,41098,91331.0,210710.0,41606.0,24007.0,8553.0,0.050775477,75270.0,41765.0,86365.0,0.222323753,0.358221816
2004.0,NEUROSCIENCE,Engineering,83902.0,1013.0,13412.0,30513.0,1698.0,0.020919276,108560.0,48725,113073.0,842419.0,68774.0,32764.0,5170.0,0.026631325,69291.0,42120.0,85053.0,0.223773215,0.13859592
1115.0,JOURNALISM,Agriculture & Natural Resources,32270.0,526.0,12507.0,7524.0,212.0,0.02477698,74389.0,48249,94294.0,81821.0,34542.0,41117.0,1784.0,0.029974524,53825.0,39594.0,76261.0,0.223943868,-0.016720695
1160.0,ECOLOGY,Agriculture & Natural Resources,7640.0,705.0,4769.0,1762.0,633.0,0.017753188,56982.0,48221,89906.0,71109.0,16832.0,18118.0,2451.0,0.02799413,58373.0,39909.0,75184.0,0.224264044,0.162958898
2902.0,ELECTRICAL ENGINEERING,Industrial Arts & Consumer Services,13748.0,37.0,8478.0,1807.0,1195.0,0.035594908,68878.0,51655,88812.0,66630.0,19998.0,20670.0,1423.0,0.044507755,53451.0,43913.0,98849.0,0.226304667,0.241438819
1829.0,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Engineering,32860.0,362.0,16375.0,17256.0,1328.0,0.024604739,105453.0,48349,122976.0,64117.0,3390.0,38292.0,2412.0,0.023656893,74968.0,62089.0,92472.0,0.227898253,0.286103288
5005.0,POLITICAL SCIENCE AND GOVERNMENT,Social Science,48772.0,469.0,11927.0,23364.0,742.0,0.056448551,66475.0,52405,173464.0,193073.0,86051.0,105498.0,10317.0,0.066029846,67605.0,41129.0,80363.0,0.232950588,0.340957486
2410.0,PETROLEUM ENGINEERING,Engineering,47223.0,4245.0,20812.0,25469.0,344.0,0.042670302,89071.0,45522,129910.0,29501.0,10706.0,22549.0,4431.0,0.060556478,76608.0,67065.0,92567.0,0.244444673,0.141370015
6200.0,MEDICAL ASSISTING SERVICES,Business,482074.0,16453.0,56153.0,35718.0,24814.0,0.045947576,98510.0,58486,141268.0,378435.0,56351.0,148665.0,1077.0,0.062134146,70720.0,44060.0,82432.0,0.246806057,0.269943876
3429.0,EDUCATIONAL PSYCHOLOGY,Engineering,174740.0,628.0,47743.0,119220.0,3426.0,0.016619081,74808.0,41299,203051.0,195032.0,135988.0,37472.0,2160.0,0.060078972,75527.0,63980.0,117863.0,0.247069208,0.272608743
4525.0,GENERAL MEDICAL AND HEALTH SERVICES,Social Science,475016.0,15128.0,16635.0,20206.0,2192.0,0.031790848,69764.0,77263,140647.0,754027.0,26804.0,33567.0,3016.0,0.058119378,52398.0,34216.0,77903.0,0.254584816,0.363698989
1116.0,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Agriculture & Natural Resources,5301.0,40.0,3231.0,4908.0,634.0,0.025879547,73263.0,44474,118698.0,94160.0,67579.0,42057.0,2706.0,0.030227763,61675.0,40117.0,76021.0,0.255131716,0.175112522
6210.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Business,304124.0,4501.0,29672.0,150318.0,249.0,0.067265242,77676.0,54381,120002.0,2610752.0,148417.0,190261.0,5589.0,0.055778163,64738.0,45557.0,91109.0,0.26029145,0.249248934
1137.0,FORESTRY,Agriculture & Natural Resources,39213.0,326.0,17969.0,22619.0,767.0,0.029647631,55227.0,65284,112637.0,64985.0,31345.0,45330.0,332.0,0.027548748,51271.0,39559.0,75561.0,0.261608513,0.124289493
6006.0,SOIL SCIENCE,Arts,25247.0,3168.0,11137.0,11581.0,2243.0,0.041283317,57504.0,68179,82168.0,673570.0,64571.0,346231.0,11047.0,0.094236227,41798.0,30272.0,73487.0,0.265557465,0.178619472
5232.0,PLANT SCIENCE AND AGRONOMY,Social Science,76954.0,407.0,12211.0,24014.0,4644.0,0.054763362,69279.0,43303,120033.0,326051.0,253077.0,37033.0,11703.0,0.060291775,64930.0,39162.0,74489.0,0.270322757,0.323126073
1158.0,GENERAL MEDICAL AND HEALTH SERVICES,Agriculture & Natural Resources,56628.0,383.0,21688.0,7105.0,129.0,0.031571503,77064.0,42389,96698.0,123669.0,18371.0,31488.0,996.0,0.033415219,62023.0,34263.0,79873.0,0.270852382,0.404220436
4154.0,PHYSIOLOGY,Social Science,915341.0,533.0,119819.0,9887.0,2953.0,0.044542157,71574.0,52585,94373.0,217103.0,215182.0,28501.0,23621.0,0.064258513,58951.0,41947.0,76353.0,0.270872696,0.336371264
1136.0,INTERCULTURAL AND INTERNATIONAL STUDIES,Agriculture & Natural Resources,50563.0,114.0,18691.0,8864.0,365.0,0.055640486,78480.0,48489,110023.0,59972.0,30185.0,40484.0,2450.0,0.02663273,50208.0,33860.0,78779.0,0.279467221,0.371811946
5226.0,ENVIRONMENTAL ENGINEERING,Psychology & Social Work,21994.0,5061.0,13533.0,10454.0,747.0,0.034274417,69087.0,62381,96913.0,34665.0,9419.0,6172.0,1349.0,0.072483012,41003.0,25375.0,62839.0,0.285937372,0.380173084
6208.0,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Business,703347.0,70.0,8065.0,42327.0,330.0,0.044286925,66584.0,58631,122543.0,81439.0,21938.0,60275.0,4864.0,0.06115079,74301.0,47613.0,88962.0,0.290893393,0.410092065
6047.0,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Arts,24709.0,1251.0,23351.0,2861.0,750.0,0.048494647,57176.0,43220,87701.0,298584.0,25741.0,235380.0,5032.0,0.079860876,48196.0,30157.0,65226.0,0.291790106,0.326381332
2280.0,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Computers & Mathematics,51363.0,979.0,12685.0,22181.0,9369.0,0.02533017,97781.0,41016,125309.0,894260.0,203792.0,74903.0,1720.0,0.075116547,56535.0,38603.0,80117.0,0.295640543,0.344447657
6204.0,AGRICULTURE PRODUCTION AND MANAGEMENT,Business,915341.0,145.0,21924.0,24306.0,11811.0,0.02399241,83132.0,42669,135642.0,241969.0,99368.0,58885.0,20790.0,0.042411593,71825.0,46522.0,97749.0,0.297008703,0.374075863
4528.0,ENVIRONMENTAL SCIENCE,Humanities & Liberal Arts,703347.0,1123.0,46465.0,100399.0,990.0,0.032580366,62365.0,54209,88449.0,352133.0,71535.0,56885.0,3650.0,0.066862459,43519.0,29960.0,70986.0,0.297050512,0.407363745
3162.0,PHYSICS,Engineering,85400.0,440.0,11952.0,81967.0,482.0,0.022275149,98386.0,64006,139992.0,139937.0,21682.0,56102.0,10980.0,0.04964976,86461.0,58069.0,109041.0,0.298217128,0.395537468
5004.0,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Physical Sciences,703347.0,231.0,3190.0,5102.0,753.0,0.014520505,96428.0,52232,144050.0,113622.0,2768.0,4216.0,287.0,0.043205706,71463.0,39625.0,106736.0,0.301574428,0.368412652
