Year,Country,Spending_USD,Life_Expectancy
1970,Great Britain,4233.594,77.3
1970,France,5051.345,79.9
1970,Canada,3094.214,79.7
1971,USA,6564.72,81.4
1971,Japan,635.027,81.8
1971,Japan,3910.97,70.6
1971,Germany,5638.101,75.8
1971,Great Britain,4688.462,81.2
1971,Japan,1095.173,78.2
1971,Canada,4932.956,76.3
1971,Japan,1949.75,82.4
1971,Canada,4326.782,77.0
1971,France,4428.48,80.6
1971,France,681.416,73.1
1972,Germany,6539.327,77.4
1972,Canada,3568.525,78.5
1972,Germany,3053.98,81.8
1972,Great Britain,1304.091,76.8
1972,Canada,707.795,84.4
1973,Canada,4916.456,76.1
1973,Japan,3025.29,77.9
1973,Great Britain,3618.45,72.6
1973,Germany,5767.792,81.9
1974,Canada,1166.77,78.0
1974,Great Britain,2278.988,84.1
1974,Great Britain,4859.148,78.5
1975,Great Britain,1452.899,76.1
1975,Japan,3339.192,76.2
1975,Japan,3113.108,77.1
1975,Great Britain,1168.629,79.2
1975,USA,6402.478,81.4
1975,Great Britain,1285.7,79.2
1975,Germany,4792.053,77.5
1975,Germany,4675.274,77.8
1976,Japan,1464.583,79.3
1976,Canada,2090.913,78.7
1976,Great Britain,4178.404,78.9
1976,Japan,4099.322,72.3
1976,Great Britain,956.288,78.1
1976,USA,3320.514,72.1
1977,Great Britain,1787.382,77.6
1977,Great Britain,988.849,75.3
1977,France,3069.87,75.2
1977,Germany,1000.012,75.3
1977,Germany,877.034,75.4
1977,Germany,2475.497,77.1
1978,France,4557.567,79.5
1978,Great Britain,1332.843,72.7
1978,Japan,2282.98,76.9
1978,Germany,6608.383,75.2
1979,USA,5473.701,76.4
1979,Japan,4098.648,76.1
1979,Japan,2840.756,75.8
1979,Great Britain,1963.375,80.0
1980,Great Britain,3558.335,78.6
1980,Great Britain,3574.228,77.0
1980,Germany,6000.2,74.4
1980,USA,6349.871,73.1
1980,Great Britain,2249.15,78.7
1980,USA,9254.453,80.9
1980,Canada,2251.478,78.4
1981,Germany,6221.627,75.8
1981,Japan,4358.029,78.0
1981,Japan,715.963,78.7
1981,Japan,180.64,70.6
1981,Great Britain,2971.425,75.5
1982,Canada,4826.656,76.3
1982,USA,2991.164,82.5
1982,USA,9891.179,76.1
1982,USA,5879.102,77.5
1982,Canada,615.331,77.9
1982,Canada,2056.24,76.5
1983,USA,7426.892,77.1
1983,France,2496.851,74.5
1983,Great Britain,732.056,70.7
1983,USA,9026.423,75.7
1984,Canada,3765.31,73.6
1984,Japan,436.853,77.1
1984,Germany,716.386,80.6
1984,Japan,1809.605,80.1
1984,Japan,2294.157,74.9
1985,Great Britain,218.301,76.2
1985,USA,9915.116,77.8
1985,France,3294.266,73.6
1985,Great Britain,1499.924,80.1
1985,France,4683.646,83.7
1985,Germany,3142.489,77.5
1985,Japan,789.615,73.3
1986,Great Britain,487.488,76.5
1986,Germany,5371.586,74.5
1986,Canada,3023.039,78.3
1986,Germany,1353.419,84.7
1987,Japan,3963.351,82.5
1987,Canada,3177.145,79.2
1987,France,2963.94,75.0
1987,Japan,2687.737,72.7
1987,Great Britain,4296.722,70.8
1987,Canada,3475.016,75.5
1987,Canada,3637.298,75.6
1987,Germany,2544.116,77.1
1987,France,1697.644,77.4
1987,Great Britain,2350.476,82.6
1988,Germany,374.046,82.1
1988,Germany,1234.162,76.3
1989,France,601.303,80.0
1989,Great Britain,2168.235,77.4
1989,France,3989.626,74.2
1989,USA,8308.803,77.0
1990,Great Britain,3447.475,80.0
1990,Japan,2707.895,79.3
1990,Japan,2422.341,75.8
1990,USA,5260.329,75.3
1991,Japan,198.31,78.3
1991,Canada,537.429,76.6
1991,USA,1317.168,78.2
1991,Germany,3355.59,76.2
1991,France,1149.721,77.3
1992,USA,3816.183,75.6
1992,France,5369.668,78.5
1992,USA,607.725,77.1
1992,Canada,1638.055,79.5
1992,France,343.105,73.0
1992,Germany,1477.757,78.6
1993,Germany,5721.547,81.8
1993,Great Britain,2545.435,81.4
1993,USA,979.381,77.4
1993,Great Britain,4610.581,72.0
1993,Japan,3668.681,80.3
1993,Canada,1250.207,77.6
1993,Canada,2826.226,80.6
1994,Great Britain,2304.4,79.4
1994,Great Britain,1069.742,78.7
1994,Japan,300.815,81.2
1994,France,1157.27,84.6
1994,USA,11063.2,77.6
1994,Great Britain,4032.028,83.0
1994,Germany,282.522,78.4
1994,Germany,3141.176,77.9
1995,Great Britain,5003.022,76.8
1995,Japan,3292.789,81.1
1995,France,3131.662,77.7
1995,Canada,1685.86,77.9
1996,Japan,1517.498,82.2
1996,Japan,3266.923,70.6
1996,Germany,5610.048,81.7
1996,Canada,3356.756,77.0
1996,Great Britain,2638.367,80.5
1996,France,4705.623,83.8
1996,Japan,1587.473,74.4
1997,USA,5125.712,77.2
1997,France,4983.281,80.7
1997,Germany,749.853,78.6
1997,Canada,4687.388,79.0
1997,France,3316.719,77.9
1997,Great Britain,1676.377,79.4
1998,Great Britain,4439.421,82.8
1998,Canada,4340.687,76.5
1998,USA,533.211,81.1
1998,Japan,1560.766,73.2
1998,France,3877.647,79.2
1999,Germany,5640.556,75.0
1999,Germany,4375.558,76.6
1999,Germany,423.285,75.7
1999,Great Britain,3657.044,74.5
2000,France,3772.819,77.7
2000,Great Britain,4452.099,78.3
2000,France,4135.51,75.5
2000,Germany,2079.604,76.0
2000,Canada,4156.25,76.5
2001,USA,6766.813,73.5
2001,USA,4811.369,79.4
2001,Great Britain,708.562,82.0
2001,Great Britain,4176.634,72.2
2001,USA,8282.729,72.7
2001,Great Britain,2131.492,78.4
2002,Japan,433.671,77.1
2002,Great Britain,3150.102,72.0
2002,USA,3175.108,77.4
2002,USA,11633.015,75.6
2002,Canada,2454.977,75.8
2002,Japan,2365.237,82.7
2003,France,857.083,80.8
2003,USA,5687.061,80.2
2003,Great Britain,294.298,75.1
2003,Germany,5329.226,78.4
2003,USA,393.131,81.9
2004,USA,11577.161,73.6
2004,Great Britain,1695.136,73.3
2004,Canada,5693.919,78.7
2004,Great Britain,1321.768,74.4
2004,Japan,1568.431,82.3
2004,Germany,2674.168,74.9
2004,Japan,180.228,78.1
2005,Japan,2460.234,77.7
2005,Canada,1804.83,75.1
2006,France,1588.593,76.1
2006,Canada,3158.78,84.7
2006,USA,6707.322,79.4
2006,Germany,4414.731,75.2
2006,Great Britain,2159.056,76.7
2006,Japan,1684.795,73.1
2007,Germany,1294.744,77.0
2007,Canada,5629.12,77.2
