name,region,id,pct,total,group
Texas	south,,1.0,0.067,1310277.0450353553,10000 to 14999
Florida	south,,1.0,0.098,1034713.8435372635,75000 to 99999
Washington	west,,1.0,0.139,2679238.394354423,75000 to 99999
New Hampshire	northeast,,1.0,0.056,2296144.7911430784,150000 to 199999
New York	northeast,,1.0,0.063,4704318.135068182,10000 to 14999
Wisconsin	midwest,,1.0,0.039,397201.4331580655,150000 to 199999
New York	northeast,,1.0,0.035,829406.776483779,<10000
Arizona	west,,1.0,0.027,3696339.662075269,10000 to 14999
Connecticut	northeast,,1.0,0.125,998779.0806695906,15000 to 24999
Hawaii	west,,1.0,0.069,5930856.021626218,10000 to 14999
District of Columbia	south,,1.0,0.103,3393056.668485198,15000 to 24999
District of Columbia	south,,1.0,0.099,11931024.534243958,100000 to 149999
Vermont	northeast,,1.0,0.132,455959.591050865,35000 to 49999
South Dakota	midwest,,1.0,0.183,1881025.4987551202,50000 to 74999
Utah	west,,1.0,0.119,7438171.168804813,75000 to 99999
North Dakota	midwest,,1.0,0.078,3231053.5511159515,10000 to 14999
Kentucky	south,,1.0,0.037,222679.0,150000 to 199999
Kentucky	south,,1.0,0.11,2081033.811084268,75000 to 99999
Alaska	west,,1.0,0.022,1835532.1442375206,200000+
Maine	northeast,,1.0,0.101,3499729.383790265,15000 to 24999
Arizona	west,,1.0,0.115,809849.374480633,200000+
Wisconsin	midwest,,1.0,0.069,3884288.573710148,10000 to 14999
Oklahoma	south,,1.0,0.114,735375.8775163958,75000 to 99999
West Virginia	south,,1.0,0.099,1811908.7096966621,<10000
Michigan	midwest,,1.0,0.136,913765.6824030178,35000 to 49999
Louisiana	south,,1.0,0.142,416939.50150798523,100000 to 149999
Florida	south,,1.7236889695010937,0.034,2373178.6211543693,150000 to 199999
Nebraska	midwest,,1.7359555034391079,0.134,3188094.565984731,75000 to 99999
Wisconsin	midwest,,1.802297786749179,0.142,1551672.8833868094,100000 to 149999
Virginia	south,,1.836922088870395,0.042,1270122.1153771258,200000+
Washington	west,,2.2427829575931035,0.19,239768.17508373526,50000 to 74999
Arkansas	south,,2.76923063468719,0.124,222679.0,35000 to 49999
Louisiana	south,,2.8785895396603287,0.032,1437445.82738425,10000 to 14999
Connecticut	northeast,,3.1598840430476187,0.08,2162820.018001525,<10000
Minnesota	midwest,,3.455681777613723,0.135,2607560.121422768,75000 to 99999
Colorado	west,,3.647697990947851,0.204,672009.302944893,50000 to 74999
Michigan	midwest,,3.687165543939823,0.067,635865.7870169661,10000 to 14999
Minnesota	midwest,,3.7307479913135566,0.039,9402732.063539905,10000 to 14999
Mississippi	south,,3.825438376919241,0.169,496227.9049032132,50000 to 74999
Hawaii	west,,4.171639460872207,0.051,222679.0,200000+
Montana	west,,4.456498309053181,0.181,2568592.190031415,50000 to 74999
West Virginia	south,,4.569880626896143,0.067,4734108.461227082,10000 to 14999
Alaska	west,,4.582582647959267,0.091,400116.9620643952,15000 to 24999
West Virginia	south,,5.123832323266338,0.141,2233344.0455618133,35000 to 49999
Maine	northeast,,5.278056753245899,0.107,1792728.496121859,15000 to 24999
Indiana	midwest,,6.072691267853198,0.034,1577210.5213192487,150000 to 199999
Arkansas	south,,6.084669980093597,0.043,6800690.93310061,150000 to 199999
New Hampshire	northeast,,6.229106458820919,0.05,531939.8900727369,150000 to 199999
Arizona	west,,6.291911218429718,0.126,439057.0882996011,15000 to 24999
District of Columbia	south,,6.826113685791931,0.196,1986388.0858790244,50000 to 74999
Iowa	midwest,,7.384301924911554,0.154,222679.0,100000 to 149999
Minnesota	midwest,,7.739392431205129,0.051,3385512.208285098,150000 to 199999
New Hampshire	northeast,,7.842986729795605,0.126,408399.5128858002,75000 to 99999
Massachusetts	northeast,,7.863516171133451,0.125,2979174.7022902607,35000 to 49999
South Dakota	midwest,,8.13368211145001,0.094,1425601.742508428,25000 to 34999
District of Columbia	south,,8.403918077722924,0.055,632889.3767074968,10000 to 14999
Oklahoma	south,,8.552276584175718,0.033,1883501.7231538787,150000 to 199999
Ohio	midwest,,8.77094376808262,0.132,2464900.350189883,75000 to 99999
Missouri	midwest,,8.893013152682936,0.058,4317552.703911073,150000 to 199999
Kansas	midwest,,9.018039062357925,0.104,704561.36229993,<10000
South Dakota	midwest,,9.311788461046874,0.077,8106614.792275936,<10000
Illinois	midwest,,9.481815219543169,0.099,1052340.0874657035,75000 to 99999
Montana	west,,9.595985384570188,0.074,2108464.2523050914,25000 to 34999
Ohio	midwest,,9.611861151777344,0.121,1505216.399424369,100000 to 149999
Maine	northeast,,9.692213399725883,0.09,4816263.868355774,15000 to 24999
Texas	south,,9.927518905611667,0.076,3479655.621784634,<10000
Rhode Island	northeast,,9.931460861970084,0.126,4274801.84500007,15000 to 24999
Wisconsin	midwest,,9.964378111952083,0.131,8264729.341662114,35000 to 49999
Utah	west,,9.974715533075855,0.176,7558253.095738967,50000 to 74999
Minnesota	midwest,,10.155654620146834,0.141,342597.6501921873,35000 to 49999
Idaho	west,,10.487556947470466,0.14,453275.08235776215,100000 to 149999
New Jersey	northeast,,10.603213346879905,0.125,1222293.992272611,35000 to 49999
Alabama	south,,10.71166663140588,0.121,11161277.125255067,15000 to 24999
Montana	west,,10.755625862495084,0.09,222679.0,15000 to 24999
Mississippi	south,,10.993853702616917,0.105,2462387.8648403897,15000 to 24999
Georgia	south,,11.088538176302592,0.192,222679.0,50000 to 74999
Massachusetts	northeast,,11.120275717714438,0.117,1946047.2635205293,75000 to 99999
Hawaii	west,,11.210816436271617,0.206,1272137.591469755,50000 to 74999
Colorado	west,,11.82328280811043,0.119,6479724.065853406,15000 to 24999
California	west,,12.257085409985631,0.104,438371.3243195505,15000 to 24999
New Hampshire	northeast,,12.384844964590972,0.08,1329364.2153327959,100000 to 149999
New Hampshire	northeast,,12.390232883774974,0.051,2081007.2758012195,10000 to 14999
Tennessee	south,,12.395110886329718,0.098,885482.5740517502,25000 to 34999
Nevada	west,,12.548395609791974,0.131,2199659.829497752,75000 to 99999
Pennsylvania	northeast,,12.623194256621783,0.083,2019790.3173649423,25000 to 34999
Maryland	south,,12.847494702727737,0.08,777067.4093336187,<10000
Tennessee	south,,12.911683461323733,0.101,6685562.38707024,35000 to 49999
Puerto Rico	other,,13.129758508434023,0.069,10292109.193183642,25000 to 34999
Utah	west,,13.23015093701816,0.069,798038.1051650443,<10000
South Dakota	midwest,,13.287309294497359,0.06,506221.87912483956,10000 to 14999
Missouri	midwest,,13.342326409666995,0.126,2722207.3441045014,35000 to 49999
Vermont	northeast,,13.404575848140016,0.111,825440.1128741655,25000 to 34999
New Jersey	northeast,,13.590835691197285,0.132,2821819.6691622464,75000 to 99999
Wisconsin	midwest,,14.014812157591228,0.13,4453183.721018881,100000 to 149999
North Dakota	midwest,,14.226148390707094,0.1,2190968.4405227453,100000 to 149999
Arkansas	south,,14.407831568137004,0.069,1236987.7140426293,<10000
Oregon	west,,14.700849163896025,0.124,222679.0,75000 to 99999
Nevada	west,,15.164760404362934,0.204,433470.4138193878,50000 to 74999
Delaware	south,,15.224648341568939,0.122,1281216.2003680044,15000 to 24999
Georgia	south,,15.483660402979401,0.103,258815.16492748322,75000 to 99999
Alaska	west,,15.719421069772988,0.047,1390614.0725110576,150000 to 199999
Illinois	midwest,,15.857814686655802,0.049,5705065.073727966,200000+
Michigan	midwest,,15.858379239279161,0.036,979717.8927304053,200000+
Virginia	south,,16.03940787812748,0.036,524695.5086986292,10000 to 14999
Puerto Rico	other,,16.072347431418663,0.096,5230776.099289531,75000 to 99999
Ohio	midwest,,16.14015349533528,0.051,718330.936729947,10000 to 14999
Michigan	midwest,,16.1575353328318,0.139,2179233.587890488,100000 to 149999
Nevada	west,,16.16909812398807,0.114,358131.33564143756,75000 to 99999
Puerto Rico	other,,16.284943118553265,0.03,434524.4410588888,150000 to 199999
New Jersey	northeast,,16.328081056917085,0.047,3688325.680713936,<10000
Connecticut	northeast,,16.36560782469609,0.028,5142892.591582023,200000+
Washington	west,,16.374373798450527,0.061,969135.6899875507,10000 to 14999
Puerto Rico	other,,16.381059319256078,0.056,7023271.132432027,200000+
New Mexico	west,,16.388865263068766,0.069,1370139.2238384527,10000 to 14999
Tennessee	south,,16.42856055517541,0.111,988598.4421489533,25000 to 34999
Nebraska	midwest,,16.64884942097294,0.146,2958159.863554709,35000 to 49999
Hawaii	west,,16.675559022030733,0.143,1544261.637928515,100000 to 149999
Massachusetts	northeast,,16.84509757010947,0.045,716895.4400109223,10000 to 14999
Pennsylvania	northeast,,16.86856263474744,0.144,2765971.2477956233,50000 to 74999
Illinois	midwest,,17.00079708499667,0.047,1869848.7391441276,10000 to 14999
Alabama	south,,17.16823030551053,0.115,12581722.0,25000 to 34999
Georgia	south,,17.281070697963422,0.098,270776.97399450897,25000 to 34999
Connecticut	northeast,,17.354842211266774,0.039,6538816.811985076,150000 to 199999
South Dakota	midwest,,17.357120051940324,0.069,2832348.298864423,200000+
New Jersey	northeast,,17.460161162228292,0.059,1523626.2735266392,200000+
Puerto Rico	other,,17.460866941223426,0.056,656215.2665168092,<10000
South Carolina	south,,17.498897932268548,0.07,12581722.0,<10000
Massachusetts	northeast,,17.55936976321636,0.108,876142.2081760028,75000 to 99999
California	west,,17.71646193599506,0.129,2285622.3016500757,35000 to 49999
California	west,,17.74397602583676,0.137,5768141.014220645,75000 to 99999
Tennessee	south,,17.846678648080562,0.111,1472289.8356495197,25000 to 34999
Illinois	midwest,,17.994923142971153,0.124,2196634.5689690122,35000 to 49999
Alaska	west,,18.147792952330946,0.082,1643801.5245640015,10000 to 14999
Minnesota	midwest,,18.250078524748453,0.141,8896837.702325774,15000 to 24999
Tennessee	south,,18.414036614196622,0.098,2110806.1078022635,15000 to 24999
Indiana	midwest,,18.436116226150062,0.029,2295940.079732605,150000 to 199999
Hawaii	west,,18.90678846004704,0.098,2566603.440633135,100000 to 149999
Texas	south,,18.97158861052115,0.102,1584038.7356506453,75000 to 99999
Hawaii	west,,18.978854647217457,0.109,2047604.7216040823,75000 to 99999
Virginia	south,,19.290584818048,0.049,1061934.1482500732,150000 to 199999
Arkansas	south,,19.322569496769574,0.067,591883.3433476359,10000 to 14999
Oregon	west,,19.333176120815878,0.016,1591205.3933888157,200000+
California	west,,19.343362518847567,0.034,646762.2469172366,150000 to 199999
Alaska	west,,19.360662763506852,0.124,470368.7675663121,15000 to 24999
Colorado	west,,19.404038480400512,0.135,4137064.526251816,35000 to 49999
Massachusetts	northeast,,19.786071341815024,0.169,4067654.867735229,15000 to 24999
Vermont	northeast,,19.84788817920394,0.178,442680.77957164374,100000 to 149999
New York	northeast,,19.877738768074117,0.068,4336871.5599743575,<10000
Vermont	northeast,,19.881791005126757,0.025,628112.9027213046,200000+
Idaho	west,,19.909269629052318,0.118,902578.5622552221,25000 to 34999
Mississippi	south,,19.913337863988488,0.189,682903.0620119998,50000 to 74999
North Carolina	south,,19.93985560697748,0.037,1694163.2378062804,200000+
Florida	south,,19.95601437961925,0.104,1044605.7877941898,15000 to 24999
Minnesota	midwest,,20.40005627085745,0.103,1491064.5118062743,15000 to 24999
Minnesota	midwest,,20.444615073351123,0.101,1207070.519986071,<10000
Alabama	south,,20.457681765357933,0.208,680311.0548272936,50000 to 74999
Louisiana	south,,20.490803612298834,0.154,437699.1391576643,50000 to 74999
Puerto Rico	other,,20.51399076280852,0.031,959355.0628031907,200000+
New Jersey	northeast,,20.569452495363592,0.137,2042423.4451813851,75000 to 99999
North Carolina	south,,20.69777031680326,0.061,390680.68627277657,<10000
Colorado	west,,20.846662424464277,0.1,1209908.6935050231,100000 to 149999
Puerto Rico	other,,20.940855826243926,0.122,1571726.0199308961,75000 to 99999
Georgia	south,,20.98195453370718,0.15,4585731.298703656,100000 to 149999
Michigan	midwest,,21.211707376873864,0.128,3648789.588594691,35000 to 49999
Nevada	west,,21.21475092261532,0.041,229922.45963455868,10000 to 14999
Illinois	midwest,,21.230662036654465,0.153,1003245.4037187106,35000 to 49999
Wisconsin	midwest,,21.514262292785162,0.172,1670610.0486380714,50000 to 74999
Pennsylvania	northeast,,21.559606583294894,0.068,4046203.824881516,10000 to 14999
District of Columbia	south,,21.569303351408696,0.115,586660.2474545732,100000 to 149999
Tennessee	south,,21.781133354723103,0.109,848397.25868569,15000 to 24999
Michigan	midwest,,21.938935040762672,0.173,4966558.49535506,100000 to 149999
Maine	northeast,,22.00620851220053,0.098,4870695.531966588,<10000
Texas	south,,22.514408698511655,0.118,1032496.5971525748,75000 to 99999
Georgia	south,,22.558747131028277,0.135,8384060.412636254,75000 to 99999
Colorado	west,,22.65337346700963,0.14,452254.86324826063,100000 to 149999
Virginia	south,,22.7995142158037,0.128,1740859.3422039745,100000 to 149999
Connecticut	northeast,,22.828683844125106,0.069,1731299.460603756,<10000
Oklahoma	south,,22.895860774867085,0.139,756563.6844260795,15000 to 24999
Vermont	northeast,,22.996391154664106,0.081,908457.0772106639,<10000
Indiana	midwest,,23.135412643319842,0.168,222679.0,50000 to 74999
Connecticut	northeast,,23.14366220003998,0.089,292189.67317399516,25000 to 34999
Vermont	northeast,,23.19831948345164,0.107,779791.8156828971,75000 to 99999
Idaho	west,,23.242927029597332,0.123,4851577.367581157,75000 to 99999
Wyoming	west,,23.568501562007228,0.135,1231356.1200782584,35000 to 49999
New York	northeast,,23.594232480296633,0.095,484497.68516661046,<10000
Delaware	south,,23.681376866498162,0.04,1801027.1649269797,200000+
Washington	west,,23.70065542297197,0.142,222679.0,35000 to 49999
District of Columbia	south,,23.807774943412166,0.071,3028217.509187534,10000 to 14999
Louisiana	south,,23.904096889637145,0.021,286242.0581367891,150000 to 199999
Maine	northeast,,23.99998249693453,0.016,567228.4299964067,200000+
Kentucky	south,,24.014042912007355,0.137,488361.9754997284,35000 to 49999
Texas	south,,24.115322670037724,0.16,941020.0899442186,35000 to 49999
Utah	west,,24.221914771784856,0.065,787537.791570141,<10000
Nevada	west,,24.256710115437844,0.074,245762.3423642228,10000 to 14999
Wyoming	west,,24.557373253942057,0.116,972252.9143816328,25000 to 34999
Missouri	midwest,,24.943726993553604,0.154,10323807.63989495,35000 to 49999
Montana	west,,25.334657419238475,0.062,794282.4751237412,10000 to 14999
Arizona	west,,25.3881201612936,0.112,1354287.6923299022,75000 to 99999
Nevada	west,,25.395939327601816,0.103,725707.5226180784,25000 to 34999
Idaho	west,,25.59840031439081,0.098,2548270.287824223,75000 to 99999
Oklahoma	south,,25.79570634355848,0.197,438584.1669675513,50000 to 74999
Nevada	west,,25.831117436179262,0.12,758354.8259050521,15000 to 24999
Texas	south,,25.89556009626267,0.135,1330869.5689378623,100000 to 149999
Vermont	northeast,,26.070655761383108,0.133,4956131.355120702,35000 to 49999
North Dakota	midwest,,26.13045842032645,0.134,665584.0152264708,75000 to 99999
Georgia	south,,26.196947103217198,0.091,312104.2012696258,15000 to 24999
New Hampshire	northeast,,26.23430371195923,0.041,859338.0754933584,10000 to 14999
Maine	northeast,,26.239188517852075,0.079,3246536.570085372,<10000
Alabama	south,,26.334046968905053,0.043,3732981.9566637524,10000 to 14999
Montana	west,,26.549718349027295,0.071,730920.4984065201,<10000
Wyoming	west,,26.70533418080068,0.082,294406.10062279616,<10000
New Mexico	west,,26.708774168781556,0.156,1593322.5568989879,100000 to 149999
Wisconsin	midwest,,26.765963032500032,0.089,2082976.2949749788,15000 to 24999
North Dakota	midwest,,26.86332156274991,0.098,3779516.649645949,<10000
Arizona	west,,26.94948086059007,0.053,4294222.519938912,<10000
California	west,,27.00258324705551,0.186,594559.8439006937,50000 to 74999
Montana	west,,27.007968644618813,0.202,222679.0,50000 to 74999
Kentucky	south,,27.07951791243955,0.097,2232554.2295025853,<10000
