year,source,net_generation
2004-05-26,Fossil Fuels,42143.0
2016-12-01,Fossil Fuels,40230.0
2016-05-25,Fossil Fuels,30057.0
2005-02-16,Fossil Fuels,40377.0
2005-03-04,Fossil Fuels,37427.0
2007-11-17,Fossil Fuels,31213.0
2005-07-10,Fossil Fuels,29771.0
2013-12-21,Fossil Fuels,40741.0
2006-03-30,Fossil Fuels,31859.0
2014-11-03,Fossil Fuels,38979.0
2014-03-25,Fossil Fuels,33688.0
2001-04-22,Fossil Fuels,36929.0
2004-08-07,Fossil Fuels,40046.0
2002-12-31,Fossil Fuels,41736.0
2013-06-22,Fossil Fuels,34362.0
2003-02-21,Fossil Fuels,31124.0
2002-12-19,Fossil Fuels,33981.0
2012-05-13,Fossil Fuels,41165.0
2008-11-25,Fossil Fuels,29720.0
2005-06-04,Fossil Fuels,29584.0
2009-09-26,Nuclear Energy,4486.0
2006-07-20,Nuclear Energy,4048.0
2014-01-18,Nuclear Energy,4642.0
2014-10-14,Nuclear Energy,4940.0
2012-01-27,Nuclear Energy,4694.0
2014-05-04,Nuclear Energy,5265.0
2011-01-29,Nuclear Energy,4015.0
2014-02-25,Nuclear Energy,4757.0
2002-11-18,Nuclear Energy,4330.0
2016-09-27,Nuclear Energy,4509.0
2016-03-05,Nuclear Energy,4112.0
2008-11-15,Nuclear Energy,5218.0
2005-11-17,Nuclear Energy,4758.0
2001-08-05,Nuclear Energy,4397.0
2013-05-29,Nuclear Energy,5158.0
2001-03-28,Nuclear Energy,4946.0
2004-04-17,Nuclear Energy,4629.0
2008-12-23,Renewables,17973.0
2009-02-19,Renewables,10334.0
2012-05-04,Renewables,9146.0
2005-09-18,Renewables,9849.0
2014-03-25,Renewables,2183.0
2014-10-11,Renewables,10061.0
2004-03-29,Renewables,5248.0
2001-07-15,Renewables,13800.0
2003-06-08,Renewables,19207.0
2011-08-18,Renewables,19750.0
2005-09-05,Renewables,5912.0
2011-01-06,Renewables,19588.0
2010-09-29,Renewables,1668.0
2006-04-18,Renewables,4880.0
