Natalia Romanova (Earth-616)	\\/Natalia_Romanova_(Earth-616)	Apr-64	Red Hair	Green Eyes	Bisexual Characters	Public Identity	Female Characters	Good Characters	Living Characters
Hercules (Earth-616)	\\/Hercules_(Earth-616)	Oct-65	Brown Hair	Blue Eyes	Bisexual Characters	No Dual Identity	Male Characters	Good Characters	Living Characters
Elizabeth Braddock (Earth-616)	\\/Elizabeth_Braddock_(Earth-616)	Dec-76	Purple Hair	Blue Eyes	Bisexual Characters	Secret Identity	Female Characters	Neutral Characters	Living Characters
Loki Laufeyson (Earth-616)	\\/Loki_Laufeyson_(Earth-616)	Aug-49	Black Hair	Green Eyes	Bisexual Characters	No Dual Identity	Genderfluid Characters	Neutral Characters	Living Characters
Deadpool (Wade Wilson)	\\/Deadpool_(Wade_Wilson)	Feb-91	Bald	Brown Eyes	Transvestites	Secret Identity	Male Characters	Neutral Characters	Living Characters
Raven Darkholme (Earth-616)	\\/Raven_Darkholme_(Earth-616)	Apr-78	Red Hair	Yellow Eyes	Bisexual Characters	Secret Identity	Female Characters	Bad Characters	Living Characters
Heather Douglas (Earth-616)	\\/Heather_Douglas_(Earth-616)	Jan-73	Bald	Blue Eyes	Bisexual Characters	Secret Identity	Female Characters	Good Characters	Living Characters
Jean-Paul Beaubier (Earth-616)	\\/Jean-Paul_Beaubier_(Earth-616)	Apr-79	Black Hair	Blue Eyes	Homosexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Jonathan Clay (Earth-616)	\\/Jonathan_Clay_(Earth-616)	Aug-60	Red Hair	Blue Eyes	Homosexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Julio Richter (Earth-616)	\\/Julio_Richter_(Earth-616)	Jun-87	Brown Hair	Brown Eyes	Homosexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Akihiro (Earth-616)	\\/Akihiro_(Earth-616)	Oct-06	Black Hair	Blue Eyes	Bisexual Characters	Secret Identity	Male Characters	Bad Characters	Living Characters
Victor Borkowski (Earth-616)	\\/Victor_Borkowski_(Earth-616)	Aug-03	Black Hair	Brown Eyes	Homosexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Julie Power (Earth-616)	\\/Julie_Power_(Earth-616)	Aug-84	Strawberry Blond Hair	Blue Eyes	Pansexual Characters	Secret Identity	Female Characters	Good Characters	Living Characters
Marlo Chandler (Earth-616)	\\/Marlo_Chandler_(Earth-616)	Sep-88	Red Hair	Blue Eyes	Bisexual Characters	Public Identity	Female Characters	Good Characters	Living Characters
William Kaplan (Earth-616)	\\/William_Kaplan_(Earth-616)	Apr-05	Black Hair	Brown Eyes	Homosexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Doop (Earth-616)	\\/Doop_(Earth-616)	Jul-01	Black Hair	Variable Eyes	Bisexual Characters	No Dual Identity	Male Characters	Good Characters	Living Characters
David Alleyne (Earth-616)	\\/David_Alleyne_(Earth-616)	Oct-03	Black Hair	Brown Eyes	Bisexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Miguel Santos (Earth-616)	\\/Miguel_Santos_(Earth-616)	Oct-90	Black Hair	Brown Eyes	Homosexual Characters	Secret Identity	Male Characters	Good Characters	Living Characters
Dorrek VIII (Earth-616)	\\/Dorrek_VIII_(Earth-616)	Apr-05	Blond Hair	Blue Eyes	Homosexual Characters	Public Identity	Male Characters	Good Characters	Living Characters
Victoria Hand (Earth-616)	\\/Victoria_Hand_(Earth-616)	Feb-09	Black Hair	Hazel Eyes	Homosexual Characters	No Dual Identity	Female Characters	Neutral Characters	Deceased Characters
Karolina Dean (Earth-616)	\\/Karolina_Dean_(Earth-616)	Jul-03	Blond Hair	Blue Eyes	Homosexual Characters	Secret Identity	Female Characters	Good Characters	Living Characters
Irene Adler (Earth-616)	\\/Irene_Adler_(Earth-616)	Jan-81	Silver Hair	White Eyes	Bisexual Characters	Secret Identity	Female Characters	Neutral Characters	Deceased Characters
Yukio (Earth-616)	\\/Yukio_(Earth-616)	Sep-82	Black Hair	Brown Eyes	Bisexual Characters	No Dual Identity	Female Characters	Neutral Characters	Living Characters
