page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
495676.5982202137,Astrella Conklin Angels) Moon 2) Structural (Earth-616) (Earth-616),\\/Moira_Kinross_(Earth-616)	Brown Hair,Known to Authorities Identity,,,,Agender Characters,,Living Characters,,Oct-89,1962
751950.2571882498,Hamir Napier Tromp All Ayyub Electronics (Earth-616) (Earth-616),\\/Stephen_Beckley_(Earth-616)	Brown Hair,No Dual Identity,Bad Characters,Silver Eyes,,Genderfluid Characters,,Living Characters,,Apr-51,1984
388881.204011098,Sven Jacobson Organism (KIA) Two Reborn) (Earth-616) (Earth-616),\\/Neutron_(Second)_(Earth-616)	No Hair,,,Multiple Eyes,,Agender Characters,,Living Characters,,Dec-06,1939
327824.6746371324,Dai Magruder artist) pig) Vault) Reborn) Tao-Yu (Earth-616),\\/Dovina_(Earth-616)	Blond Hair,Secret Identity,,Black Eyeballs,,Male Characters,,Deceased Characters,,Sep-80,1990
469029.84950696,Lord Supreme Delgado Colossus Ayyub Structural (Earth-616) (Earth-616),\\/James_Howlett_(Onslaught_Reborn)_(Earth-616)	Black Hair,Public Identity,Good Characters,,,Female Characters,,Deceased Characters,,Sep-06,1957
105057.49669881501,Silver Ayrshire (Thief) Sinyong Bog Reborn) Technology) (Earth-616),\\/Keith_Kincaid_(Earth-616)	Blond Hair,Public Identity,Neutral Characters,,,Female Characters,,Deceased Characters,,Jun-01,1940
15759.309016822452,Dimitrios (Original) Berlin City) Personality) Ho (Earth-616) (Earth-616),\\/Hagen_(Earth-616)	Black Hair,No Dual Identity,Good Characters,Violet Eyes,,Genderfluid Characters,,Deceased Characters,,Oct-81,1995
175063.67404412545,Tracy Fowler (Captain Touch) and Ho Technology) (Earth-616),\\/Marquis_de_Lassus_(Earth-616)	Brown Hair,,Neutral Characters,,,Female Characters,,Deceased Characters,,Nov-08,1981
701591.5315934034,Auctioneer Axelson Rodriguez Soldier) Wasp) (Earth-616) Technology) (Earth-616),\\/Werner_Schmidt_(ICON)_(Earth-616)	Black Hair,Known to Authorities Identity,Neutral Characters,Multiple Eyes,,Agender Characters,,Living Characters,,Jun-96,2010
565259.8562241689,Sluj (Hydra) Maidens) Snow-King (Earth-616) Reborn) Technology) (Earth-616),\\/Reed_Richards_(Onslaught_Reborn)_(Earth-616)	Brown Hair,Public Identity,Neutral Characters,Blue Eyes,,Female Characters,,Living Characters,,Dec-56,1969
572074.2278490562,Dark Turgenov Sisters) Pluto) Reborn) Reborn) Technology) (Earth-616),\\/Marquez_(Earth-616)	Brown Hair,No Dual Identity,Bad Characters,Silver Eyes,,Genderfluid Characters,,Deceased Characters,,Dec-68,1946
42675.193803902184,Erin Judson (Texas Cow) Hand) Ho (Earth-616) (Earth-616),\\/Kioto_(Earth-616)	Black Hair,Secret Identity,Neutral Characters,Pink Eyes,,Male Characters,,Deceased Characters,,Apr-50,1981
