mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
18.4,4.0,76.0,74.0,2315.0,12.8,70,japan,dodge st. regis
21.6,5.0,89.0,88.0,3693.0,16.2,70,usa,plymouth fury gran sedan
21.4,5.0,168.0,102.0,3404.0,15.1,70,usa,ford galaxie 500
20.8,7.0,96.0,60.0,3706.0,19.2,70,usa,toyota corona hardtop
36.4,4.0,79.0,56.0,2351.0,12.4,70,japan,ford country squire (sw)
35.5,6.0,279.0,63.0,3140.0,11.2,70,usa,volkswagen type 3
30.1,6.0,196.0,99.0,2158.0,12.8,70,usa,ford pinto
18.9,8.0,305.0,170.0,3053.0,16.1,70,usa,datsun 310
16.2,6.0,128.0,93.0,2313.0,15.7,70,usa,ford gran torino
17.4,5.0,437.0,124.0,3386.0,17.0,70,usa,dodge aspen se
34.9,5.0,106.0,,1958.0,18.2,70,japan,honda civic 1500 gl
20.4,5.0,392.0,132.0,3528.0,15.9,70,usa,pontiac ventura sj
27.5,4.0,149.0,55.0,2420.0,14.8,70,japan,toyota cressida
28.1,4.0,82.0,101.0,2072.0,18.3,70,europe,datsun b-210
12.5,7.0,97.0,109.0,3279.0,14.8,70,usa,mercury monarch
26.9,8.0,368.0,164.0,4129.0,10.9,70,usa,datsun b210
18.8,4.0,105.0,93.0,3045.0,15.9,70,europe,fiat 124b
17.0,4.0,117.0,109.0,2025.0,15.4,70,europe,opel manta
19.2,7.0,170.0,81.0,2249.0,18.3,70,usa,chevrolet chevelle concours (sw)
17.9,4.0,451.0,205.0,3734.0,15.2,70,usa,volkswagen jetta
31.8,6.0,104.0,100.0,2383.0,17.8,70,usa,vw pickup
39.4,3.0,100.0,75.0,2144.0,12.2,70,japan,pontiac catalina
25.5,4.0,140.0,77.0,2112.0,11.6,70,japan,plymouth fury gran sedan
22.7,5.0,270.0,151.0,2345.0,12.9,70,usa,chevrolet monza 2+2
23.9,6.0,415.0,182.0,4891.0,21.3,70,usa,chevrolet cavalier
17.3,5.0,117.0,124.0,3931.0,18.0,70,usa,amc concord dl 6
26.5,5.0,370.0,136.0,4816.0,16.5,70,usa,ford thunderbird
38.8,5.0,109.0,74.0,2356.0,13.4,70,japan,amc matador (sw)
24.0,5.0,112.0,,1680.0,17.4,70,japan,ford torino
24.6,5.0,95.0,85.0,2349.0,17.6,70,japan,chevrolet cavalier wagon
27.6,4.0,106.0,65.0,3143.0,15.6,70,europe,ford ltd
27.0,5.0,321.0,63.0,3904.0,15.5,70,usa,buick skylark 320
21.6,4.0,116.0,60.0,2277.0,13.5,70,europe,toyota carina
