mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
20.0,5,180.0,85,2874,17.3,70,usa,dodge challenger se
26.0,7,142.0,78,3354,16.6,70,usa,plymouth valiant
30.6,8,398.0,142,4360,22.1,70,usa,chevrolet chevelle malibu classic
37.4,4,98.0,91,2310,17.4,70,europe,peugeot 505s turbo diesel
34.3,4,127.0,60,2058,13.3,70,japan,datsun 1200
27.0,4,155.0,91,2064,12.4,70,japan,toyota carina
14.5,7,247.0,108,3252,8.8,70,usa,plymouth volare custom
25.1,4,93.0,73,4252,11.9,70,europe,fiat x1.9
26.0,4,91.0,76,1992,13.1,70,japan,honda prelude
28.2,4,120.0,76,2535,16.9,70,japan,datsun 510
34.1,4,108.0,109,2402,14.2,70,japan,datsun b210
28.5,7,204.0,100,3393,18.7,70,usa,mercury capri v6
21.7,4,253.0,131,3092,13.3,70,usa,plymouth grand fury
14.3,6,111.0,139,2430,14.9,70,usa,plymouth cricket
27.7,4,116.0,96,2134,20.1,70,europe,mercedes benz 300d
24.0,8,159.0,100,4014,15.5,70,usa,ford fairmont (man)
18.9,5,360.0,78,3110,18.3,70,usa,ford fiesta
12.7,8,339.0,135,2477,15.9,70,usa,buick electra 225 custom
26.2,6,116.0,121,3559,21.0,70,usa,mercury grand marquis
36.2,4,454.0,155,3885,15.2,70,usa,ford mustang gl
16.3,5,388.0,113,2425,18.7,70,usa,dodge aries se
36.1,4,105.0,47,2584,16.8,70,japan,toyota corona hardtop
24.0,5,452.0,176,3191,16.2,70,usa,dodge coronet brougham
15.8,4,139.0,,3307,19.2,70,usa,ford mustang cobra
28.4,4,134.0,59,3167,17.6,70,europe,saab 99e
16.1,8,356.0,141,3102,13.1,70,usa,ford country
31.4,4,112.0,140,2229,14.8,70,japan,toyota starlet
20.9,6,384.0,162,3020,16.0,70,usa,chevrolet citation
15.2,7,402.0,136,3019,18.1,70,usa,mercury monarch ghia
29.0,6,262.0,143,3250,18.0,70,usa,buick skyhawk
33.9,4,101.0,55,2046,15.8,70,japan,datsun 810
26.5,4,89.0,94,5140,20.3,70,europe,volvo diesel
18.2,6,430.0,96,3020,13.5,70,usa,pontiac firebird
18.9,5,376.0,90,2746,12.5,70,usa,dodge colt m/m
18.2,4,102.0,46,2310,9.6,70,europe,bmw 320i
13.9,5,131.0,59,5140,11.5,70,usa,ford country squire (sw)
19.2,7,303.0,118,1991,15.4,71,usa,pontiac grand prix lj
29.3,4,105.0,52,2204,14.3,71,europe,opel 1900
21.9,4,108.0,46,2662,13.6,71,europe,volkswagen 1131 deluxe sedan
21.8,5,346.0,90,4040,17.0,71,usa,amc ambassador sst
13.6,5,355.0,46,2572,14.6,71,usa,pontiac phoenix lj
25.1,4,81.0,71,2130,14.6,71,japan,toyota carina
21.3,4,120.0,69,1832,17.2,71,europe,volvo diesel
25.1,4,102.0,137,2689,16.7,71,japan,toyota corolla tercel
27.6,4,99.0,67,2178,14.3,71,japan,mazda glc 4
15.8,8,241.0,,3104,14.5,71,usa,chevrolet concours
26.0,5,286.0,191,4557,14.6,71,usa,plymouth satellite custom
16.6,7,389.0,98,4640,11.8,71,usa,mercury zephyr
16.1,6,402.0,70,3427,15.7,71,usa,plymouth arrow gs
16.0,5,302.0,154,3089,15.4,71,usa,amc pacer d/l
36.4,4,84.0,74,1992,13.7,71,europe,volkswagen dasher
25.0,5,104.0,61,2057,15.7,71,japan,honda accord lx
14.4,6,112.0,82,3249,15.3,71,usa,chevrolet malibu
37.6,4,91.0,69,2526,19.4,72,japan,datsun b210
20.9,7,258.0,95,3328,19.5,72,usa,mercury capri v6
18.3,7,439.0,85,2963,15.2,72,usa,chevrolet camaro
19.1,6,339.0,119,3281,16.5,72,usa,ford galaxie 500
20.2,7,111.0,76,3752,12.3,72,usa,plymouth valiant
41.8,5,91.0,85,2479,18.2,72,europe,volkswagen type 3
20.4,6,392.0,113,3088,13.3,72,usa,chevrolet vega 2300
13.9,5,154.0,60,2225,17.8,72,usa,ford f108
16.5,4,266.0,131,4321,11.6,72,usa,pontiac sunbird coupe
22.0,4,93.0,61,2582,20.5,72,europe,vokswagen rabbit
11.5,5,130.0,78,2553,16.9,72,usa,chevrolet caprice classic
13.0,8,394.0,80,3350,16.2,72,usa,mercury zephyr 6
22.2,4,101.0,54,2153,16.7,72,europe,opel manta
30.8,3,85.0,132,2959,16.6,72,japan,mazda rx-7 gs
22.5,6,362.0,75,4481,16.8,72,usa,amc concord
16.5,6,315.0,201,4077,13.8,72,usa,chevrolet bel air
16.4,6,119.0,107,2596,17.7,72,usa,buick century limited
29.9,4,86.0,73,1876,14.4,72,japan,toyota corolla tercel
22.1,6,317.0,117,3655,10.9,72,usa,chevrolet monte carlo
18.6,7,384.0,61,2880,16.3,72,usa,dodge coronet custom
21.6,6,387.0,121,3533,21.0,72,usa,ford ranger
42.4,4,123.0,61,2403,14.5,72,europe,mercedes benz 300d
25.5,4,102.0,88,2346,17.3,72,japan,mazda glc deluxe
20.0,6,155.0,145,4782,18.1,72,usa,plymouth satellite sebring
29.3,6,388.0,108,3391,16.2,72,usa,buick skylark 320
23.7,6,348.0,94,1870,15.1,72,usa,oldsmobile cutlass supreme
27.3,4,86.0,88,2007,15.2,72,japan,honda civic 1500 gl
36.2,4,95.0,145,2296,18.8,72,japan,toyota carina
18.9,5,111.0,75,3018,16.4,72,usa,plymouth champ
38.4,4,68.0,81,5140,16.4,72,europe,renault 12 (sw)
17.6,5,417.0,119,3937,15.3,73,usa,dodge challenger se
20.9,4,87.0,95,2356,19.0,73,japan,datsun pl510
19.8,3,89.0,49,2610,16.5,73,japan,honda civic 1300
14.7,5,183.0,186,4053,18.2,73,usa,buick century
32.6,4,120.0,62,2391,15.1,73,europe,fiat strada custom
24.0,7,315.0,91,3444,20.1,73,usa,buick lesabre custom
22.3,5,358.0,73,5140,19.7,73,usa,plymouth valiant custom
18.3,4,377.0,140,2153,16.6,73,usa,pontiac j2000 se hatchback
20.2,8,254.0,152,2211,12.2,73,usa,dodge colt hardtop
25.9,4,107.0,84,2504,19.3,73,europe,saab 99le
28.0,7,137.0,112,2314,14.2,73,usa,chevrolet nova custom
15.6,6,310.0,137,4986,16.6,73,usa,dodge challenger se
9.0,7,234.0,67,2256,12.5,73,usa,pontiac grand prix
16.4,5,405.0,68,3743,16.6,73,usa,chevrolet monte carlo landau
15.4,4,102.0,80,1863,12.4,73,japan,subaru
20.1,8,193.0,88,1642,21.7,73,usa,buick opel isuzu deluxe
33.1,4,88.0,59,2316,16.7,73,japan,datsun 810 maxima
24.2,6,337.0,91,4617,14.3,73,usa,chevrolet caprice classic
30.6,7,102.0,181,2655,13.9,73,usa,ford maverick
20.8,7,169.0,74,2881,21.0,73,usa,dodge st. regis
9.0,8,220.0,123,2491,15.4,73,usa,dodge st. regis
18.1,4,74.0,111,4094,13.2,73,europe,volkswagen type 3
31.4,4,125.0,106,2047,12.5,73,europe,volvo diesel
32.3,4,95.0,92,2440,16.0,73,europe,renault 5 gtl
36.3,4,101.0,77,2028,17.0,73,japan,datsun 510 hatchback
28.2,4,86.0,89,1897,14.2,73,europe,fiat strada custom
25.1,5,280.0,115,3650,15.3,73,usa,plymouth satellite
29.0,3,109.0,68,1687,8.7,73,japan,toyota corona
22.1,8,300.0,90,2224,16.2,73,usa,chrysler lebaron town @ country (sw)
16.1,6,186.0,141,3002,13.2,73,usa,buick skylark
13.8,7,218.0,115,3203,20.6,73,usa,ford mustang ii
12.9,5,315.0,113,2313,11.2,73,usa,ford mustang ii 2+2
21.1,7,303.0,108,3131,13.8,73,usa,chevrolet citation
16.8,4,138.0,192,3685,12.0,73,usa,amc pacer d/l
29.8,5,105.0,55,2202,17.7,73,japan,toyota cressida
24.1,4,145.0,76,4439,15.8,73,europe,volkswagen rabbit custom diesel
24.1,4,116.0,97,2407,14.9,73,europe,fiat 131
15.0,8,301.0,74,2742,15.6,73,usa,plymouth fury
11.2,7,328.0,108,3105,15.6,73,usa,chrysler lebaron town @ country (sw)
20.9,7,450.0,114,4496,19.1,73,usa,pontiac phoenix
16.6,4,129.0,60,2161,18.0,73,japan,toyota celica gt
17.9,6,448.0,98,3640,11.8,73,usa,amc rebel sst
26.1,4,126.0,71,2160,19.4,73,europe,volvo 264gl
11.6,6,241.0,94,2467,16.2,73,usa,chevrolet vega 2300
13.4,7,233.0,91,4115,11.8,73,usa,chrysler new yorker brougham
34.1,4,128.0,73,1829,13.5,73,europe,volkswagen rabbit
19.0,5,371.0,161,3964,14.7,74,usa,pontiac safari (sw)
29.6,4,109.0,86,2419,14.8,74,europe,renault 5 gtl
38.5,5,107.0,84,2126,17.9,74,japan,maxda rx3
36.0,3,103.0,90,2508,21.8,74,japan,datsun 200-sx
23.2,5,372.0,87,4057,17.4,74,usa,dodge aries wagon (sw)
25.6,6,360.0,102,2123,15.8,74,usa,ford galaxie 500
21.8,5,323.0,162,2247,18.3,74,usa,ford fairmont (auto)
20.3,8,319.0,108,3625,12.3,74,usa,pontiac phoenix
15.1,6,352.0,66,2406,13.8,74,usa,chrysler cordoba
19.3,4,128.0,,3941,13.2,74,usa,plymouth volare
20.0,7,105.0,99,4031,18.0,74,usa,chevrolet citation
28.9,5,107.0,62,2567,16.6,74,japan,toyota corona mark ii
16.6,5,415.0,117,2761,16.3,74,usa,chevrolet nova
22.3,4,131.0,49,2005,12.8,74,japan,mazda glc custom
13.5,5,405.0,107,4381,17.6,74,usa,dodge d200
28.7,4,149.0,71,2424,13.9,74,japan,toyota mark ii
18.0,6,142.0,215,3380,14.3,74,usa,dodge rampage
25.2,4,113.0,62,2311,19.1,74,europe,audi 100ls
32.1,4,87.0,52,2099,14.6,74,japan,toyota corolla 1200
16.9,8,284.0,126,3204,12.3,74,usa,ford escort 4w
14.6,4,110.0,62,1798,18.7,74,japan,datsun 1200
29.5,8,136.0,73,3510,16.3,74,usa,pontiac phoenix
26.2,4,90.0,64,1933,12.1,74,europe,bmw 320i
37.0,4,98.0,88,2739,12.2,74,japan,mazda rx-7 gs
16.7,4,351.0,135,3601,13.9,74,usa,ford country
36.4,4,145.0,78,2219,11.5,74,europe,vw dasher (diesel)
33.1,4,78.0,77,2147,15.0,75,japan,nissan stanza xe
25.1,6,221.0,102,2722,9.5,75,usa,dodge monaco (sw)
17.0,5,241.0,98,3391,12.3,75,usa,ford thunderbird
11.2,6,147.0,115,3039,14.7,75,usa,amc concord dl
