mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
33.0,6,96.0,145,3936,15.4,70,usa,dodge omni
22.5,7,325.0,178,2549,20.0,70,usa,chevrolet vega (sw)
23.6,5,274.0,81,3437,18.3,70,usa,plymouth horizon 4
27.4,4,80.0,62,2106,15.0,70,europe,vw pickup
21.3,4,135.0,47,2265,12.1,70,europe,vw pickup
12.3,5,259.0,89,2569,17.5,70,usa,chrysler lebaron town @ country (sw)
20.5,3,115.0,75,2143,21.7,70,japan,honda civic
21.7,7,107.0,144,4827,12.8,70,usa,ford torino
29.1,5,69.0,62,1915,15.9,70,europe,renault 5 gtl
28.9,5,437.0,149,3715,12.1,70,usa,dodge charger 2.2
28.6,6,150.0,138,4830,21.0,70,usa,dodge monaco (sw)
42.3,3,112.0,117,2168,12.3,70,japan,honda civic
16.7,6,304.0,75,2560,17.7,70,usa,mercury marquis
30.0,4,105.0,85,2938,17.9,70,europe,saab 99gle
18.8,5,87.0,164,3860,11.6,70,usa,dodge magnum xe
16.6,6,273.0,116,2783,17.7,70,usa,plymouth valiant custom
27.9,5,96.0,66,2391,13.8,70,japan,mazda rx-4
21.9,4,123.0,81,2248,13.9,70,europe,renault lecar deluxe
30.5,4,110.0,82,2346,14.2,70,japan,datsun 200-sx
20.9,6,184.0,80,3181,15.6,70,usa,ford fairmont futura
37.2,4,68.0,65,2032,14.7,70,japan,toyota corolla tercel
23.2,4,96.0,83,2794,19.2,70,europe,volvo diesel
18.5,5,205.0,138,3461,16.4,70,usa,dodge d200
17.5,6,192.0,141,3418,14.5,70,usa,ford fairmont futura
15.9,7,108.0,121,3515,19.8,70,usa,dodge aspen
29.4,5,74.0,99,2533,13.5,70,japan,honda accord lx
15.3,7,281.0,73,4061,18.9,70,usa,plymouth grand fury
27.1,4,346.0,79,4310,15.3,70,usa,plymouth horizon
28.2,7,305.0,86,3661,15.5,70,usa,dodge aries wagon (sw)
29.4,4,71.0,89,1613,13.6,70,japan,toyota mark ii
30.9,4,91.0,87,2165,13.1,70,japan,toyouta corona mark ii (sw)
13.0,7,202.0,82,2918,18.0,71,usa,mercury lynx l
16.5,5,417.0,199,3039,17.5,71,usa,ford country
13.3,8,433.0,91,2103,15.1,71,usa,plymouth duster
20.9,8,296.0,84,2842,13.9,71,usa,pontiac grand prix
33.6,7,326.0,149,3412,17.3,71,usa,amc concord dl 6
39.3,3,88.0,71,2354,13.4,71,japan,toyota corolla 1600 (sw)
23.2,4,113.0,120,4455,16.9,71,usa,pontiac astro
12.3,7,125.0,129,2330,13.0,71,usa,chevrolet bel air
19.3,6,136.0,75,2930,15.6,71,usa,mercury monarch
19.0,8,314.0,113,3460,16.0,71,usa,chevrolet cavalier 2-door
16.3,8,258.0,98,3331,17.6,71,usa,chevrolet chevette
29.6,5,113.0,92,2128,15.4,71,japan,datsun b-210
25.8,6,330.0,84,2659,17.4,71,usa,plymouth valiant custom
28.9,4,96.0,62,1724,15.1,71,japan,toyota corona hardtop
23.8,4,307.0,115,2537,11.9,71,usa,ford granada ghia
25.6,4,343.0,121,2889,18.1,71,usa,plymouth grand fury
