id,rate,state
1,0.173,NY
2,0.158,MO
3,0.186,IA
4,0.184,KS
5,0.164,VA
6,0.172,MD
7,0.16,FL
8,0.175,MO
9,0.12,SC
10,0.15,DE
11,0.114,LA
12,0.144,NM
13,0.153,IN
14,0.114,MN
15,0.11,IN
16,0.186,AR
17,0.142,IA
18,0.159,NV
19,0.176,ID
20,0.165,MO
21,0.134,NE
22,0.173,ND
23,0.172,NH
24,0.127,WI
25,0.137,UT
26,0.126,MS
27,0.15,RI
28,0.162,CA
29,0.15,AR
30,0.194,IL
31,0.136,LA
32,0.155,WA
33,0.17,CO
34,0.127,UT
35,0.182,MD
36,0.144,HI
37,0.13,CA
38,0.154,WI
39,0.156,AR
40,0.16,NH
41,0.161,WA
42,0.143,NV
43,0.14,OK
44,0.163,KY
45,0.151,MN
46,0.154,MN
47,0.192,MT
48,0.192,OK
49,0.15,PA
50,0.146,KS
