Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Biscoe,37.5,15.8,206,3356.0,MALE
Adelie,Dream,43.1,17.2,222,4067.0,FEMALE
Adelie,Dream,41.7,19.5,216,3305.0,FEMALE
Adelie,Biscoe,41.1,16.7,220,4453.0,FEMALE
Adelie,Dream,34.2,14.4,231,3482.0,MALE
Adelie,Torgersen,41.8,16.4,208,3078.0,
Adelie,Biscoe,40.6,16.5,198,3402.0,FEMALE
Adelie,Torgersen,45.0,19.6,215,3757.0,MALE
Adelie,Torgersen,49.7,15.1,189,3873.0,FEMALE
Adelie,Dream,49.5,18.6,182,3607.0,MALE
Adelie,Biscoe,47.8,16.0,218,3053.0,MALE
Adelie,Dream,48.1,20.3,200,3720.0,MALE
Adelie,Dream,44.1,15.7,210,3715.0,MALE
Adelie,Biscoe,50.1,16.5,183,3055.0,MALE
Adelie,Dream,45.9,17.9,200,3529.0,FEMALE
Adelie,Dream,35.9,18.4,194,3736.0,MALE
Adelie,Biscoe,57.0,17.9,210,3936.0,MALE
Adelie,Dream,48.7,16.3,198,3651.0,MALE
Adelie,Dream,42.7,18.3,218,4555.0,.
Adelie,Biscoe,45.6,19.9,197,3689.0,MALE
Adelie,Dream,46.6,20.4,197,3992.0,FEMALE
Adelie,Dream,42.1,15.9,186,4044.0,MALE
Adelie,Dream,43.3,19.3,214,3289.0,FEMALE
Adelie,Biscoe,45.5,15.4,223,3873.0,MALE
Adelie,Dream,52.7,16.4,189,3522.0,FEMALE
Adelie,Dream,47.4,19.7,186,4458.0,MALE
Adelie,Biscoe,59.6,17.9,212,4311.0,MALE
Adelie,Torgersen,55.6,15.8,205,3167.0,MALE
Adelie,Biscoe,47.6,16.2,180,3050.0,MALE
Adelie,Dream,50.2,14.3,221,3029.0,FEMALE
Adelie,Dream,42.1,16.5,217,3485.0,MALE
Adelie,Biscoe,42.8,17.5,212,3131.0,FEMALE
Adelie,Dream,47.9,17.0,189,3444.0,
Adelie,Dream,40.4,20.4,191,3618.0,MALE
Adelie,Biscoe,41.9,16.2,208,3934.0,MALE
Adelie,Dream,48.7,17.3,194,4307.0,FEMALE
Adelie,Biscoe,49.1,17.0,188,4272.0,FEMALE
Adelie,Dream,40.9,18.5,201,3868.0,MALE
Adelie,Dream,38.4,18.9,196,3223.0,MALE
Adelie,Biscoe,48.5,13.8,196,4160.0,MALE
Adelie,Dream,43.4,18.8,205,3480.0,MALE
Adelie,Biscoe,40.7,14.5,198,3877.0,
Adelie,Dream,45.8,16.9,190,4535.0,FEMALE
Adelie,Dream,46.3,16.9,210,4075.0,FEMALE
Adelie,Biscoe,40.1,17.0,231,2902.0,MALE
Adelie,Dream,48.1,18.9,179,2726.0,MALE
Adelie,Biscoe,42.9,20.4,221,4581.0,MALE
Adelie,Biscoe,43.3,18.2,195,4091.0,FEMALE
Adelie,Biscoe,36.7,14.9,216,3936.0,MALE
Adelie,Dream,45.1,15.7,172,3204.0,MALE
Adelie,Dream,42.4,15.1,197,4213.0,FEMALE
Adelie,Torgersen,41.7,15.6,204,3482.0,FEMALE
Adelie,Dream,45.2,16.0,192,3765.0,FEMALE
Adelie,Dream,45.9,19.3,181,3787.0,MALE
Adelie,Dream,54.0,16.9,221,3704.0,MALE
Adelie,Dream,42.7,16.1,203,4038.0,MALE
Adelie,Dream,40.2,19.1,192,3532.0,MALE
Adelie,Biscoe,40.9,17.3,193,3041.0,MALE
Adelie,Biscoe,48.0,19.5,207,3356.0,FEMALE
Adelie,Biscoe,55.5,19.3,210,3853.0,MALE
Adelie,Dream,46.6,14.6,181,3258.0,MALE
Adelie,Biscoe,35.6,17.6,195,4435.0,MALE
Adelie,Dream,54.0,19.6,176,3307.0,FEMALE
Adelie,Biscoe,44.8,13.1,196,3525.0,MALE
Adelie,Biscoe,47.1,17.7,224,3192.0,MALE
Adelie,Dream,39.1,17.5,210,3503.0,FEMALE
Adelie,Biscoe,49.1,15.9,211,3306.0,FEMALE
Adelie,Biscoe,49.6,15.6,184,3543.0,FEMALE
Adelie,Biscoe,47.0,13.8,211,4624.0,MALE
Adelie,Biscoe,43.5,14.8,206,3720.0,MALE
Adelie,Dream,45.7,18.0,195,4089.0,MALE
Adelie,Biscoe,42.3,13.1,196,3447.0,MALE
Adelie,Biscoe,39.8,18.9,180,3089.0,MALE
Adelie,Dream,51.2,17.8,205,3469.0,FEMALE
Adelie,Biscoe,34.6,14.2,186,4216.0,FEMALE
Adelie,Biscoe,41.3,13.5,203,3755.0,FEMALE
Adelie,Dream,43.3,14.3,197,3696.0,FEMALE
Adelie,Biscoe,39.9,16.2,222,3768.0,FEMALE
Adelie,Biscoe,55.1,14.8,190,4222.0,FEMALE
Adelie,Dream,43.5,17.9,196,3403.0,MALE
Adelie,Dream,41.6,15.4,175,3973.0,MALE
Adelie,Dream,51.4,16.1,208,3393.0,FEMALE
Adelie,Torgersen,39.2,16.5,196,3277.0,FEMALE
Adelie,Torgersen,45.6,15.5,231,3231.0,FEMALE
Adelie,Biscoe,37.3,16.9,178,4246.0,FEMALE
Adelie,Biscoe,39.0,15.5,212,4377.0,FEMALE
Adelie,Biscoe,36.3,18.1,186,3852.0,MALE
Adelie,Biscoe,51.6,14.4,196,3462.0,FEMALE
Adelie,Dream,38.1,17.5,208,4059.0,
Adelie,Dream,40.3,16.8,195,3046.0,MALE
Adelie,Dream,38.4,14.8,191,3533.0,FEMALE
Adelie,Torgersen,47.3,16.9,224,2886.0,
Adelie,Biscoe,49.3,16.8,188,3454.0,MALE
Adelie,Dream,36.4,16.2,180,3703.0,MALE
Adelie,Biscoe,40.8,15.8,195,3959.0,FEMALE
Adelie,Biscoe,38.7,14.9,172,3798.0,FEMALE
Adelie,Biscoe,46.1,17.5,214,4282.0,MALE
Adelie,Biscoe,37.3,16.3,207,2700.0,MALE
Adelie,Dream,40.9,16.6,203,3950.0,FEMALE
Adelie,Biscoe,40.1,18.1,192,3604.0,FEMALE
Adelie,Dream,41.7,18.7,200,3131.0,FEMALE
Adelie,Biscoe,42.6,17.2,216,3360.0,FEMALE
Adelie,Biscoe,54.2,19.7,226,3454.0,MALE
Adelie,Biscoe,41.6,18.5,189,4185.0,FEMALE
Adelie,Torgersen,38.7,20.4,212,3646.0,MALE
Adelie,Biscoe,48.3,16.4,186,3596.0,FEMALE
Adelie,Biscoe,32.1,17.3,200,4297.0,FEMALE
Adelie,Biscoe,44.9,15.4,204,3904.0,MALE
Adelie,Torgersen,45.5,19.6,187,3881.0,MALE
Adelie,Biscoe,41.1,15.8,213,3409.0,FEMALE
Adelie,Dream,44.1,17.1,203,4063.0,MALE
Adelie,Dream,42.6,13.5,198,3634.0,FEMALE
Adelie,Biscoe,51.2,14.7,201,3374.0,FEMALE
Adelie,Biscoe,37.0,16.7,193,4724.0,MALE
Adelie,Torgersen,42.6,20.2,221,3356.0,MALE
Adelie,Biscoe,50.2,17.0,199,3711.0,FEMALE
Adelie,Biscoe,40.8,16.3,195,3630.0,MALE
Adelie,Biscoe,46.4,14.8,184,3654.0,FEMALE
Adelie,Biscoe,44.2,16.5,206,3703.0,MALE
Adelie,Torgersen,44.8,20.3,201,4039.0,MALE
Adelie,Dream,51.2,15.0,218,3764.0,FEMALE
Adelie,Biscoe,47.7,19.6,205,3322.0,MALE
Adelie,Biscoe,37.3,17.2,190,4379.0,MALE
Adelie,Dream,54.6,19.1,185,4406.0,
Adelie,Biscoe,47.0,17.2,203,3594.0,MALE
Adelie,Torgersen,45.3,18.3,220,3695.0,FEMALE
Adelie,Torgersen,49.5,13.7,218,3964.0,MALE
Adelie,Biscoe,36.4,18.9,202,3546.0,FEMALE
Adelie,Biscoe,52.3,20.4,194,3931.0,
Adelie,Biscoe,46.7,17.6,212,3108.0,MALE
Adelie,Torgersen,42.3,19.4,194,4214.0,FEMALE
Adelie,Biscoe,49.7,15.9,196,3676.0,MALE
Adelie,Dream,42.3,16.4,175,3614.0,MALE
Adelie,Biscoe,46.8,17.8,200,3532.0,FEMALE
Adelie,Dream,45.7,17.1,214,3482.0,FEMALE
Adelie,Dream,44.6,17.1,231,3830.0,FEMALE
Adelie,Torgersen,39.4,17.0,201,3912.0,MALE
Adelie,Biscoe,42.8,16.1,183,3159.0,FEMALE
Adelie,Dream,42.5,20.5,202,3239.0,FEMALE
Chinstrap,Dream,38.8,17.0,202,3247.0,FEMALE
Chinstrap,Biscoe,45.1,17.3,223,4115.0,FEMALE
Chinstrap,Biscoe,39.8,19.9,172,3967.0,MALE
Chinstrap,Dream,49.2,18.1,204,3943.0,MALE
Chinstrap,Biscoe,40.3,17.8,227,3568.0,MALE
Chinstrap,Biscoe,49.0,17.2,186,3404.0,FEMALE
Chinstrap,Biscoe,47.0,17.0,201,3871.0,MALE
Chinstrap,Biscoe,39.9,17.7,197,3309.0,MALE
Chinstrap,Biscoe,43.2,19.8,175,3498.0,FEMALE
Chinstrap,Dream,54.6,18.2,201,4183.0,FEMALE
Chinstrap,Dream,44.3,19.8,203,3952.0,MALE
