Species,Island,Beak Length (mm),Beak Depth (mm),Flipper Length (mm),Body Mass (g),Sex
Adelie,Biscoe,42.3,17.8,210,3626,MALE
Adelie,Torgersen,37.7,16.6,189,3461,MALE
Adelie,Torgersen,42.0,19.1,208,3382,MALE
Adelie,Torgersen,36.4,18.1,182,3167,FEMALE
Adelie,Torgersen,40.5,18.7,207,3242,FEMALE
Adelie,Dream,39.6,18.5,225,3243,FEMALE
Adelie,Dream,34.5,21.2,213,3752,MALE
Adelie,Torgersen,40.6,18.0,207,3548,FEMALE
Adelie,Torgersen,37.0,19.3,195,4080,FEMALE
Adelie,Dream,39.7,20.0,207,3150,FEMALE
Adelie,Dream,42.7,19.2,198,3538,FEMALE
Adelie,Dream,46.0,18.9,201,4716,MALE
Adelie,Dream,39.7,18.5,197,2799,MALE
Adelie,Biscoe,36.2,19.5,176,3295,MALE
Adelie,Biscoe,36.6,18.9,191,3979,MALE
Adelie,Torgersen,35.3,16.6,172,3958,FEMALE
Adelie,Dream,36.0,18.7,231,3723,FEMALE
Adelie,Torgersen,39.6,17.8,210,3134,MALE
Adelie,Biscoe,38.6,18.6,193,4163,FEMALE
Adelie,Torgersen,36.5,19.8,200,3318,MALE
Adelie,Dream,35.0,17.1,192,3988,MALE
Adelie,Dream,38.8,16.1,202,3281,FEMALE
Adelie,Dream,40.9,17.9,197,3229,MALE
Adelie,Biscoe,37.8,20.3,224,3080,FEMALE
Adelie,Dream,41.0,18.5,196,3839,FEMALE
Adelie,Biscoe,41.1,17.0,203,4191,FEMALE
Adelie,Biscoe,37.3,17.1,210,5158,MALE
Adelie,Biscoe,36.7,17.5,193,2991,FEMALE
Adelie,Dream,37.3,17.8,203,4518,MALE
Adelie,Torgersen,45.6,18.5,193,3884,FEMALE
Adelie,Dream,34.6,17.5,203,3484,MALE
Adelie,Dream,37.2,17.0,173,4181,FEMALE
Adelie,Biscoe,39.0,19.4,216,2972,FEMALE
Adelie,Biscoe,33.1,17.6,209,2833,MALE
Adelie,Dream,39.0,20.3,186,4130,MALE
Adelie,Torgersen,32.1,17.0,184,3852,MALE
Adelie,Dream,44.1,17.2,181,3234,MALE
Adelie,Torgersen,36.3,21.1,220,2967,FEMALE
Adelie,Biscoe,33.5,18.0,208,4120,MALE
Adelie,Biscoe,35.7,18.6,221,4521,MALE
Adelie,Torgersen,42.9,18.3,186,4183,MALE
Adelie,Biscoe,36.2,19.4,199,3909,FEMALE
