species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,36.0,16.2,189,3701.0,MALE
Adelie,Torgersen,42.8,19.4,225,3458.0,MALE
Adelie,Torgersen,44.8,15.5,180,3281.0,FEMALE
Adelie,Torgersen,56.8,19.2,215,3997.0,MALE
Adelie,Torgersen,44.5,13.1,202,3336.0,FEMALE
Adelie,Torgersen,37.1,19.4,215,4529.0,MALE
Adelie,Torgersen,53.4,17.7,206,3734.0,FEMALE
Adelie,Torgersen,41.0,19.4,207,3992.0,MALE
Adelie,Torgersen,40.7,15.8,198,3656.0,FEMALE
Adelie,Torgersen,52.8,15.7,200,3550.0,MALE
Adelie,Torgersen,44.2,19.1,218,3197.0,FEMALE
Adelie,Torgersen,47.9,15.9,173,2955.0,MALE
Adelie,Torgersen,51.4,16.3,189,3416.0,FEMALE
Adelie,Torgersen,58.5,17.3,218,3260.0,MALE
Adelie,Torgersen,46.1,17.2,212,2817.0,FEMALE
Adelie,Torgersen,46.8,16.7,222,3593.0,MALE
Adelie,Torgersen,48.2,14.4,207,4359.0,
Adelie,Torgersen,42.1,14.7,221,3195.0,MALE
Adelie,Torgersen,40.4,19.2,224,3893.0,FEMALE
Adelie,Torgersen,46.6,16.9,205,3506.0,MALE
Adelie,Torgersen,36.8,14.4,194,2859.0,FEMALE
Adelie,Torgersen,44.3,16.5,188,3286.0,MALE
Adelie,Torgersen,44.4,19.1,186,3283.0,FEMALE
Adelie,Torgersen,46.0,16.7,220,3820.0,MALE
Adelie,Torgersen,35.0,19.7,206,3876.0,FEMALE
Adelie,Torgersen,48.7,17.1,210,3190.0,MALE
Adelie,Torgersen,41.8,19.8,180,4178.0,FEMALE
Adelie,Torgersen,46.1,16.6,192,3745.0,MALE
Adelie,Torgersen,47.6,19.5,210,3468.0,FEMALE
Adelie,Torgersen,41.9,15.2,219,2888.0,MALE
Adelie,Torgersen,38.4,15.2,214,3425.0,FEMALE
Adelie,Torgersen,41.8,18.4,208,3538.0,MALE
Adelie,Torgersen,44.2,14.7,219,4387.0,FEMALE
Adelie,Torgersen,38.1,19.1,194,3701.0,MALE
Adelie,Torgersen,46.9,17.2,198,3430.0,FEMALE
Adelie,Torgersen,36.5,17.2,203,4233.0,MALE
Adelie,Torgersen,47.5,16.2,198,3607.0,FEMALE
Adelie,Torgersen,36.6,17.2,216,3371.0,MALE
Adelie,Torgersen,38.1,18.5,210,3834.0,FEMALE
Adelie,Torgersen,45.1,15.2,172,3442.0,MALE
Adelie,Torgersen,35.2,14.9,189,3815.0,FEMALE
Adelie,Torgersen,50.3,17.0,194,3605.0,MALE
Adelie,Torgersen,37.9,20.0,219,4429.0,FEMALE
Adelie,Torgersen,42.5,17.4,212,3256.0,MALE
Adelie,Torgersen,43.7,19.5,219,4256.0,FEMALE
Adelie,Torgersen,49.4,19.3,213,3407.0,MALE
Adelie,Torgersen,50.8,19.3,195,3857.0,FEMALE
Adelie,Torgersen,39.1,16.3,231,2948.0,MALE
Adelie,Torgersen,38.5,15.4,201,3701.0,FEMALE
Adelie,Torgersen,34.5,19.5,185,3662.0,MALE
Adelie,Torgersen,38.9,16.1,224,4753.0,FEMALE
Adelie,Torgersen,45.2,17.5,183,3925.0,MALE
Adelie,Torgersen,41.5,13.6,208,3870.0,FEMALE
Adelie,Torgersen,37.6,17.3,184,3222.0,MALE
Adelie,Torgersen,45.8,17.6,213,3784.0,FEMALE
Adelie,Torgersen,46.1,17.0,211,3940.0,MALE
Adelie,Torgersen,49.4,19.9,189,3891.0,FEMALE
Adelie,Torgersen,41.3,17.4,190,3726.0,MALE
Adelie,Torgersen,50.1,16.5,211,3872.0,FEMALE
Adelie,Torgersen,48.1,16.6,180,2928.0,MALE
Adelie,Torgersen,42.8,16.6,172,3412.0,FEMALE
Adelie,Torgersen,37.4,19.1,189,3160.0,MALE
Adelie,Torgersen,36.2,15.5,203,3876.0,FEMALE
Adelie,Torgersen,45.2,17.2,194,3749.0,MALE
Adelie,Torgersen,48.0,18.0,181,5519.0,MALE
Adelie,Torgersen,43.3,19.2,192,3313.0,FEMALE
Adelie,Torgersen,40.1,17.0,203,2949.0,MALE
Adelie,Torgersen,35.7,16.7,190,3595.0,FEMALE
Adelie,Torgersen,46.9,15.9,178,3476.0,MALE
Adelie,Torgersen,43.7,16.4,193,3781.0,FEMALE
Adelie,Torgersen,46.2,17.0,209,4249.0,MALE
Adelie,Torgersen,37.9,16.3,199,3873.0,FEMALE
Adelie,Torgersen,48.6,14.4,186,4717.0,MALE
Adelie,Torgersen,53.6,18.1,179,4361.0,FEMALE
Adelie,Torgersen,38.3,19.5,191,3629.0,MALE
Adelie,Torgersen,36.7,18.0,197,4305.0,FEMALE
Adelie,Torgersen,44.6,17.1,185,3412.0,MALE
Adelie,Torgersen,47.4,14.4,200,3291.0,FEMALE
Adelie,Torgersen,46.0,17.1,198,2960.0,MALE
Adelie,Torgersen,44.1,15.1,204,3948.0,FEMALE
Adelie,Torgersen,47.8,19.9,199,3165.0,MALE
Adelie,Torgersen,48.3,15.0,187,2788.0,FEMALE
Adelie,Torgersen,54.5,18.7,207,3647.0,MALE
Adelie,Torgersen,43.4,13.2,223,3295.0,FEMALE
Adelie,Torgersen,43.7,21.3,208,3469.0,MALE
Adelie,Torgersen,45.5,16.6,231,3380.0,FEMALE
Adelie,Torgersen,37.2,14.1,182,3714.0,MALE
Adelie,Torgersen,37.0,18.8,188,3617.0,FEMALE
Adelie,Torgersen,55.1,18.0,211,4023.0,
Adelie,Torgersen,40.8,20.7,210,4183.0,FEMALE
Adelie,Torgersen,41.9,19.0,201,3800.0,MALE
Adelie,Torgersen,47.4,13.1,190,3893.0,FEMALE
Adelie,Torgersen,51.1,16.4,222,3385.0,MALE
Adelie,Torgersen,48.0,15.5,187,3189.0,FEMALE
Adelie,Torgersen,46.5,15.4,194,3070.0,MALE
Adelie,Torgersen,44.0,18.6,199,3244.0,
Adelie,Torgersen,40.9,17.4,228,4119.0,MALE
Adelie,Torgersen,39.1,19.3,206,3844.0,FEMALE
Adelie,Torgersen,44.6,16.6,203,3166.0,MALE
Adelie,Torgersen,40.4,16.7,188,3665.0,FEMALE
Adelie,Torgersen,48.2,17.3,192,3988.0,MALE
Adelie,Torgersen,42.9,15.7,185,4338.0,FEMALE
Adelie,Torgersen,43.5,16.6,209,4474.0,MALE
Adelie,Torgersen,34.5,19.1,196,3112.0,FEMALE
Adelie,Torgersen,37.4,18.8,207,3673.0,MALE
Adelie,Torgersen,42.1,14.5,218,4355.0,FEMALE
Adelie,Torgersen,48.9,15.5,211,3281.0,MALE
Adelie,Torgersen,39.9,15.1,200,3597.0,FEMALE
Adelie,Torgersen,37.1,13.8,216,3765.0,MALE
Adelie,Torgersen,39.3,13.1,189,2700.0,FEMALE
Adelie,Torgersen,46.1,17.6,184,3745.0,MALE
Adelie,Torgersen,52.4,21.2,195,3780.0,FEMALE
Adelie,Torgersen,43.0,17.4,209,3465.0,MALE
Adelie,Torgersen,45.6,16.3,214,4754.0,FEMALE
Adelie,Torgersen,40.6,15.8,218,3269.0,FEMALE
Chinstrap,Biscoe,45.3,16.0,207,4048.0,MALE
Chinstrap,Biscoe,43.6,14.3,202,3669.0,FEMALE
Chinstrap,Biscoe,44.1,16.4,172,3745.0,MALE
Chinstrap,Biscoe,56.5,14.7,198,3688.0,MALE
Chinstrap,Biscoe,45.6,20.7,192,3459.0,FEMALE
Chinstrap,Biscoe,41.5,16.0,191,3572.0,MALE
Chinstrap,Biscoe,41.4,18.5,223,4347.0,FEMALE
Chinstrap,Biscoe,37.5,16.6,214,3311.0,FEMALE
Chinstrap,Biscoe,54.5,15.6,219,3290.0,MALE
Chinstrap,Biscoe,49.9,16.8,192,4368.0,FEMALE
Chinstrap,Biscoe,43.3,16.4,200,4117.0,MALE
Chinstrap,Biscoe,44.2,18.6,231,3123.0,MALE
Chinstrap,Biscoe,42.5,18.1,211,3072.0,FEMALE
Chinstrap,Biscoe,32.1,17.3,201,4201.0,MALE
Chinstrap,Biscoe,43.4,20.1,205,3297.0,MALE
Chinstrap,Biscoe,33.6,17.5,201,3356.0,FEMALE
Chinstrap,Biscoe,42.7,19.7,204,3521.0,FEMALE
Chinstrap,Biscoe,42.6,16.7,197,3698.0,MALE
Chinstrap,Biscoe,56.0,15.7,191,3013.0,FEMALE
Chinstrap,Biscoe,50.5,15.9,182,4030.0,MALE
Chinstrap,Biscoe,56.6,18.8,204,3757.0,MALE
Chinstrap,Biscoe,49.7,17.5,178,3711.0,FEMALE
Chinstrap,Biscoe,32.1,15.7,199,3564.0,MALE
Chinstrap,Biscoe,46.6,17.6,206,3886.0,
Chinstrap,Biscoe,48.3,15.9,200,3680.0,FEMALE
Chinstrap,Biscoe,40.4,16.8,186,4260.0,MALE
Chinstrap,Biscoe,44.0,16.1,187,3917.0,FEMALE
Chinstrap,Biscoe,45.4,15.4,200,3643.0,FEMALE
Chinstrap,Biscoe,37.3,17.2,195,3213.0,MALE
Chinstrap,Biscoe,56.5,17.1,210,4157.0,MALE
Chinstrap,Biscoe,45.8,15.3,212,4344.0,FEMALE
Chinstrap,Biscoe,55.8,19.1,185,3482.0,MALE
Chinstrap,Biscoe,39.4,19.7,203,4172.0,FEMALE
Chinstrap,Biscoe,52.1,13.1,205,4205.0,FEMALE
Chinstrap,Biscoe,54.6,19.8,177,3918.0,MALE
Chinstrap,Biscoe,51.4,16.6,203,3173.0,MALE
Chinstrap,Biscoe,38.5,16.7,211,3323.0,FEMALE
Chinstrap,Biscoe,42.3,13.6,185,3626.0,MALE
Chinstrap,Biscoe,46.0,20.4,203,3963.0,FEMALE
Chinstrap,Biscoe,41.0,19.1,187,3322.0,FEMALE
Chinstrap,Biscoe,39.4,18.2,188,3732.0,MALE
Chinstrap,Biscoe,43.5,18.1,198,4287.0,MALE
Chinstrap,Biscoe,55.7,14.5,213,3267.0,FEMALE
Chinstrap,Biscoe,41.4,18.9,227,3871.0,MALE
Chinstrap,Biscoe,44.6,20.6,207,4141.0,MALE
Chinstrap,Biscoe,51.2,17.0,172,3489.0,FEMALE
Chinstrap,Biscoe,32.1,14.2,193,4184.0,FEMALE
Chinstrap,Biscoe,48.5,16.8,226,3453.0,MALE
Chinstrap,Biscoe,46.2,14.5,220,3476.0,FEMALE
Chinstrap,Biscoe,36.3,15.7,195,4254.0,MALE
Chinstrap,Biscoe,32.1,16.2,199,3654.0,MALE
Chinstrap,Biscoe,49.3,18.7,193,4290.0,FEMALE
Chinstrap,Biscoe,48.8,20.1,213,2943.0,MALE
Chinstrap,Biscoe,50.6,19.6,213,3305.0,FEMALE
Chinstrap,Biscoe,44.5,16.9,186,3476.0,FEMALE
Chinstrap,Biscoe,48.9,19.5,196,3779.0,MALE
Chinstrap,Biscoe,40.5,19.0,189,3547.0,FEMALE
Chinstrap,Biscoe,51.7,17.2,202,3323.0,FEMALE
Chinstrap,Biscoe,43.1,19.0,180,3177.0,MALE
Chinstrap,Biscoe,41.3,14.3,211,3549.0,MALE
Chinstrap,Biscoe,44.7,15.7,197,3607.0,FEMALE
Chinstrap,Biscoe,50.3,17.2,177,3054.0,MALE
Chinstrap,Biscoe,56.6,17.2,181,3183.0,FEMALE
Chinstrap,Biscoe,46.6,17.9,227,3331.0,FEMALE
Chinstrap,Biscoe,46.5,19.7,193,4001.0,MALE
Chinstrap,Biscoe,35.6,18.9,204,3846.0,
Chinstrap,Biscoe,50.1,16.7,191,4006.0,FEMALE
Chinstrap,Biscoe,50.0,17.9,204,3543.0,MALE
Chinstrap,Biscoe,50.0,18.8,228,3397.0,MALE
Chinstrap,Biscoe,46.3,15.7,181,3915.0,FEMALE
Chinstrap,Biscoe,45.7,15.0,195,3192.0,MALE
Chinstrap,Biscoe,37.5,16.8,172,3581.0,MALE
Chinstrap,Biscoe,39.5,19.8,201,3591.0,FEMALE
Chinstrap,Biscoe,49.2,17.1,208,3446.0,FEMALE
Chinstrap,Biscoe,51.6,17.7,198,4560.0,MALE
Chinstrap,Biscoe,35.9,16.2,190,3326.0,FEMALE
Chinstrap,Biscoe,43.3,15.7,194,3894.0,MALE
Chinstrap,Biscoe,46.0,17.7,180,3873.0,MALE
Chinstrap,Biscoe,42.0,16.9,198,3152.0,FEMALE
Chinstrap,Biscoe,37.0,18.1,196,3566.0,MALE
Chinstrap,Biscoe,38.9,17.9,218,3460.0,MALE
Chinstrap,Biscoe,39.2,17.6,208,3289.0,FEMALE
Chinstrap,Biscoe,38.6,13.7,183,3479.0,FEMALE
Chinstrap,Biscoe,37.0,14.0,200,3463.0,MALE
Chinstrap,Biscoe,45.2,13.9,202,3684.0,FEMALE
Chinstrap,Biscoe,52.6,15.1,182,3450.0,FEMALE
Chinstrap,Biscoe,40.5,18.6,216,3658.0,MALE
Chinstrap,Biscoe,40.0,16.1,194,4432.0,MALE
Chinstrap,Biscoe,53.5,16.3,197,4290.0,FEMALE
Chinstrap,Biscoe,51.3,15.5,183,3674.0,MALE
Chinstrap,Biscoe,39.2,16.1,206,3294.0,FEMALE
Chinstrap,Biscoe,42.5,17.6,209,3809.0,FEMALE
Chinstrap,Biscoe,55.1,15.6,201,3639.0,MALE
