species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,41.1,18.0,190,3736,MALE
Adelie,Torgersen,37.6,18.5,204,3649,MALE
Adelie,Biscoe,39.6,19.0,187,3879,FEMALE
Adelie,Dream,36.2,18.6,190,3046,MALE
Adelie,Torgersen,35.9,19.7,193,4660,MALE
Adelie,Torgersen,42.3,16.5,184,4350,MALE
Adelie,Torgersen,41.1,17.2,174,3617,MALE
Adelie,Biscoe,41.6,19.0,180,3212,FEMALE
Adelie,Biscoe,40.9,17.9,202,3431,FEMALE
Adelie,Torgersen,42.5,17.6,219,4208,FEMALE
Adelie,Torgersen,34.0,20.0,211,3684,MALE
Adelie,Torgersen,43.1,18.3,210,3969,FEMALE
Adelie,Torgersen,39.7,18.5,190,3151,FEMALE
Adelie,Biscoe,36.7,17.8,186,3524,MALE
Adelie,Torgersen,34.6,21.2,195,3804,MALE
Adelie,Biscoe,43.2,17.8,194,3400,FEMALE
Adelie,Dream,36.0,18.1,185,3419,FEMALE
Adelie,Torgersen,39.0,20.3,202,3791,MALE
Adelie,Torgersen,42.2,18.4,172,3278,MALE
Adelie,Biscoe,40.2,16.8,182,3763,MALE
Adelie,Dream,36.9,18.1,192,3874,MALE
Adelie,Biscoe,39.6,19.4,214,3904,
Adelie,Dream,45.6,17.5,191,3133,MALE
Adelie,Torgersen,41.4,18.5,188,3545,MALE
Adelie,Dream,38.1,20.0,200,3353,MALE
Adelie,Biscoe,36.2,17.8,219,4440,MALE
Adelie,Dream,36.5,17.9,204,3095,FEMALE
Adelie,Dream,41.8,18.1,178,3446,MALE
Adelie,Biscoe,38.9,16.8,185,4581,FEMALE
Adelie,Biscoe,33.1,20.5,178,3444,FEMALE
Adelie,Torgersen,40.6,18.9,203,3294,MALE
Adelie,Dream,34.6,19.4,199,4985,FEMALE
Adelie,Biscoe,45.8,19.0,217,3473,MALE
Adelie,Torgersen,39.5,19.8,219,3348,MALE
Adelie,Torgersen,35.7,21.2,201,3744,FEMALE
Adelie,Biscoe,37.7,19.3,209,3575,FEMALE
Adelie,Dream,38.6,18.3,204,4323,FEMALE
Adelie,Dream,42.8,21.1,185,3406,MALE
Adelie,Biscoe,37.7,17.3,197,3170,FEMALE
Adelie,Torgersen,35.3,18.4,205,3403,FEMALE
Adelie,Biscoe,36.6,17.0,178,4106,FEMALE
Adelie,Dream,41.1,18.7,206,3718,FEMALE
Adelie,Biscoe,39.6,15.5,195,3607,FEMALE
Adelie,Dream,38.1,19.1,221,3475,MALE
Adelie,Dream,40.8,18.0,215,3811,FEMALE
Adelie,Biscoe,35.9,16.6,191,3337,MALE
Adelie,Dream,42.0,17.2,224,3399,FEMALE
Adelie,Torgersen,38.5,19.1,186,3893,MALE
Adelie,Dream,37.7,18.5,218,3790,
Adelie,Torgersen,37.8,19.6,216,2930,MALE
Adelie,Torgersen,38.8,17.0,203,3939,MALE
Adelie,Dream,35.5,18.6,198,3190,MALE
Adelie,Dream,39.7,18.9,186,4182,FEMALE
Adelie,Biscoe,35.0,18.1,199,3162,FEMALE
Adelie,Dream,38.2,19.0,200,3820,FEMALE
Adelie,Dream,37.8,18.7,197,3540,MALE
Adelie,Biscoe,38.7,18.3,231,3414,MALE
Adelie,Torgersen,37.5,16.7,172,4116,FEMALE
Adelie,Dream,38.6,18.0,177,3544,MALE
Adelie,Torgersen,39.7,18.5,188,3656,FEMALE
