species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,35.6,18.1,187,4107,FEMALE
Adelie,Dream,36.5,17.9,213,3706,FEMALE
Adelie,Torgersen,36.0,17.9,224,4219,MALE
Adelie,Dream,37.3,19.2,201,2700,FEMALE
Adelie,Torgersen,39.2,19.5,216,4211,MALE
Adelie,Dream,38.6,18.4,207,4344,FEMALE
Adelie,Dream,40.2,19.0,204,2934,FEMALE
Adelie,Torgersen,42.1,16.7,201,3370,FEMALE
Adelie,Dream,39.6,16.6,197,3640,FEMALE
Adelie,Dream,35.5,18.4,216,3117,MALE
Adelie,Dream,43.2,18.0,211,3665,FEMALE
Adelie,Torgersen,36.4,20.0,210,3801,FEMALE
Adelie,Torgersen,35.1,18.6,179,4133,FEMALE
Adelie,Dream,37.3,17.0,201,4552,FEMALE
Adelie,Dream,36.0,19.2,198,4381,MALE
Adelie,Dream,33.1,18.6,176,3475,FEMALE
Adelie,Dream,39.7,19.4,196,3278,FEMALE
Adelie,Dream,40.6,19.3,190,4447,FEMALE
Adelie,Torgersen,38.1,17.2,211,2892,FEMALE
Adelie,Dream,39.2,19.1,202,4347,MALE
Adelie,Biscoe,35.9,18.1,188,3573,MALE
Adelie,Torgersen,42.5,17.9,187,5056,MALE
Adelie,Torgersen,37.6,18.0,183,3530,FEMALE
Adelie,Torgersen,35.7,17.5,227,3893,MALE
Adelie,Torgersen,42.2,18.0,194,3529,FEMALE
Adelie,Biscoe,38.9,16.8,202,3346,FEMALE
Adelie,Torgersen,40.5,18.5,206,3799,MALE
Adelie,Torgersen,40.9,17.8,207,2961,FEMALE
Adelie,Dream,42.9,16.5,216,4260,FEMALE
Adelie,Biscoe,39.7,20.3,198,4104,MALE
Adelie,Torgersen,37.7,17.0,196,3879,FEMALE
Adelie,Biscoe,35.7,16.1,208,3781,FEMALE
Adelie,Dream,39.1,18.7,205,4693,MALE
Adelie,Dream,36.0,21.1,188,4274,FEMALE
Adelie,Dream,39.5,16.0,209,4185,MALE
Adelie,Torgersen,40.8,19.1,203,2725,MALE
Adelie,Dream,37.0,18.4,231,3741,MALE
Adelie,Biscoe,40.6,18.7,218,3929,MALE
Adelie,Biscoe,37.8,18.1,179,3739,MALE
Adelie,Dream,42.3,20.0,210,4272,MALE
Adelie,Dream,37.8,18.5,205,3925,MALE
Adelie,Dream,45.8,18.8,208,3657,MALE
Adelie,Biscoe,34.4,18.9,209,3257,MALE
Adelie,Dream,36.0,18.5,206,3498,MALE
Adelie,Dream,36.2,19.0,203,3548,MALE
Adelie,Dream,39.0,17.2,202,3784,FEMALE
Adelie,Torgersen,37.5,19.3,193,3440,MALE
Adelie,Biscoe,39.5,17.5,207,3518,MALE
Adelie,Biscoe,40.2,16.1,192,3789,MALE
Adelie,Biscoe,40.3,17.8,202,3594,MALE
Adelie,Dream,38.3,18.5,222,4586,MALE
Adelie,Dream,38.2,20.7,172,3513,MALE
Adelie,Torgersen,35.9,18.5,207,4430,MALE
Adelie,Biscoe,35.2,18.8,196,3775,MALE
Adelie,Torgersen,39.8,17.1,191,3877,MALE
Adelie,Biscoe,37.7,18.9,196,3925,MALE
Adelie,Torgersen,40.2,18.6,191,3849,MALE
Adelie,Torgersen,46.0,17.3,197,4034,MALE
Adelie,Dream,41.1,19.2,212,4261,MALE
Adelie,Torgersen,41.1,18.9,201,3699,FEMALE
Adelie,Biscoe,36.5,19.1,231,3182,MALE
Adelie,Dream,36.7,17.2,182,3564,MALE
Adelie,Dream,37.6,19.1,202,4000,
Adelie,Dream,38.8,15.5,214,3636,FEMALE
Adelie,Dream,34.6,20.3,202,3240,
Adelie,Biscoe,39.0,21.1,231,4502,MALE
Adelie,Biscoe,39.5,17.5,194,3296,MALE
Adelie,Biscoe,42.7,18.6,203,3927,FEMALE
Adelie,Torgersen,41.4,16.8,206,3144,MALE
Adelie,Biscoe,35.5,20.0,188,3052,MALE
Adelie,Dream,41.1,17.6,205,3585,FEMALE
Adelie,Dream,37.2,18.8,203,3790,FEMALE
Adelie,Torgersen,36.7,18.4,205,3464,MALE
Adelie,Dream,38.8,17.6,214,3669,FEMALE
Adelie,Biscoe,37.9,20.6,191,3414,FEMALE
Adelie,Biscoe,42.0,18.9,225,3846,MALE
Adelie,Torgersen,37.6,18.5,225,3909,FEMALE
Adelie,Biscoe,41.1,21.1,217,3267,MALE
Adelie,Torgersen,33.5,18.0,198,4301,FEMALE
Adelie,Biscoe,36.6,17.9,210,4426,FEMALE
Adelie,Biscoe,38.9,18.9,189,3644,FEMALE
Adelie,Dream,40.7,18.1,206,3899,MALE
Adelie,Dream,43.1,17.0,192,4557,MALE
Adelie,Torgersen,41.3,19.4,210,4353,MALE
Adelie,Biscoe,36.2,18.9,194,2945,MALE
Adelie,Dream,35.3,19.7,188,3351,MALE
Adelie,Biscoe,40.6,16.9,214,4281,FEMALE
Adelie,Torgersen,32.1,18.3,196,3580,MALE
Adelie,Torgersen,36.9,16.2,196,3283,FEMALE
Adelie,Biscoe,41.5,17.9,203,3640,FEMALE
Adelie,Torgersen,39.6,20.5,201,3614,FEMALE
Adelie,Dream,44.1,17.8,203,3729,FEMALE
Adelie,Torgersen,38.5,17.0,221,3850,FEMALE
Adelie,Dream,41.4,17.5,222,4117,MALE
Adelie,Torgersen,40.6,18.5,200,4539,FEMALE
Adelie,Biscoe,42.8,17.2,202,4470,MALE
Adelie,Torgersen,40.3,17.1,183,3344,FEMALE
Adelie,Dream,37.3,17.1,210,4130,FEMALE
Adelie,Torgersen,36.4,19.0,195,4356,MALE
Adelie,Dream,41.1,16.5,207,3453,MALE
Adelie,Torgersen,36.3,17.4,207,3349,MALE
Adelie,Biscoe,39.7,17.2,194,3524,MALE
Adelie,Dream,34.0,17.8,195,3874,FEMALE
Adelie,Torgersen,39.6,17.8,214,4394,MALE
Adelie,Biscoe,39.2,18.1,196,4107,FEMALE
Adelie,Torgersen,38.7,19.6,179,4142,MALE
Adelie,Dream,43.2,17.0,197,3516,FEMALE
Adelie,Torgersen,39.6,20.0,192,3353,FEMALE
Adelie,Dream,38.6,18.3,203,2939,FEMALE
Adelie,Biscoe,38.1,18.6,176,3982,FEMALE
Adelie,Dream,41.5,19.0,210,3437,MALE
Adelie,Torgersen,38.6,18.3,192,4143,MALE
Adelie,Dream,39.6,18.2,211,5154,MALE
Adelie,Dream,34.5,18.5,206,3854,FEMALE
Adelie,Torgersen,36.2,16.6,191,3438,MALE
Adelie,Torgersen,38.1,17.1,210,4084,FEMALE
Adelie,Biscoe,34.6,16.9,209,4042,MALE
Adelie,Biscoe,39.3,19.4,216,4964,MALE
Adelie,Torgersen,39.7,15.9,205,4020,FEMALE
Adelie,Biscoe,35.0,21.2,194,3585,FEMALE
Adelie,Dream,40.9,18.9,217,3535,FEMALE
Adelie,Torgersen,38.1,19.8,183,4047,FEMALE
Adelie,Torgersen,40.1,19.5,231,3129,
Adelie,Torgersen,35.7,18.1,188,2951,FEMALE
Adelie,Torgersen,36.8,18.0,186,4345,FEMALE
Adelie,Dream,44.1,18.5,181,3506,MALE
Adelie,Torgersen,37.0,18.6,176,2724,MALE
Adelie,Dream,38.2,17.6,206,3481,MALE
Adelie,Torgersen,40.8,18.6,200,3825,
Adelie,Biscoe,37.8,18.7,201,3097,MALE
Adelie,Biscoe,41.1,17.1,207,3032,MALE
Adelie,Biscoe,37.7,17.0,206,4167,MALE
Adelie,Dream,41.8,17.6,221,3713,FEMALE
Adelie,Biscoe,41.1,17.2,223,3239,MALE
Adelie,Biscoe,37.2,21.5,186,3307,MALE
Adelie,Biscoe,42.2,17.0,212,3815,FEMALE
Adelie,Dream,38.8,19.5,188,3944,
Adelie,Torgersen,45.6,20.1,206,3844,MALE
Adelie,Dream,39.0,21.2,205,4138,FEMALE
Adelie,Dream,41.3,18.8,190,3873,FEMALE
Adelie,Biscoe,41.6,20.7,193,4417,FEMALE
Adelie,Biscoe,41.0,17.7,226,3931,FEMALE
Adelie,Dream,40.5,19.0,197,3803,FEMALE
Adelie,Torgersen,41.4,17.5,189,3307,MALE
Adelie,Torgersen,41.1,16.1,211,3522,MALE
Adelie,Dream,39.3,17.4,201,3158,FEMALE
Adelie,Dream,40.6,19.5,182,3040,MALE
Adelie,Biscoe,42.1,17.0,200,3485,FEMALE
Adelie,Torgersen,41.1,21.1,200,4014,MALE
Adelie,Biscoe,36.7,18.5,198,3875,MALE
Adelie,Biscoe,40.1,18.5,184,3533,MALE
Adelie,Torgersen,40.5,18.9,207,3530,MALE
Adelie,Biscoe,36.6,17.7,191,2957,FEMALE
Chinstrap,Dream,45.4,19.0,217,3298,MALE
Chinstrap,Dream,46.6,17.8,198,3993,FEMALE
Chinstrap,Dream,51.9,17.9,198,3566,FEMALE
Chinstrap,Dream,43.2,17.5,215,3669,FEMALE
Chinstrap,Dream,52.8,19.4,183,3467,FEMALE
Chinstrap,Dream,45.6,18.2,200,3319,MALE
Chinstrap,Dream,51.0,18.2,204,3186,FEMALE
Chinstrap,Dream,51.7,20.8,230,3449,MALE
Chinstrap,Dream,51.3,16.5,231,3713,MALE
Chinstrap,Dream,46.5,18.4,193,4357,MALE
Chinstrap,Dream,50.9,17.8,211,3888,MALE
Chinstrap,Dream,46.8,19.5,193,3960,FEMALE
Chinstrap,Dream,50.8,17.1,199,3409,MALE
Chinstrap,Dream,50.0,19.8,205,3401,FEMALE
Chinstrap,Dream,42.5,18.8,197,3795,FEMALE
Chinstrap,Dream,58.0,19.5,209,3667,MALE
Chinstrap,Dream,49.3,18.7,173,3522,FEMALE
Chinstrap,Dream,52.0,19.4,225,4017,MALE
Chinstrap,Dream,49.6,18.8,201,3817,FEMALE
Chinstrap,Dream,52.2,18.2,210,3562,FEMALE
Chinstrap,Dream,49.8,16.6,223,4042,FEMALE
Chinstrap,Dream,52.0,19.6,178,3856,FEMALE
Chinstrap,Dream,49.7,18.5,198,4346,MALE
Chinstrap,Dream,45.7,16.6,208,3529,FEMALE
Chinstrap,Dream,53.5,17.9,195,3125,FEMALE
Chinstrap,Dream,50.6,19.0,195,3478,FEMALE
Chinstrap,Dream,51.3,19.1,189,4003,MALE
Chinstrap,Dream,45.7,16.8,218,3953,MALE
Chinstrap,Dream,46.9,19.0,220,3541,MALE
Chinstrap,Dream,43.5,18.9,197,3268,MALE
Chinstrap,Dream,46.4,19.2,184,3876,MALE
Chinstrap,Dream,46.7,19.7,209,3266,MALE
Chinstrap,Dream,47.5,17.9,190,4089,FEMALE
Chinstrap,Dream,51.4,17.3,197,3081,FEMALE
Chinstrap,Dream,50.8,19.9,195,3167,MALE
Chinstrap,Dream,45.2,18.1,206,3952,MALE
Chinstrap,Dream,49.5,18.2,189,3560,MALE
Chinstrap,Dream,50.7,18.7,183,3517,FEMALE
Chinstrap,Dream,50.1,19.9,192,3954,FEMALE
Chinstrap,Dream,46.0,19.9,204,3961,FEMALE
Chinstrap,Dream,51.5,17.8,178,3658,MALE
Chinstrap,Dream,50.5,16.4,204,4024,MALE
Chinstrap,Dream,52.7,20.7,176,3765,FEMALE
Chinstrap,Dream,45.9,17.3,220,3913,FEMALE
Chinstrap,Dream,48.1,17.3,176,3665,FEMALE
Chinstrap,Dream,40.9,19.8,216,3448,FEMALE
Chinstrap,Dream,46.1,18.7,220,3669,MALE
Chinstrap,Dream,45.5,18.8,216,3880,MALE
Chinstrap,Dream,54.2,20.0,172,4733,FEMALE
Chinstrap,Dream,50.2,19.5,190,4131,FEMALE
Chinstrap,Dream,48.5,18.6,219,4553,FEMALE
Chinstrap,Dream,49.2,17.9,205,3380,MALE
Chinstrap,Dream,42.5,18.6,210,3235,MALE
Chinstrap,Dream,55.8,18.3,203,3120,FEMALE
Chinstrap,Dream,46.2,16.6,227,3425,MALE
Chinstrap,Dream,46.4,17.8,186,3590,MALE
Chinstrap,Dream,50.9,17.3,216,4477,FEMALE
Chinstrap,Dream,42.4,16.7,199,3748,MALE
Chinstrap,Dream,47.6,17.3,189,3566,MALE
Chinstrap,Dream,45.2,20.0,183,3567,MALE
Chinstrap,Dream,50.3,17.0,186,3194,MALE
Chinstrap,Dream,50.5,16.6,190,3879,MALE
Chinstrap,Dream,52.0,17.5,180,3350,MALE
Chinstrap,Dream,51.3,18.1,185,2700,FEMALE
Chinstrap,Dream,52.0,19.0,181,4283,
Chinstrap,Dream,42.5,18.5,202,4712,FEMALE
Chinstrap,Dream,50.5,16.6,220,3694,FEMALE
Chinstrap,Dream,52.7,20.8,218,3843,MALE
Chinstrap,Dream,50.2,20.3,206,3511,MALE
Chinstrap,Dream,47.0,17.5,198,3803,MALE
Chinstrap,Dream,49.0,17.0,216,4227,
Chinstrap,Dream,49.0,19.6,192,3851,MALE
Gentoo,Biscoe,50.8,15.0,196,5381,MALE
Gentoo,Biscoe,44.9,13.9,192,6121,MALE
Gentoo,Biscoe,45.5,16.3,184,4514,MALE
Gentoo,Biscoe,48.5,17.0,196,4917,MALE
Gentoo,Biscoe,52.5,14.4,176,4739,FEMALE
Gentoo,Biscoe,53.4,16.1,191,5975,MALE
Gentoo,Biscoe,50.0,14.6,181,4636,MALE
Gentoo,Biscoe,46.5,15.4,218,6021,FEMALE
Gentoo,Biscoe,48.4,16.1,192,4042,MALE
Gentoo,Biscoe,46.8,15.8,202,4767,MALE
Gentoo,Biscoe,50.5,16.2,207,4563,FEMALE
Gentoo,Biscoe,46.7,15.3,200,4460,FEMALE
Gentoo,Biscoe,49.8,14.6,211,4857,MALE
Gentoo,Biscoe,49.2,15.1,177,5148,MALE
Gentoo,Biscoe,45.2,16.8,191,5044,MALE
Gentoo,Biscoe,44.5,14.4,181,4772,FEMALE
Gentoo,Biscoe,47.8,16.0,184,5248,MALE
Gentoo,Biscoe,46.3,15.2,189,5806,FEMALE
Gentoo,Biscoe,42.8,14.5,188,4863,FEMALE
Gentoo,Biscoe,49.6,13.9,206,5706,MALE
Gentoo,Biscoe,48.4,14.4,190,5222,MALE
Gentoo,Biscoe,50.0,13.5,214,6216,FEMALE
Gentoo,Biscoe,43.5,13.7,208,6085,MALE
Gentoo,Biscoe,50.7,13.5,201,4398,FEMALE
Gentoo,Biscoe,47.5,14.7,198,4309,FEMALE
Gentoo,Biscoe,50.0,14.8,201,5170,FEMALE
Gentoo,Biscoe,48.7,13.9,204,5877,MALE
Gentoo,Biscoe,49.5,14.5,185,5838,MALE
Gentoo,Biscoe,52.1,14.2,214,4993,MALE
Gentoo,Biscoe,50.4,14.1,205,5275,FEMALE
Gentoo,Biscoe,48.2,14.6,204,4670,MALE
Gentoo,Biscoe,51.1,13.7,193,4951,FEMALE
Gentoo,Biscoe,45.8,17.1,213,4637,FEMALE
Gentoo,Biscoe,46.5,15.7,195,5410,MALE
Gentoo,Biscoe,45.4,14.1,220,5222,FEMALE
Gentoo,Biscoe,50.8,15.0,212,4944,MALE
Gentoo,Biscoe,45.1,14.3,208,4539,FEMALE
Gentoo,Biscoe,59.6,15.0,200,5578,FEMALE
Gentoo,Biscoe,47.4,14.0,180,5028,MALE
Gentoo,Biscoe,46.5,15.1,200,4446,FEMALE
Gentoo,Biscoe,52.2,14.3,202,4711,MALE
Gentoo,Biscoe,48.6,13.4,219,5530,MALE
Gentoo,Biscoe,49.5,13.7,203,5737,MALE
Gentoo,Biscoe,49.1,14.7,208,4650,MALE
Gentoo,Biscoe,51.1,15.9,208,4981,FEMALE
Gentoo,Biscoe,48.7,13.2,215,5069,FEMALE
Gentoo,Biscoe,45.3,15.8,193,5369,FEMALE
Gentoo,Biscoe,50.0,15.2,199,4819,FEMALE
Gentoo,Biscoe,46.2,15.7,203,5068,FEMALE
Gentoo,Biscoe,46.5,15.4,209,5253,MALE
Gentoo,Biscoe,54.3,14.0,202,5572,MALE
Gentoo,Biscoe,43.4,13.8,175,4815,FEMALE
Gentoo,Biscoe,46.2,16.3,198,5545,MALE
Gentoo,Biscoe,46.2,15.6,218,5473,MALE
Gentoo,Biscoe,41.7,14.5,202,5285,MALE
Gentoo,Biscoe,50.5,16.0,214,5028,MALE
Gentoo,Biscoe,45.7,14.1,203,5575,FEMALE
Gentoo,Biscoe,49.4,15.0,212,4246,FEMALE
Gentoo,Biscoe,55.1,14.8,212,5852,FEMALE
Gentoo,Biscoe,48.1,15.7,198,5370,FEMALE
Gentoo,Biscoe,50.2,15.7,213,5343,FEMALE
Gentoo,Biscoe,55.9,15.2,193,3896,FEMALE
Gentoo,Biscoe,47.2,15.0,200,5076,MALE
Gentoo,Biscoe,45.5,17.0,222,5048,MALE
Gentoo,Biscoe,49.0,15.7,195,5509,FEMALE
Gentoo,Biscoe,45.8,14.2,184,4951,FEMALE
Gentoo,Biscoe,47.6,16.3,185,4756,FEMALE
Gentoo,Biscoe,47.5,17.0,187,4903,MALE
Gentoo,Biscoe,44.9,16.0,188,4871,MALE
Gentoo,Biscoe,50.1,15.6,197,5310,FEMALE
Gentoo,Biscoe,45.0,13.1,197,4726,MALE
Gentoo,Biscoe,44.0,14.2,201,5648,FEMALE
Gentoo,Biscoe,46.4,17.3,216,4722,MALE
Gentoo,Biscoe,43.2,16.5,202,5132,FEMALE
Gentoo,Biscoe,45.2,16.4,201,4769,MALE
Gentoo,Biscoe,42.9,13.7,177,5350,MALE
Gentoo,Biscoe,49.1,13.9,197,5070,MALE
Gentoo,Biscoe,47.5,14.3,192,5148,MALE
Gentoo,Biscoe,47.2,15.2,193,4564,MALE
Gentoo,Biscoe,48.5,13.7,216,4415,FEMALE
Gentoo,Biscoe,49.9,15.8,215,5481,MALE
Gentoo,Biscoe,46.4,17.3,179,5305,FEMALE
Gentoo,Biscoe,51.3,15.9,187,4666,MALE
Gentoo,Biscoe,49.1,14.2,209,5600,FEMALE
Gentoo,Biscoe,47.3,14.4,200,5545,FEMALE
Gentoo,Biscoe,45.5,15.0,226,5000,MALE
Gentoo,Biscoe,51.5,13.3,210,5227,FEMALE
Gentoo,Biscoe,42.7,14.5,197,4863,MALE
Gentoo,Biscoe,46.1,14.8,212,5247,FEMALE
Gentoo,Biscoe,50.4,15.6,206,4612,MALE
Gentoo,Biscoe,43.3,15.0,188,5913,MALE
Gentoo,Biscoe,46.1,14.2,196,4519,FEMALE
Gentoo,Biscoe,48.4,15.5,193,5822,MALE
Gentoo,Biscoe,45.2,15.0,214,5959,FEMALE
Gentoo,Biscoe,45.3,15.0,188,5569,MALE
Gentoo,Biscoe,43.3,13.6,196,4673,FEMALE
Gentoo,Biscoe,46.9,15.1,197,5140,
Gentoo,Biscoe,43.8,16.1,191,5480,FEMALE
Gentoo,Biscoe,48.2,15.9,214,5044,MALE
Gentoo,Biscoe,46.8,14.5,219,4547,MALE
Gentoo,Biscoe,45.5,14.9,195,5312,FEMALE
Gentoo,Biscoe,49.6,15.8,203,5229,FEMALE
Gentoo,Biscoe,46.6,16.3,209,4580,FEMALE
Gentoo,Biscoe,42.6,15.0,226,5873,MALE
Gentoo,Biscoe,49.3,15.3,211,5048,FEMALE
Gentoo,Biscoe,45.2,13.7,201,5091,MALE
Gentoo,Biscoe,49.8,15.0,207,5042,FEMALE
Gentoo,Biscoe,47.7,14.2,210,4966,FEMALE
Gentoo,Biscoe,42.0,14.5,195,5200,FEMALE
Gentoo,Biscoe,48.8,15.3,194,5044,FEMALE
Gentoo,Biscoe,50.8,14.5,193,4660,FEMALE
Gentoo,Biscoe,44.4,13.8,190,5354,MALE
Gentoo,Biscoe,43.6,14.6,203,4666,FEMALE
Gentoo,Biscoe,40.9,16.2,205,5310,MALE
Gentoo,Biscoe,48.7,13.8,185,4950,FEMALE
Gentoo,Biscoe,43.5,15.3,198,4785,MALE
Gentoo,Biscoe,45.1,16.1,173,4925,MALE
Gentoo,Biscoe,50.7,15.1,176,4866,FEMALE
Gentoo,Biscoe,46.8,14.6,183,4850,MALE
