method,number,orbital_period,mass,distance,year
Transit,1.0,22.7872949,,,2014
Transit,3.0,40.0165567,0.1638,36.84,2011
Radial Velocity,6.0,2712.1847709,0.0056,38.9,2013
Radial Velocity,4.0,526.8560842,2.5959,25.27,2009
Radial Velocity,2.0,247.3532765,0.4358,,2014
Transit,1.0,2.5426272,15.3272,175.59,2005
Transit,2.0,7.6720454,0.2006,95.32,2009
Radial Velocity,1.0,304.6371625,,26.34,2007
Transit,1.0,53.9007662,,382.13,2012
Radial Velocity,1.0,189.8229769,9.6123,17.29,2013
Radial Velocity,1.0,12.964063,0.1004,80.87,2013
Transit,1.0,107.322407,,858.66,2011
Transit,1.0,15.5186738,0.7489,1437.04,2005
Radial Velocity,3.0,127.1136939,,59.79,2006
Radial Velocity,5.0,4.7444709,6.4369,,2012
Radial Velocity,3.0,1038.7458545,,5.06,2014
Transit,1.0,3.9656007,,,2014
Radial Velocity,1.0,26.712363,5.1544,36.18,2006
Radial Velocity,1.0,0.7656425,7.9442,,2010
Imaging,1.0,204312.7442047,,22.82,2000
Radial Velocity,2.0,6232.6870366,,91.42,2009
Radial Velocity,1.0,233.011393,,213.39,2013
Microlensing,1.0,2794.7060061,,6444.25,2011
Radial Velocity,1.0,0.112986,0.4314,24.4,2007
Radial Velocity,2.0,4099.5833086,8.2959,55.6,2014
Transit,2.0,55.4440487,2.2192,3214.08,2012
Microlensing,1.0,2804.6360355,6.3087,,2007
Radial Velocity,4.0,3.9329468,,,2010
Radial Velocity,1.0,123.7500151,2.3693,20.33,2010
Microlensing,1.0,3877.5030273,,,2014
Radial Velocity,1.0,2312.932439,,38.96,2008
Radial Velocity,4.0,358.9654018,2.9495,21.73,2013
Radial Velocity,1.0,2946.429417,,91.96,2008
Radial Velocity,1.0,0.8683789,,11.43,2008
Radial Velocity,2.0,2959.4763889,0.3661,31.58,2007
Transit,2.0,15.7479782,0.6418,67.25,2005
Radial Velocity,1.0,0.09070629,,7.21,2012
Radial Velocity,7.0,63.6413493,,35.63,2011
Transit,2.0,1.7379807,,673.81,2011
Radial Velocity,1.0,6724.1004802,0.7094,193.83,2010
Transit,1.0,2.6285256,,98.88,2011
Transit,1.0,4.8688863,0.4067,773.42,2007
Imaging,1.0,4706.8035928,1.1828,21.73,2010
Transit,4.0,30.3021522,,316.5,2003
Transit,1.0,8.6976808,,356.7,2014
Transit,3.0,22.4743247,1.0881,72.69,2007
Radial Velocity,1.0,384.4366405,1.7326,123.61,2006
Transit,1.0,4.710535,1.3067,734.26,2013
Radial Velocity,1.0,3745.102568,,,2008
Radial Velocity,1.0,2909.3238784,0.0079,102.06,2010
Microlensing,1.0,2586.0862411,,5699.77,2014
Radial Velocity,1.0,1.8980676,0.2422,20.64,2009
Radial Velocity,1.0,0.09070629,0.6609,12.73,2008
Radial Velocity,1.0,108.1932087,0.7713,118.91,2008
Radial Velocity,2.0,778.5940843,,88.91,2014
Radial Velocity,2.0,134.9666151,0.0036,,2007
Radial Velocity,1.0,138.3696398,,112.96,2007
Transit,2.0,11.3453737,,,2010
Transit,1.0,0.9313113,,455.69,2007
Imaging,1.0,169387.303042,,51.73,2001
Radial Velocity,2.0,12.1862565,11.5005,,2011
Radial Velocity,1.0,72.9583515,1.5477,,2008
Radial Velocity,1.0,795.6947228,,,2004
Radial Velocity,1.0,7749.866646,1.2524,,2008
Transit,2.0,8.9719667,,,2012
Transit,3.0,29.8823057,,513.79,2004
Radial Velocity,1.0,232.4520326,2.4037,23.27,2011
Transit,2.0,1.2731321,,433.87,2014
Radial Velocity,2.0,77.7472483,0.0036,47.59,2009
Radial Velocity,1.0,80.2657114,,109.44,2010
Imaging,1.0,305299.2439213,0.176,81.04,2008
Transit,2.0,1.1989887,0.223,,2000
Transit,1.0,1.920072,,1722.54,2011
Transit,2.0,1.4168841,1.8852,293.21,2002
Radial Velocity,2.0,3458.70374,0.2605,5.88,2013
Radial Velocity,1.0,1237.1758944,,24.31,2007
Imaging,1.0,14532.5635138,0.5497,62.76,2002
Transit,1.0,1.2002192,,707.68,2014
Microlensing,1.0,2932.9316126,,7500.77,2014
Transit,1.0,2.7983112,1.1357,467.16,2010
Transit,1.0,8.0732168,0.4339,306.31,2009
Radial Velocity,1.0,154.1979674,2.7248,57.98,2013
Radial Velocity,3.0,459.4140249,0.065,6.42,2008
Radial Velocity,1.0,290.9758155,,15.17,2014
Transit,2.0,9.8505725,0.6823,557.85,2006
Transit,2.0,10.1545878,,910.52,2011
Transit,1.0,0.5532114,,1001.12,2005
Transit,4.0,12.7527321,,234.58,2003
Transit,2.0,3.7032249,,1471.11,2011
Radial Velocity,2.0,,,187.23,2005
Transit,1.0,9.4424112,0.2051,99.06,2014
Radial Velocity,2.0,4632.0332346,0.6929,17.75,2002
Radial Velocity,2.0,1070.159074,0.0036,20.57,2008
Radial Velocity,3.0,98.5309106,3.1233,11.03,2004
Eclipse Timing Variations,2.0,3161.1637598,,332.86,2010
Pulsar Timing,2.0,1169.2984659,3.24,20.84,2001
Radial Velocity,3.0,9179.3838418,2.4831,36.3,2008
Radial Velocity,1.0,103.6988314,4.4127,27.69,2003
Transit,1.0,11.7634019,,786.7,2013
Transit,1.0,7.8833031,,46.2,2010
Imaging,1.0,38357.3475393,,29.44,2014
Microlensing,1.0,3137.3938143,,,2009
Radial Velocity,3.0,2036.9121071,0.1042,,2011
Imaging,1.0,15425.2291165,4.0475,65.73,2007
Radial Velocity,2.0,0.09070629,,59.13,2013
Radial Velocity,1.0,1334.1644622,,17.55,2009
Radial Velocity,2.0,98.5716456,0.035,161.57,2010
Radial Velocity,2.0,496.443854,2.9405,23.3,2012
Transit,1.0,7.7497618,,233.07,2011
Transit,1.0,16.2725032,2.6797,205.36,2003
Radial Velocity,2.0,1180.4529991,,,2009
Radial Velocity,3.0,7.9956185,,25.45,2013
Transit,2.0,6.5183109,,,2014
Transit,2.0,13.4269773,2.9915,232.57,2012
Transit,2.0,1.9668899,,,2009
Transit,1.0,3.4815801,1.1596,288.17,2014
Transit,1.0,9.9384713,0.8025,,2014
Transit,5.0,3.0866108,0.0085,,2008
Radial Velocity,1.0,63.2989219,0.7784,35.3,2007
Radial Velocity,1.0,4377.5048205,,62.77,2014
Transit,1.0,3.4640903,,277.05,2012
