method,number,orbital_period,mass,distance,year
Radial Velocity,1,17.991,,,2005
Radial Velocity,1,43.6,,36.14,2008
Radial Velocity,1,493.7,1.1,20.43,2001
Transit,1,4.61442,,225.0,2012
Transit,5,5.90124,,303.0,2011
Radial Velocity,3,147.73,,52.88,2006
Radial Velocity,6,4.3123,,12.83,2008
Radial Velocity,1,466.0,,53.82,2010
Radial Velocity,1,1114.0,0.95,35.0,2002
Transit,6,46.6888,,613.0,2010
Transit,1,8.884924,,1140.0,2013
Transit Timing Variations,2,57.011,,,2012
Radial Velocity,3,346.6,0.396,64.56,2007
Transit,1,9.20205,,,2008
Radial Velocity,1,2.64385,,10.23,2004
Radial Velocity,4,1276.46,4.132,,1999
Radial Velocity,2,17.1,0.057,,2005
Transit,1,,,,2011
Radial Velocity,1,511.098,,,2002
Radial Velocity,2,170.455,,53.82,2008
Radial Velocity,1,2.21857578,,,2005
Radial Velocity,1,1001.7,6.86,32.56,2005
Transit,2,242.4613,,,2013
Transit,2,17.9801235,,,2012
Transit,1,3.234723,,,2009
Imaging,1,,,,2004
Radial Velocity,1,8.428198,,31.26,2002
Radial Velocity,3,4.1547,0.058,52.83,2009
Transit,1,2.899736,,138.0,2007
Transit,1,9.24285,,1230.0,2011
Radial Velocity,1,3.3135,,15.6,1996
Transit,2,8.291,,,2013
Radial Velocity,1,974.0,5.61,70.97,2007
Transit,2,17.2513,,,2011
Transit,1,6.871815,,,2010
Radial Velocity,5,44.38,0.165,12.53,2004
Radial Velocity,1,439.3,0.502,60.46,2005
Microlensing,1,,,7720.0,2012
Transit,2,35.736,,,2013
Transit,1,3.547851,,453.0,2013
Transit,2,42.994,,,2013
Transit,1,2.9036747,,345.0,2012
Imaging,4,18000.0,,,2010
Radial Velocity,1,199.505,8.3,102.04,2003
Radial Velocity,1,1027.0,0.85,53.05,2009
Transit Timing Variations,3,,,,2014
Transit,1,2.694047,,344.0,2012
Radial Velocity,1,6.838,,47.37,2006
Radial Velocity,2,3.93,,43.53,2009
Radial Velocity,2,53.832,,28.6,2011
Radial Velocity,2,937.7,,28.04,2003
Transit,2,9.522,,,2012
Transit,2,22.951,,,2013
Transit,2,34.921,,,2013
Transit,1,3.646706,,535.0,2011
