method,number,orbital_period,mass,distance,year
Radial Velocity,3,2172.0,0.54,26.15,2008
Transit,2,48.648,,,2013
Radial Velocity,2,1270.2,,53.82,2007
Radial Velocity,1,,4.64,18.15,2002
Radial Velocity,1,874.774,2.21,56.95,2008
Radial Velocity,2,103.49,,26.21,2011
Transit,2,22.804,,,2013
Radial Velocity,2,11.849,0.0378,43.08,2011
Radial Velocity,1,663.0,3.3,115.47,2009
Transit,1,2.3114243,,310.0,2013
Transit,2,17.849,,,2013
Radial Velocity,3,34.873,,47.3,2011
Transit,2,8.726,,,2012
Imaging,1,,,,2004
Transit,1,3.5327313,,300.0,2010
Radial Velocity,1,407.15,0.0961,15.56,2011
Radial Velocity,2,,,23.44,2009
Transit,1,282.5255,,,2013
Transit,4,9.6739283,,,2012
Transit,1,2.691548,,322.0,2014
Radial Velocity,3,9.3743,,26.15,2008
Transit,1,2.718659,,,2010
Radial Velocity,1,1251.0,,31.12,2007
Transit,1,6.87349,,2700.0,2010
Radial Velocity,1,83.888,,40.57,1989
Microlensing,1,,,,2013
Transit,2,38.5583038,,,2012
Radial Velocity,6,49.747,,39.39,2010
Transit,2,8.9858,,,2011
Imaging,1,,,145.0,2008
Imaging,1,8679.7,,26.67,2009
Radial Velocity,1,10.7085,1.04,29.76,1999
Transit,4,4.7779803,,,2012
Transit,2,10.3376,,1400.0,2011
Radial Velocity,1,594.9,7.6,47.53,2006
Transit,1,2.4238039,,,2011
Radial Velocity,2,29.15,,35.89,2011
Radial Velocity,1,2208.0,,44.54,2012
Transit,1,3.9791,,,2007
Transit,2,,,,2012
Radial Velocity,1,883.0,2.2,121.36,2011
Radial Velocity,1,358.0,0.64,,2009
Transit,3,8.9193459,,,2012
Radial Velocity,1,305.5,20.6,92.51,2013
Transit,6,13.0241,,613.0,2010
Transit,1,3.7520656,,,2009
Radial Velocity,6,16.3567,,39.39,2010
Transit,2,10.338523,,90.0,2010
Transit,1,3.6313,,,2011
Radial Velocity,1,6.495,,,2010
Transit,2,49.412,,,2013
Transit,1,2.2167421,,340.0,2012
Radial Velocity,1,615.0,,35.88,2011
Microlensing,1,,,,2013
Radial Velocity,2,1945.0,0.622,,2005
Radial Velocity,3,59.519,,26.91,2011
Radial Velocity,6,2248.0,0.205,39.39,2010
Transit,2,8.726,,,2012
Transit,4,42.8961,,,2014
Radial Velocity,1,199.505,,102.04,2003
Transit,1,2.4238039,,,2011
Radial Velocity,2,,,25.64,2001
Radial Velocity,3,14.025,,25.59,2011
Transit,1,0.94145299,,105.49,2009
Transit,3,6.2385,,,2011
Transit,1,3.646706,,535.0,2011
Transit,1,2.77596,,235.0,2010
Radial Velocity,1,501.75,6.9,,2009
Radial Velocity,1,83.888,11.68,40.57,1989
Radial Velocity,3,9.3743,,,2008
Radial Velocity,4,3848.86,,,2010
Radial Velocity,1,842.0,,55.1,2009
Transit Timing Variations,3,,,,2014
Transit,5,5.66793,,,2011
Transit,2,44.347,,,2013
Microlensing,1,,,2800.0,2012
Radial Velocity,1,10.8985,,,2002
Radial Velocity,1,883.0,,121.36,2011
Transit,1,2.718659,,,2010
Transit,5,27.4536,,,2014
Radial Velocity,1,3.416,0.22,74.46,2004
Radial Velocity,6,51.76,,12.83,2012
Radial Velocity,1,3.33714,,,2012
Radial Velocity,1,511.098,8.82,31.33,2002
Radial Velocity,1,192.0,,,2013
Radial Velocity,1,788.0,0.132,33.96,2009
Radial Velocity,1,55.806,0.186,20.82,2009
Imaging,1,,,,2013
Transit,2,5.005425,,354.0,2011
Imaging,1,,,19.2,2011
Radial Velocity,1,883.0,2.2,121.36,2011
Radial Velocity,1,745.7,5.3,307.69,2011
Transit,1,15.7259,,1107.0,2013
Radial Velocity,4,61.1166,2.2756,4.7,1998
Transit,1,3.052401,,,2010
Radial Velocity,2,406.6,,,1999
Transit,2,13.084,,,2013
Radial Velocity,2,22.656,,32.31,2011
Radial Velocity,2,1383.4,2.44,,2004
Radial Velocity,1,25.827,0.178,38.02,2004
Transit,2,9.37647,,,2012
Transit,1,2.899736,,138.0,2007
Radial Velocity,3,1078.0,2.53,,1996
Microlensing,1,3500.0,,,2005
Radial Velocity,1,380.8,1.8,20.21,2010
Radial Velocity,1,26.73,,,2006
Transit,2,12.3335,,1200.0,2011
Radial Velocity,3,106.72,0.03,14.56,2011
